,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
75,17167,13.964455,14.94733,207.49562,222.1,0.4551153,-14.604385
76,17169,12.970822,12.55145,192.73138,186.5,0.5338878,6.2313843
77,17171,12.725818,13.00909,189.0909,193.3,0.5111866,-4.2091064
78,17173,12.820298,12.49761,190.49478,185.7,0.4540015,4.7947845
79,17175,14.866626,15.18961,220.90083,225.7,0.3897447,-4.799164
80,17177,14.098842,14.21376,209.49245,211.20001,0.42002493,-1.7075653
81,17179,13.537733,15.8828,201.15503,236.0,0.49114162,-34.84497
82,17181,9.834842,7.79334,146.13435,115.8,0.89039856,30.33435
83,17183,13.682763,13.72247,203.31,203.90001,0.3936328,-0.5900116
84,17185,11.643819,10.52572,173.01366,156.4,0.4915448,16.613663
85,17187,14.441031,15.42516,214.577,229.20001,0.40152034,-14.623016
86,17189,10.727626,9.44219,159.40009,140.3,0.6475581,19.100082
87,17193,11.111992,9.09896,165.11133,135.2,0.61265814,29.911331
88,17195,13.585834,13.3927,201.86974,199.0,0.48205274,2.8697357
89,17199,9.465975,7.25494,140.65341,107.8,0.8575445,32.85341
90,17201,13.37143,13.04947,198.68396,193.9,0.5387586,4.783966
91,17203,14.40689,15.66744,214.06969,232.8,0.40758955,-18.730316
92,18001,11.894121,10.73435,176.73286,159.5,0.55827653,17.232864
93,18003,11.367968,10.62667,168.91483,157.9,0.7013167,11.014832
94,18005,11.825577,11.52176,175.71437,171.2,0.4933898,4.514374
95,18007,13.635665,13.40616,202.61018,199.20001,0.382488,3.4101715
96,18009,11.849603,11.70347,176.07137,173.90001,0.53810227,2.1713562
97,18011,12.922164,12.12073,192.00838,180.1,0.43420345,11.908371
98,18015,13.684594,13.31194,203.3372,197.8,0.42207676,5.537201
99,18017,12.483413,12.76008,185.48904,189.6,0.46149343,-4.110962
100,18019,10.579367,9.45565,157.19713,140.5,0.71827465,16.697128
101,18023,13.264991,12.82738,197.10239,190.6,0.40295833,6.5023804
102,18027,11.608323,11.56887,172.48624,171.9,0.5758188,0.5862427
103,18029,10.653218,10.90933,158.29448,162.1,0.69002944,-3.8055267
104,18031,12.747461,12.03997,189.4125,178.90001,0.41987264,10.512497
105,18033,10.649375,9.85272,158.23737,146.40001,0.74918675,11.837357
106,18035,11.9085,11.1045,176.9465,165.0,0.5158138,11.946503
107,18037,10.729547,9.64409,159.42863,143.3,0.6643047,16.128632
108,18039,11.523816,10.68051,171.23056,158.7,0.6292865,12.530563
109,18041,12.684617,11.65636,188.47871,173.2,0.46971092,15.278717
110,18043,10.309834,8.65478,153.19218,128.6,0.8569563,24.592178
111,18045,13.374566,12.90814,198.73056,191.8,0.45257103,6.9305573
112,18047,12.339519,11.79769,183.35095,175.3,0.4951713,8.050949
113,18049,12.665218,11.89191,188.19048,176.7,0.514287,11.4904785
114,18051,11.591643,10.88241,172.23839,161.7,0.53117085,10.538391
115,18055,11.291077,10.4988,167.77231,156.0,0.5648375,11.772308
116,18057,12.064077,12.08035,179.25821,179.5,0.577403,-0.24179077
117,18059,12.284055,11.60252,182.52682,172.40001,0.48774695,10.126816
118,18061,10.094098,10.08154,149.9866,149.8,0.69935524,0.18659973
119,18063,12.374145,12.03324,183.86545,178.8,0.48788396,5.065445
120,18065,12.625348,11.95248,187.59804,177.6,0.47780964,9.998032
121,18067,13.2888,12.96871,197.45618,192.7,0.45853528,4.75618
122,18071,10.810761,10.84203,160.63539,161.09999,0.5699106,-0.4645996
123,18073,12.651677,12.12073,187.98926,180.1,0.56606096,7.8892517
124,18075,11.996159,11.25929,178.24901,167.3,0.57341564,10.949005
125,18077,10.308734,10.01424,153.17584,148.8,0.63294435,4.375839
126,18079,11.205888,10.53918,166.5065,156.6,0.5364567,9.906494
127,18081,11.902036,10.82857,176.85046,160.90001,0.52588403,15.950455
128,18083,11.425293,11.42081,169.76662,169.7,0.5467331,0.06661987
129,18085,11.87737,11.09104,176.48395,164.8,0.5622572,11.683945
130,18087,10.6524,9.02493,158.28232,134.1,0.68466985,24.182312
131,18089,12.884557,11.93902,191.44958,177.40001,0.6699855,14.049576
132,18091,11.711215,9.95367,174.01509,147.9,0.59160274,26.115097
133,18093,10.437604,9.73158,155.0907,144.59999,0.749758,10.490707
134,18095,12.704691,12.18803,188.77698,181.1,0.46964985,7.6769714
135,18099,12.2856655,11.3737,182.55075,169.0,0.5565115,13.550751
136,18101,10.769464,10.81511,160.02174,160.70001,0.706644,-0.67826843
137,18103,11.976185,11.25256,177.95222,167.2,0.5601718,10.752228
138,18105,10.985916,10.81511,163.23798,160.70001,0.7468723,2.5379639
139,18107,13.239314,13.46,196.72087,200.0,0.4009819,-3.279129
140,18109,11.881334,11.1718,176.54286,166.0,0.51408756,10.542862
141,18111,13.370383,13.77631,198.6684,204.7,0.50168467,-6.031601
142,18113,11.04433,10.57283,164.10594,157.1,0.63441044,7.0059357
143,18115,10.259681,10.095,152.44696,150.0,0.7126408,2.4469604
144,18117,11.537871,10.92279,171.43939,162.29999,0.6901265,9.139404
145,18119,11.468078,10.80165,170.40234,160.5,0.5664437,9.902344
146,18121,12.579446,12.30244,186.91599,182.8,0.47829002,4.115982
147,18125,11.198881,9.85945,166.40239,146.5,0.5947869,19.90239
148,18127,12.306445,11.66309,182.85951,173.3,0.5687157,9.559509
149,18129,11.541812,9.6912,171.49796,144.0,0.5548486,27.497955
150,18131,11.839466,10.68724,175.92075,158.8,0.58954793,17.120743
151,18135,12.010832,11.15834,178.46704,165.8,0.4969514,12.667038
152,18137,11.455136,10.62667,170.21005,157.9,0.52467895,12.310059
