,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17005,13.555732,13.91091,201.42247,206.7,0.5454874,-5.277527
1,17007,13.19221,13.46,196.02095,200.0,0.3806052,-3.9790497
2,17009,12.393304,12.0467,184.15013,179.0,0.5999668,5.150131
3,17011,14.517581,13.69555,215.71443,203.5,0.40075845,12.214432
4,17013,12.566139,12.20149,186.71826,181.3,0.5977514,5.4182587
5,17015,13.913839,13.7965,206.74353,205.0,0.40877417,1.7435303
6,17017,13.686448,14.2003,203.36476,211.0,0.541056,-7.6352386
7,17019,14.510049,14.96752,215.60251,222.4,0.46019766,-6.7974854
8,17021,14.608032,14.71178,217.05843,218.59999,0.47939396,-1.541565
9,17023,13.884008,13.80996,206.30028,205.20001,0.51917815,1.1002655
10,17025,12.921124,14.133,191.99294,210.00002,0.5809676,-18.00708
11,17027,13.282783,14.02532,197.36676,208.40001,0.6043097,-11.033249
12,17029,14.608495,14.806,217.0653,220.0,0.505148,-2.9346924
13,17031,10.879273,11.46119,161.6534,170.3,0.9790468,-8.646606
14,17033,13.805586,13.6619,205.13501,203.0,0.5404133,2.1350098
15,17037,13.930522,13.64171,206.99141,202.70001,0.39596117,4.291397
16,17039,14.349332,14.07916,213.21445,209.2,0.4465932,4.01445
17,17045,14.065638,13.99167,208.99907,207.9,0.50062966,1.0990753
18,17047,12.674704,12.57164,188.3314,186.8,0.6271838,1.5314026
19,17049,13.627616,14.32144,202.49059,212.8,0.5192823,-10.309418
20,17051,13.284261,13.94456,197.38872,207.2,0.54311556,-9.811279
21,17053,13.990716,13.3927,207.88583,199.0,0.43131828,8.885834
22,17055,11.630271,11.95921,172.81235,177.70001,0.7238299,-4.887665
23,17057,12.754779,12.99563,189.52124,193.1,0.5354444,-3.5787659
24,17059,14.04198,12.90141,208.64755,191.7,0.6892471,16.947556
25,17061,12.975066,13.21772,192.79445,196.40001,0.53738767,-3.6055603
26,17063,13.629632,13.55422,202.52054,201.40001,0.491686,1.1205292
27,17067,13.582678,13.52057,201.82285,200.9,0.5006045,0.92285156
28,17069,11.462632,11.83807,170.32143,175.9,0.8430817,-5.5785675
29,17073,14.045014,13.62825,208.69264,202.5,0.42952555,6.192642
30,17075,13.258247,13.06966,197.0022,194.20001,0.45457402,2.802185
31,17077,12.005775,12.19476,178.3919,181.20001,0.74026966,-2.8081055
32,17081,11.75256,11.7102,174.62941,174.0,0.6703488,0.6294098
33,17085,12.496276,13.45327,185.68018,199.9,0.4811196,-14.219818
34,17089,13.229598,13.89745,196.57649,206.50002,0.5198638,-9.923523
35,17091,12.82631,12.8543,190.5841,191.0,0.5177451,-0.41589355
36,17093,13.223708,14.24068,196.48898,211.59999,0.46987918,-15.111008
37,17095,13.51192,13.33213,200.77147,198.1,0.48563236,2.671463
38,17097,10.05606,11.05066,149.4214,164.2,0.8205328,-14.778595
39,17101,13.202346,12.86103,196.17155,191.09999,0.6008359,5.0715637
40,17103,13.741152,13.35232,204.1776,198.4,0.41251338,5.777603
41,17105,14.273234,14.03205,212.08372,208.5,0.42951584,3.583725
42,17107,14.382578,14.09935,213.70844,209.5,0.44700986,4.208435
