,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,3.6088781,3.99089,53.62375,59.3,0.20133227,-5.6762505,"Adams County, IL"
1,17005,3.8222885,4.5091,56.794777,67.0,0.2138208,-10.205223,"Bond County, IL"
2,17007,3.8370042,4.05819,57.013435,60.3,0.14980058,-3.2865639,"Boone County, IL"
3,17009,3.583815,4.05819,53.25134,60.3,0.22702877,-7.0486603,"Brown County, IL"
4,17011,4.0040154,4.61005,59.49503,68.5,0.1992279,-9.004971,"Bureau County, IL"
5,17013,3.4673069,3.94378,51.52016,58.6,0.22887847,-7.079838,"Calhoun County, IL"
6,17015,4.0242634,4.63697,59.79589,68.9,0.17016862,-9.104111,"Carroll County, IL"
7,17017,3.8653316,4.83887,57.43435,71.9,0.24712482,-14.465652,"Cass County, IL"
8,17019,4.1874633,4.56967,62.22085,67.9,0.25534254,-5.6791496,"Champaign County, IL"
9,17021,4.197953,4.95328,62.37672,73.6,0.21824351,-11.223278,"Christian County, IL"
10,17023,3.6766746,4.31393,54.631123,64.1,0.23983566,-9.468876,"Clark County, IL"
11,17025,3.4719863,3.93705,51.58969,58.500004,0.25584495,-6.9103127,"Clay County, IL"
12,17027,3.6010222,4.04473,53.50702,60.100002,0.22769138,-6.5929832,"Clinton County, IL"
13,17029,4.1897917,5.04077,62.255447,74.9,0.22397774,-12.644554,"Coles County, IL"
14,17033,3.5383973,4.2399,52.576485,63.000004,0.24799523,-10.423519,"Crawford County, IL"
15,17035,3.8875468,4.52256,57.76444,67.200005,0.23662804,-9.435566,"Cumberland County, IL"
16,17037,3.879438,4.11203,57.64395,61.100002,0.14238445,-3.4560509,"DeKalb County, IL"
17,17039,4.1718087,5.0475,61.988243,75.0,0.25761506,-13.011757,"De Witt County, IL"
18,17041,4.1154227,5.25613,61.150414,78.100006,0.24098556,-16.949593,"Douglas County, IL"
19,17045,4.0636816,4.67735,60.3816,69.5,0.21543296,-9.118401,"Edgar County, IL"
20,17047,3.2051828,2.96793,47.6253,44.100002,0.26736057,3.525299,"Edwards County, IL"
21,17049,3.8239744,4.85233,56.819828,72.100006,0.23682095,-15.280178,"Effingham County, IL"
22,17051,3.6933951,4.00435,54.87957,59.500004,0.23061934,-4.620434,"Fayette County, IL"
23,17053,3.6816306,4.08511,54.704765,60.700005,0.25712556,-5.9952393,"Ford County, IL"
24,17055,3.1912057,3.19675,47.417618,47.5,0.22631511,-0.0823822,"Franklin County, IL"
25,17057,3.8163786,4.19952,56.706963,62.4,0.22233684,-5.693039,"Fulton County, IL"
26,17059,3.095646,3.365,45.99771,50.0,0.21557055,-4.002289,"Gallatin County, IL"
27,17061,3.6747518,4.71773,54.602554,70.1,0.21942347,-15.497444,"Greene County, IL"
28,17063,3.7605543,3.93705,55.87748,58.500004,0.23170322,-2.6225243,"Grundy County, IL"
29,17065,3.2893226,3.44576,48.875523,51.2,0.24578713,-2.3244781,"Hamilton County, IL"
30,17067,3.8268209,4.69754,56.86212,69.799995,0.24135697,-12.937874,"Hancock County, IL"
31,17069,2.6542258,2.91409,39.43872,43.3,0.2769915,-3.8612785,"Hardin County, IL"
32,17071,3.8770428,4.05146,57.608364,60.199997,0.22282661,-2.5916328,"Henderson County, IL"
33,17073,4.0664506,4.25336,60.422745,63.199997,0.19439125,-2.7772522,"Henry County, IL"
34,17075,3.6632833,3.72169,54.432144,55.3,0.2325645,-0.8678551,"Iroquois County, IL"
35,17077,3.3709085,3.29097,50.087795,48.9,0.211765,1.1877937,"Jackson County, IL"
36,17079,3.726254,4.08511,55.367817,60.700005,0.21689047,-5.3321877,"Jasper County, IL"
37,17081,3.2788215,3.45922,48.719486,51.399998,0.23262157,-2.6805115,"Jefferson County, IL"
38,17089,3.6418142,3.96397,54.11314,58.9,0.1610371,-4.7868614,"Kane County, IL"
39,17091,3.445117,3.64766,51.190445,54.2,0.26069447,-3.0095558,"Kankakee County, IL"
40,17093,3.5701728,4.09184,53.04863,60.8,0.18666296,-7.7513695,"Kendall County, IL"
41,17095,4.0565476,4.31393,60.275597,64.1,0.20830707,-3.8244019,"Knox County, IL"
42,17097,3.106978,2.77949,46.166092,41.3,0.17619595,4.8660927,"Lake County, IL"
43,17099,3.8290281,4.51583,56.89492,67.1,0.20023543,-10.205078,"LaSalle County, IL"
44,17101,3.3413115,3.64093,49.648018,54.1,0.2590292,-4.4519806,"Lawrence County, IL"
45,17103,3.935139,4.28701,58.471603,63.700005,0.1671043,-5.228401,"Lee County, IL"
46,17105,3.622456,4.1053,53.8255,61.0,0.28248516,-7.1744995,"Livingston County, IL"
47,17107,4.226482,4.71773,62.800625,70.1,0.25731817,-7.2993736,"Logan County, IL"
48,17109,4.1112413,4.66389,61.088284,69.299995,0.21692422,-8.211712,"McDonough County, IL"
49,17111,3.6706672,3.96397,54.54186,58.9,0.14852217,-4.358143,"McHenry County, IL"
50,17113,4.1075187,4.54275,61.032967,67.5,0.2691625,-6.4670334,"McLean County, IL"
51,17115,4.192449,5.06096,62.294933,75.2,0.24179015,-12.905064,"Macon County, IL"
52,17117,3.9542053,4.69081,58.75491,69.700005,0.22781035,-10.945095,"Macoupin County, IL"
53,17119,3.668067,4.20625,54.503223,62.500004,0.23201877,-7.9967804,"Madison County, IL"
54,17121,3.571025,4.07165,53.06129,60.5,0.23600283,-7.4387093,"Marion County, IL"
55,17123,3.9476545,4.40815,58.65757,65.5,0.2192607,-6.84243,"Marshall County, IL"
56,17129,4.118409,4.61678,61.194786,68.6,0.23905826,-7.4052124,"Menard County, IL"
57,17131,3.8511338,4.25336,57.223385,63.199997,0.2110435,-5.976612,"Mercer County, IL"
58,17133,3.5057611,3.64093,52.09155,54.1,0.2178777,-2.0084496,"Monroe County, IL"
