FIPS,yield,pred,error,NAME,NAMELSAD
5001,192.3,177.82922,14.470779,Arkansas,Arkansas County
5003,196.2,175.06181,21.138184,Ashley,Ashley County
5017,182.4,169.30788,13.092117,Chicot,Chicot County
5021,203.4,166.44476,36.95523,Clay,Clay County
5031,185.4,163.58273,21.81726,Craighead,Craighead County
5035,178.3,170.77597,7.5240326,Crittenden,Crittenden County
5041,193.8,177.09073,16.709274,Desha,Desha County
5043,189.2,178.13838,11.061615,Drew,Drew County
5055,186.3,161.02248,25.277527,Greene,Greene County
5063,160.0,135.4756,24.524399,Independence,Independence County
5067,174.2,151.58813,22.611862,Jackson,Jackson County
5069,187.0,176.8065,10.193497,Jefferson,Jefferson County
5071,151.4,115.24759,36.152405,Johnson,Johnson County
5073,165.9,150.24597,15.654022,Lafayette,Lafayette County
5075,170.0,149.92517,20.07483,Lawrence,Lawrence County
5077,184.0,162.05257,21.947433,Lee,Lee County
5079,189.5,170.62819,18.87181,Lincoln,Lincoln County
5085,187.6,175.84314,11.756866,Lonoke,Lonoke County
5093,163.6,164.60254,-1.002533,Mississippi,Mississippi County
5095,182.1,169.04224,13.05777,Monroe,Monroe County
5107,172.1,169.33633,2.7636719,Phillips,Phillips County
5111,195.4,161.90584,33.494156,Poinsett,Poinsett County
5121,181.8,146.4013,35.398697,Randolph,Randolph County
5123,183.4,168.57709,14.8229065,St. Francis,St. Francis County
5145,203.2,158.15912,45.04088,White,White County
5147,177.4,158.2494,19.150589,Woodruff,Woodruff County
17001,192.2,171.66693,20.533066,Adams,Adams County
17003,159.4,151.22006,8.179932,Alexander,Alexander County
17005,170.7,157.9708,12.729202,Bond,Bond County
17007,189.9,173.61975,16.280243,Boone,Boone County
17009,188.7,172.16985,16.530151,Brown,Brown County
17011,215.4,201.99376,13.406235,Bureau,Bureau County
17013,156.0,167.4153,-11.415298,Calhoun,Calhoun County
17015,238.0,206.62817,31.371826,Carroll,Carroll County
17017,194.7,177.82716,16.872833,Cass,Cass County
17019,206.8,184.67416,22.12584,Champaign,Champaign County
17021,220.0,198.51816,21.481842,Christian,Christian County
17023,185.9,169.83861,16.061386,Clark,Clark County
17025,119.6,149.44917,-29.849174,Clay,Clay County
17027,157.5,149.23372,8.266281,Clinton,Clinton County
17029,208.3,186.22955,22.07045,Coles,Coles County
17033,172.5,163.42543,9.07457,Crawford,Crawford County
17035,181.2,170.50238,10.697617,Cumberland,Cumberland County
17037,204.1,191.03716,13.062851,DeKalb,DeKalb County
17039,201.1,194.06725,7.0327606,De Witt,De Witt County
17041,211.9,191.18867,20.711319,Douglas,Douglas County
17045,206.4,189.92477,16.47522,Edgar,Edgar County
17047,171.4,152.03073,19.369263,Edwards,Edwards County
17049,188.8,168.16467,20.63533,Effingham,Effingham County
17051,170.3,163.78635,6.5136566,Fayette,Fayette County
17053,212.4,179.4409,32.95909,Ford,Ford County
17055,157.0,142.35571,14.644287,Franklin,Franklin County
17057,198.6,181.15779,17.442215,Fulton,Fulton County
17059,190.3,168.22171,22.078293,Gallatin,Gallatin County
17061,200.4,173.53127,26.868729,Greene,Greene County
17063,208.7,188.49968,20.200317,Grundy,Grundy County
17065,174.2,155.2363,18.9637,Hamilton,Hamilton County
17067,222.9,196.46355,26.436447,Hancock,Hancock County
17071,223.9,198.0655,25.834488,Henderson,Henderson County
17073,217.6,202.96538,14.634628,Henry,Henry County
17075,199.0,165.78105,33.21895,Iroquois,Iroquois County
