,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17007,4.0285783,4.23317,59.860004,62.9,0.21743046,-3.039997
1,17009,3.4870765,4.07838,51.813915,60.600002,0.29772523,-8.786087
2,17011,4.22826,4.90617,62.827045,72.9,0.22204252,-10.072956
3,17015,4.2192183,4.73119,62.692696,70.3,0.21556166,-7.6073074
4,17023,3.7263958,4.26009,55.369923,63.3,0.30029878,-7.9300766
5,17025,3.2919118,3.6342,48.913994,54.000004,0.29117304,-5.08601
6,17027,3.3024344,3.7688,49.07035,56.0,0.277013,-6.9296494
7,17029,4.112418,4.79176,61.10577,71.2,0.25359222,-10.094227
8,17031,3.404254,2.88717,50.583267,42.9,0.28745914,7.6832657
9,17033,3.564316,3.91686,52.961605,58.2,0.29256094,-5.2383957
10,17041,4.164844,4.711,61.884754,70.0,0.24152118,-8.115246
11,17045,4.091387,4.79176,60.793266,71.2,0.27686587,-10.406731
12,17049,3.6607015,3.74861,54.393784,55.7,0.27644822,-1.3062172
13,17051,3.5223098,3.62074,52.33744,53.8,0.29544333,-1.4625587
14,17055,2.8271875,3.16983,42.00873,47.100002,0.36707947,-5.0912704
15,17057,3.5094614,4.19952,52.14653,62.4,0.3027786,-10.253471
16,17061,3.7617319,4.74465,55.894978,70.5,0.26955822,-14.605022
17,17067,4.0447044,4.32739,60.09962,64.3,0.24311571,-4.200382
18,17075,3.96098,4.39469,58.85557,65.3,0.25553396,-6.4444313
19,17077,2.9646301,3.4323,44.05097,51.0,0.37171972,-6.949032
20,17081,2.763703,3.13618,41.065426,46.6,0.35896152,-5.5345726
21,17083,3.5831594,4.28701,53.241596,63.700005,0.29659468,-10.458408
22,17085,3.4658527,3.6342,51.498554,54.000004,0.281009,-2.5014496
23,17089,3.997264,4.28701,59.39471,63.700005,0.23160921,-4.305294
24,17095,3.9981496,4.54948,59.40787,67.6,0.26004988,-8.192127
25,17097,3.2378032,3.45249,48.110004,51.300003,0.30207655,-3.1899986
26,17099,4.2507005,4.5091,63.160484,67.0,0.2184929,-3.8395157
27,17101,3.428356,3.78899,50.941395,56.3,0.29082498,-5.3586044
28,17105,4.162609,4.66389,61.851547,69.299995,0.24742843,-7.448448
29,17107,4.379853,4.9802,65.07954,74.0,0.22179554,-8.920464
30,17113,4.313375,4.99366,64.09175,74.2,0.2327163,-10.108246
31,17115,4.3740606,5.23594,64.99347,77.8,0.22618185,-12.806534
32,17117,3.8031194,4.38123,56.50995,65.1,0.25993615,-8.59005
33,17119,3.6130629,3.62747,53.68593,53.9,0.26443407,-0.21407318
34,17121,3.266897,3.4996,48.5423,52.0,0.29676968,-3.4576988
35,17125,3.9498277,4.5091,58.68986,67.0,0.28602237,-8.310139
36,17127,2.9769502,3.33135,44.234028,49.5,0.35975486,-5.265972
37,17133,3.2409601,3.49287,48.15691,51.9,0.28054512,-3.7430916
38,17135,3.8778267,4.28028,57.62001,63.600002,0.25583562,-5.979992
39,17137,4.0877047,4.89944,60.738556,72.799995,0.25460395,-12.0614395
40,17143,4.0543256,4.65716,60.24258,69.2,0.25362745,-8.957417
41,17145,2.8091867,3.43903,41.74126,51.1,0.35502803,-9.358738
42,17147,4.5936203,5.22248,68.255875,77.6,0.22195084,-9.344124
43,17149,3.660338,4.29374,54.38838,63.8,0.27984157,-9.411621
44,17151,2.9570432,3.22367,43.938236,47.9,0.36808148,-3.9617653
45,17157,2.9360044,3.38519,43.62562,50.3,0.33222294,-6.6743774
46,17159,3.48701,3.72169,51.812927,55.3,0.27829337,-3.487072
47,17163,3.4189496,3.69477,50.80163,54.9,0.26837307,-4.0983734
48,17167,4.326276,5.20229,64.28345,77.3,0.22398287,-13.016556
49,17177,3.9232323,4.46199,58.294685,66.299995,0.24352941,-8.00531
50,17179,4.30117,5.04077,63.9104,74.9,0.23495974,-10.989601
51,17183,4.096295,4.75138,60.866196,70.6,0.25944778,-9.733803
52,17185,3.7062716,3.58709,55.0709,53.3,0.2964752,1.7709007
53,17189,3.0156786,3.71496,44.80949,55.2,0.31195548,-10.390511
54,17191,3.1883235,3.33808,47.374794,49.6,0.30878466,-2.2252045
55,17193,3.420832,3.69477,50.829597,54.9,0.29922473,-4.070404
56,17195,4.138726,4.71773,61.496677,70.1,0.22913827,-8.603321
57,17197,3.6400542,3.69477,54.086987,54.9,0.26372066,-0.813015
58,17199,2.7667398,2.8939,41.110546,43.0,0.40247977,-1.8894539
59,17201,3.787179,4.02454,56.27309,59.8,0.24848358,-3.5269089
60,17203,4.2649636,5.00712,63.372417,74.4,0.2364045,-11.027584
61,18001,3.2867725,4.04473,48.83763,60.100002,0.2747714,-11.262371
62,18003,3.2934217,3.54671,48.93643,52.7,0.27010983,-3.7635689
63,18005,3.3491025,4.34758,49.763783,64.6,0.31696165,-14.836216
64,18007,4.0858617,4.8456,60.71117,72.0,0.2518281,-11.28883
65,18011,3.7232187,4.38123,55.322716,65.1,0.25516683,-9.777283
66,18015,3.858131,4.38796,57.327354,65.2,0.24072087,-7.8726425
67,18017,3.6120698,3.91013,53.671173,58.100002,0.25384426,-4.428829
68,18019,3.04993,3.21694,45.318428,47.8,0.43156275,-2.4815712
69,18021,3.4715266,3.86302,51.582863,57.4,0.30882227,-5.8171387
70,18023,3.91509,4.34758,58.173702,64.6,0.2281664,-6.426296
71,18027,3.5338,3.76207,52.50817,55.9,0.3036149,-3.3918304
72,18029,2.777408,3.29097,41.269062,48.9,0.4714527,-7.6309395
73,18031,3.54173,4.63697,52.626003,68.9,0.28499198,-16.273998
74,18035,3.374821,4.1053,50.145927,61.0,0.27946377,-10.854073
75,18037,3.4319324,3.85629,50.994537,57.300003,0.32559657,-6.3054657
76,18039,3.3814478,3.82264,50.244396,56.8,0.27456403,-6.555603
77,18041,3.222771,3.95724,47.886642,58.800003,0.28763995,-10.913361
78,18047,2.9486864,3.99089,43.814064,59.3,0.38007912,-15.485935
79,18049,3.4829342,3.64766,51.752365,54.2,0.2418853,-2.4476357
80,18051,3.6682096,4.03127,54.505344,59.9,0.28089967,-5.394657
81,18053,3.6098897,3.93705,53.63878,58.500004,0.25917876,-4.861225
82,18055,3.2369545,4.05146,48.097393,60.199997,0.33455738,-12.102604
83,18057,3.5817485,4.39469,53.22063,65.3,0.28142264,-12.079372
84,18059,3.2715857,3.87648,48.611973,57.600002,0.2986605,-8.9880295
85,18063,3.6333182,4.19279,53.986897,62.3,0.2679336,-8.313103
86,18067,3.7901688,4.50237,56.317516,66.9,0.24491216,-10.582485
