,FIPS,y_test_pred,y_test
452,27017,85.77714,144.2
453,27019,129.92879,192.2
454,27021,91.93109,144.8
455,27023,140.89458,194.9
456,27025,91.58495,155.4
457,27027,128.38039,161.0
458,27033,145.99489,202.6
459,27035,85.414665,128.3
460,27037,135.75552,183.1
461,27039,141.10094,189.6
462,27045,134.413,183.0
463,27047,145.08948,182.7
464,27049,139.74889,195.9
465,27051,133.325,187.4
466,27055,131.15271,177.0
467,27059,95.686104,154.8
468,27063,148.03723,204.7
469,27067,140.08122,203.7
470,27073,131.58931,183.9
471,27079,132.53825,193.3
472,27081,133.46147,181.5
473,27085,133.63213,177.4
474,27087,128.37282,183.0
475,27089,123.35404,163.8
476,27093,131.21552,192.9
477,27095,90.433945,137.4
478,27097,101.89374,145.0
479,27099,133.14983,170.1
480,27103,139.02356,196.1
481,27105,151.9045,198.7
482,27107,127.52949,166.1
483,27109,124.290436,174.8
484,27111,122.08375,157.9
485,27115,93.44195,151.9
486,27117,129.575,161.8
487,27119,127.02096,146.9
488,27121,134.3685,179.5
489,27125,127.33924,170.8
490,27127,131.857,176.0
491,27129,140.96089,208.3
492,27131,132.07239,194.6
493,27139,129.00894,191.9
494,27141,111.946815,173.2
495,27143,131.69267,182.7
496,27145,118.46311,187.3
497,27147,137.20679,189.9
498,27149,135.05374,195.3
499,27151,139.85138,197.0
500,27153,106.81016,148.3
501,27155,123.39703,187.5
502,27159,108.50567,152.4
503,27161,143.31172,201.6
504,27163,117.564705,194.6
505,27165,142.97067,209.3
506,27167,116.16446,142.5
507,27169,132.48297,197.8
508,27171,113.121826,180.6
509,27173,134.6078,179.1
510,29003,157.62827,175.7
511,29007,116.85012,115.3
512,29011,97.05773,149.0
513,29013,124.68708,143.6
514,29017,115.81313,119.2
515,29019,117.483376,122.8
516,29021,161.37367,175.2
517,29025,125.09599,148.7
518,29027,114.91367,141.4
519,29031,121.80466,140.0
520,29033,138.40744,154.8
521,29045,129.22606,166.6
522,29047,149.2338,190.6
523,29049,158.78264,189.1
524,29051,94.33233,130.8
525,29053,115.84872,105.0
526,29057,81.02476,95.2
527,29059,72.099915,124.1
528,29061,137.10625,146.0
529,29063,149.37627,190.4
530,29069,130.56169,164.0
531,29071,112.58216,131.5
532,29073,95.65757,113.5
533,29075,146.32927,160.0
534,29079,133.74806,156.1
535,29083,99.385155,123.6
536,29085,43.014763,101.2
537,29087,176.69585,219.0
538,29089,131.04073,149.1
539,29095,151.86821,186.7
540,29097,84.48742,141.5
541,29099,91.76246,118.1
542,29101,110.88874,129.3
543,29103,116.50871,130.9
544,29105,90.519714,144.0
545,29107,158.89964,176.7
546,29109,79.82334,88.4
547,29111,109.88333,147.7
548,29113,117.679115,159.2
549,29115,111.75085,157.2
550,29117,127.69761,142.7
551,29121,114.16185,136.8
552,29125,85.17048,75.9
553,29127,113.27855,124.9
554,29131,86.975296,112.1
555,29133,145.04285,177.3
556,29135,107.955154,113.9
557,29137,92.83508,82.0
558,29139,118.817406,139.6
559,29143,145.84059,186.4
560,29151,103.19292,113.3
561,29155,142.67006,188.8
562,29157,109.94946,133.1
563,29159,109.58663,121.3
564,29165,158.32014,166.7
565,29167,79.46357,142.3
566,29171,104.92959,144.0
567,29173,106.13381,97.2
568,29175,113.16222,105.2
569,29177,143.55899,173.0
570,29183,142.24806,165.9
571,29185,76.30165,79.8
572,29186,110.76928,148.7
573,29187,99.81289,139.3
574,29195,150.11302,175.7
575,29199,127.92603,167.6
576,29201,141.1316,178.8
577,29205,114.1359,105.4
578,29207,139.39453,173.4
579,29211,116.6074,147.2
580,29217,80.756546,104.7
581,29219,122.15353,143.5
582,29223,77.97474,89.9
583,29227,143.24538,170.4
584,31001,155.91692,204.5
585,31013,83.48798,160.3
586,31015,120.064156,171.5
587,31017,148.98793,211.9
588,31019,147.78603,196.4
589,31021,151.29424,174.3
590,31023,153.22089,187.0
591,31025,157.21547,195.7
592,31027,158.84737,196.9
593,31029,102.56457,164.8
594,31033,46.568405,99.4
595,31035,149.04175,193.7
596,31037,153.77058,173.8
597,31039,150.15697,164.8
598,31041,130.93628,193.2
599,31043,163.16655,196.7
600,31047,149.28952,234.5
601,31049,53.400047,118.5
602,31051,159.9572,178.8
603,31053,159.82396,198.2
604,31055,136.66942,165.6
605,31057,85.52622,155.3
606,31059,154.19167,186.6
607,31061,134.94884,196.8
608,31065,77.44634,116.8
609,31067,135.0388,164.6
610,31069,64.366554,141.2
611,31071,126.77004,192.9
612,31073,131.98389,206.6
613,31077,136.83965,193.4
614,31079,153.5992,214.9
615,31081,165.09862,218.9
616,31083,119.948814,191.7
617,31085,91.140144,132.5
618,31087,60.045143,109.6
619,31089,153.65907,223.7
620,31093,137.08762,216.6
621,31095,125.3909,140.8
622,31097,141.19774,173.6
623,31099,156.45537,202.8
624,31103,135.0986,215.0
625,31107,137.62811,167.0
626,31109,127.22262,139.6
627,31111,118.80733,189.7
628,31113,124.47738,202.6
629,31115,119.756325,178.5
630,31119,148.85808,175.0
631,31121,147.34761,198.9
632,31123,91.28982,173.1
633,31127,162.52477,189.9
634,31133,131.37941,173.8
635,31137,166.62778,227.2
636,31141,160.85616,207.4
637,31143,152.90616,190.3
638,31147,156.01384,194.8
639,31149,144.49258,232.3
640,31151,135.0445,157.6
641,31153,144.4915,182.4
642,31155,156.07162,191.3
643,31157,95.24415,186.5
644,31163,136.11827,198.2
645,31165,105.359886,161.5
646,31167,143.62996,163.2
647,31169,130.994,166.6
648,31175,136.23668,210.1
649,31177,141.22192,155.3
650,31179,148.93358,160.3
651,31181,109.7742,147.3
652,31183,139.20956,225.8
653,38001,67.65199,96.9
654,38003,116.092,143.1
655,38005,100.739235,101.5
656,38009,95.54528,113.3
657,38011,68.85801,112.0
658,38015,100.0312,138.7
659,38017,124.98911,161.3
660,38019,89.89366,92.4
661,38021,114.36739,167.5
662,38025,57.597557,109.5
663,38027,107.44625,146.5
664,38029,101.05609,144.8
665,38031,106.31565,154.6
666,38033,69.30212,104.6
667,38035,114.64716,134.3
668,38037,72.21243,125.9
669,38039,114.56541,147.5
670,38041,78.9797,116.9
671,38043,102.91389,127.0
672,38045,119.41268,161.9
673,38047,98.16061,139.3
674,38049,92.28854,107.9
675,38051,98.021706,140.6
676,38055,96.80629,118.4
677,38059,83.44119,134.5
678,38061,82.56684,64.5
679,38063,102.75088,120.1
680,38065,89.04394,130.0
681,38067,114.24674,122.1
682,38069,82.58814,106.0
683,38071,98.66242,104.7
684,38073,123.378,176.2
685,38075,89.80296,98.4
686,38077,127.05738,165.1
687,38079,78.460655,58.2
688,38081,122.39777,160.3
689,38083,100.37345,122.3
690,38085,63.43328,121.9
691,38087,69.97526,106.2
692,38089,67.56897,112.5
693,38091,118.05255,151.2
694,38093,110.13559,153.9
695,38097,122.85486,153.1
696,38099,107.881714,124.9
697,38101,97.2692,121.5
698,38103,109.07114,155.7
699,38105,75.879295,85.2
700,39003,129.61815,190.3
701,39007,125.52361,179.7
702,39009,111.09222,195.9
703,39011,132.1749,194.4
704,39013,85.31415,165.0
705,39015,138.33197,210.7
706,39017,117.47564,194.4
707,39019,100.52221,153.7
708,39021,138.43153,203.3
709,39023,134.03185,194.7
710,39027,150.1933,222.1
711,39029,111.268036,181.1
712,39031,117.19143,182.7
713,39033,134.96811,205.1
714,39037,142.36418,210.4
715,39039,119.886635,172.1
716,39041,127.16854,193.7
717,39043,131.3624,190.4
718,39045,129.98706,193.6
719,39047,151.81151,209.8
720,39051,136.22981,200.5
721,39053,119.72636,180.1
722,39055,114.42307,179.5
723,39057,145.66463,214.4
724,39059,109.1142,170.5
725,39065,127.23065,188.8
726,39067,113.12636,176.6
727,39069,130.89066,199.4
728,39071,139.58653,205.3
729,39075,109.46464,175.5
730,39077,133.4362,199.4
731,39079,112.877556,144.5
732,39081,110.779655,161.9
733,39083,126.23056,183.5
734,39089,126.69149,185.4
735,39091,130.46591,183.2
736,39093,123.457146,192.7
737,39095,136.46214,200.4
738,39097,134.69621,203.1
739,39099,115.42657,189.6
740,39103,117.86042,187.9
741,39105,101.7096,170.1
742,39107,137.65889,204.7
743,39109,141.92023,200.7
744,39111,85.91491,148.5
745,39113,132.28883,198.6
746,39115,112.51018,173.8
747,39119,121.8359,181.8
748,39121,102.830475,162.0
749,39123,124.766014,193.6
750,39125,120.92694,184.0
751,39127,121.56955,191.9
752,39129,141.13637,201.5
753,39131,119.14077,178.9
754,39133,119.18459,180.9
755,39135,143.08463,210.9
756,39137,125.95431,199.9
757,39139,130.27559,179.4
758,39141,133.26578,205.9
759,39145,114.68028,190.3
760,39147,132.78653,199.1
761,39149,132.10622,202.2
762,39151,112.313385,194.9
763,39155,124.67162,207.0
764,39157,102.92353,183.3
765,39159,131.33429,205.0
766,39161,128.86604,196.0
767,39165,128.48741,209.4
768,39167,106.68853,173.9
769,39169,118.46807,193.6
770,39173,130.69241,218.6
771,39175,134.41495,199.3
772,46003,99.1054,124.6
773,46009,121.71786,157.9
774,46011,130.85277,164.7
775,46013,121.18423,175.6
776,46015,107.45358,130.4
777,46019,103.039665,140.5
778,46021,101.24551,161.4
779,46023,106.99157,133.6
780,46025,118.49128,164.7
781,46027,147.61842,175.6
782,46031,74.218,125.3
783,46035,122.565056,158.6
784,46043,109.282974,150.2
785,46045,106.802635,149.4
786,46051,123.60383,143.1
787,46055,45.000145,82.9
788,46057,125.89865,175.8
789,46059,113.03423,151.7
790,46061,132.44006,168.0
791,46065,86.07841,135.8
792,46067,128.74263,151.5
793,46073,106.723564,141.2
794,46083,133.01178,152.5
795,46085,80.17898,131.1
796,46087,117.97016,148.6
797,46089,100.85153,158.7
798,46091,116.99108,161.3
799,46097,111.47955,138.7
800,46101,136.62169,174.6
801,46105,53.128777,88.8
802,46109,118.911766,150.1
803,46115,117.06087,171.3
804,46119,91.15893,134.0
805,46125,132.43073,158.0
806,46127,150.39543,177.9
807,46135,132.28389,176.4
808,55005,106.36261,150.4
809,55007,82.782845,122.9
810,55009,108.67886,175.6
811,55011,120.65034,186.2
812,55013,94.097206,124.3
813,55015,110.09089,172.9
814,55017,115.67266,167.1
815,55019,111.77119,149.4
816,55021,121.01368,185.1
817,55023,122.76292,154.5
818,55025,118.7386,196.9
819,55027,125.87398,199.9
820,55029,96.276825,165.1
821,55033,128.1096,182.9
822,55035,117.00105,169.0
823,55039,120.14236,192.5
824,55043,135.19913,207.8
825,55045,131.64249,185.2
826,55049,120.166954,195.5
827,55053,118.0976,160.5
828,55055,121.26154,180.8
829,55057,113.93329,142.3
830,55059,117.31598,182.5
831,55061,103.150696,167.0
832,55063,121.1399,162.7
833,55065,141.65785,210.0
834,55067,103.196465,149.1
835,55069,102.46632,146.8
836,55071,113.12788,171.8
837,55073,106.49766,153.8
838,55075,108.91505,161.6
839,55077,111.738945,159.1
840,55079,105.165306,197.3
841,55081,110.703384,157.5
842,55083,114.518684,168.7
843,55087,113.95126,163.1
844,55089,104.443565,182.3
845,55091,123.39788,182.9
846,55093,130.5358,200.0
847,55095,109.542946,145.3
848,55097,109.14716,149.6
849,55099,95.595116,134.6
850,55101,112.81311,191.5
851,55103,110.03747,148.8
852,55105,126.52825,187.2
853,55107,102.151146,155.6
854,55109,123.49118,182.3
855,55111,107.75653,158.6
856,55113,91.75027,133.0
857,55115,113.20063,165.1
858,55117,111.54634,183.0
859,55119,105.16505,167.1
860,55121,115.46696,147.1
861,55123,112.64475,140.0
862,55127,126.92855,192.4
863,55129,89.829796,132.6
864,55131,105.898605,164.4
865,55133,107.53881,172.4
866,55135,102.48069,162.4
867,55137,123.44067,179.7
868,55139,105.57082,176.1
869,55141,108.481224,157.0
