,FIPS,y_test_pred,y_test
0,17001,172.52513,185.7
1,17005,165.84868,194.5
2,17007,176.65895,212.7
3,17009,178.32549,192.4
4,17011,201.83386,223.5
5,17013,182.20024,197.4
6,17015,196.25743,229.5
7,17017,193.2493,215.8
8,17019,191.13297,218.2
9,17021,203.62137,216.8
10,17023,190.32283,204.6
11,17025,161.66371,178.3
12,17027,155.9495,156.6
13,17029,198.8108,221.3
14,17033,178.35507,194.3
15,17035,189.36168,206.6
16,17037,189.1671,222.8
17,17041,196.83675,211.6
18,17045,201.79623,208.5
19,17047,163.52763,184.8
20,17049,178.58261,186.0
21,17051,164.48132,172.2
22,17053,188.55598,223.3
23,17055,153.70296,173.7
24,17057,179.91135,201.2
25,17061,192.69392,203.6
26,17067,186.27228,204.2
27,17071,199.05984,229.7
28,17073,193.06406,223.5
29,17075,187.27303,216.5
30,17077,153.0702,165.2
31,17079,183.69905,191.8
32,17081,146.90099,155.7
33,17083,192.82863,201.9
34,17085,184.08151,211.2
35,17087,159.67815,159.6
36,17089,176.64592,209.1
37,17091,186.30536,207.5
38,17093,185.07976,206.2
39,17095,192.07109,219.0
40,17097,143.72267,192.9
41,17099,195.1516,199.7
42,17101,174.78937,186.3
43,17103,195.88707,207.7
44,17105,194.02843,220.1
45,17107,193.94403,211.1
46,17109,192.38258,224.2
47,17113,195.65738,223.3
48,17115,199.25737,225.3
49,17117,192.0988,199.3
50,17119,175.76018,189.3
51,17121,163.30943,157.8
52,17125,182.46797,208.1
53,17127,162.80087,174.9
54,17129,188.73476,214.4
55,17131,203.163,226.6
56,17133,141.34277,154.0
57,17135,187.87007,202.6
58,17137,194.0942,200.2
59,17139,203.64404,220.5
60,17141,191.60805,216.8
61,17143,187.2018,220.0
62,17145,139.98442,165.2
63,17147,209.33653,223.2
64,17149,182.43053,189.8
65,17151,169.47945,161.3
66,17153,164.03831,161.7
67,17155,192.06572,213.7
68,17157,146.93666,161.7
69,17159,172.22581,192.5
70,17161,194.54247,218.9
71,17163,162.35677,174.0
72,17165,164.21968,170.3
73,17167,195.63539,221.1
74,17169,177.08864,188.8
75,17171,181.3816,196.3
76,17173,186.99763,196.6
77,17175,201.13805,234.1
78,17177,188.10191,217.0
79,17179,186.8232,222.0
80,17181,156.94592,142.3
81,17183,188.06044,204.2
82,17185,174.34149,184.1
83,17189,152.39862,178.6
84,17191,165.20396,185.1
85,17193,167.5085,171.0
86,17195,190.40163,201.3
87,17197,167.29617,195.2
88,17199,156.79053,170.3
89,17201,173.3402,190.4
90,17203,190.00471,223.2
91,18001,169.33284,202.8
92,18003,165.75676,190.4
93,18005,168.89017,195.0
94,18007,188.23233,222.2
95,18009,175.68019,200.3
96,18011,186.19756,207.2
97,18013,171.82848,183.5
98,18019,170.23732,188.9
99,18021,185.5851,194.3
100,18023,198.28578,234.4
101,18027,178.83928,213.9
102,18029,152.71025,189.1
103,18031,178.38766,221.9
104,18035,170.49582,191.4
105,18039,174.77924,181.7
106,18041,175.77354,208.0
107,18047,167.24406,198.4
108,18051,175.43219,202.5
109,18053,188.17308,219.2
110,18055,166.06636,189.6
111,18057,163.7402,205.8
112,18059,165.89127,206.9
113,18061,159.73308,188.3
114,18063,182.04607,222.0
115,18065,176.42299,197.4
116,18067,193.48477,215.6
117,18069,179.61668,211.7
118,18073,180.00874,200.1
119,18075,173.45712,198.7
120,18077,165.69864,182.9
121,18079,170.56439,191.9
122,18081,173.90233,224.4
123,18083,172.98726,202.0
124,18085,184.00291,198.0
125,18087,163.50479,182.4
126,18089,183.4103,207.5
127,18091,178.51524,177.4
128,18095,176.2898,207.6
129,18097,159.33342,185.9
130,18099,189.26794,196.9
131,18103,179.88863,202.0
132,18105,160.42915,182.6
133,18107,194.05183,228.0
134,18109,184.49202,200.0
135,18111,185.67279,219.3
136,18113,171.87373,195.3
137,18115,148.16219,165.2
138,18119,171.5276,191.8
139,18125,173.34514,199.1
140,18127,185.1137,201.7
141,18129,178.94518,198.8
142,18131,186.2499,197.1
143,18133,188.28941,202.3
144,18135,175.8073,193.2
145,18137,163.84938,180.9
146,18139,183.20169,221.5
147,18141,183.48058,184.1
148,18143,175.7953,192.6
149,18145,173.9775,200.6
150,18149,178.0817,189.0
151,18151,166.47208,182.8
152,18153,179.84042,199.2
153,18155,149.06947,181.0
154,18157,188.75978,222.4
155,18159,191.82457,208.8
156,18161,186.06224,221.8
157,18163,168.20842,186.4
158,18167,174.75587,198.8
159,18169,181.39017,206.8
160,18173,163.5606,194.8
161,18177,176.69353,194.2
162,18179,185.6467,205.6
163,18181,183.82637,197.7
164,18183,168.07698,181.9
165,19005,173.05171,183.9
166,19007,157.94055,172.8
167,19009,183.11525,197.6
168,19011,181.40077,199.7
169,19015,209.3765,226.5
170,19017,189.72029,199.9
171,19019,183.95589,190.7
172,19021,193.50523,212.0
173,19023,183.52585,183.1
174,19025,196.30487,201.6
175,19027,191.62544,196.7
176,19031,188.91429,205.7
177,19035,196.79655,211.7
178,19037,186.9807,198.9
179,19041,196.71321,203.9
180,19043,179.44078,201.1
181,19045,184.14131,198.0
182,19047,184.1753,187.9
183,19049,189.90169,210.9
184,19051,144.58833,179.8
185,19053,167.23988,205.3
186,19055,183.07677,198.9
187,19057,185.7478,207.9
188,19059,187.37276,201.3
189,19061,179.21573,199.5
190,19065,180.65907,205.9
191,19067,186.4468,191.8
192,19069,202.12256,210.5
193,19071,203.48445,211.0
194,19073,204.16293,208.0
195,19075,197.79422,212.9
196,19079,203.63535,215.5
197,19081,202.56581,204.9
198,19083,202.43332,213.3
199,19085,179.926,190.3
200,19087,176.88113,195.1
201,19089,185.57018,183.9
202,19091,187.49863,205.8
203,19093,190.59755,198.0
204,19095,183.2441,213.5
205,19097,168.71645,189.6
206,19099,204.81505,218.0
207,19101,171.67635,195.1
208,19103,174.91347,203.1
209,19105,172.29585,190.7
210,19107,187.81267,211.6
211,19111,174.8931,203.7
212,19113,164.66286,179.5
213,19117,153.5884,173.9
