,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
149,29186,53.83281,52.4,2.3346684
150,27171,54.394485,51.7,1.4009906
151,39077,60.89891,51.5,1.9947727
152,19019,61.59153,65.0,1.5572144
153,19125,56.46118,57.8,1.8284891
154,17147,73.53364,74.2,1.7068332
155,31023,54.595753,43.7,1.8646283
156,46057,50.737003,49.9,1.4248242
157,17189,58.15986,50.5,1.883708
158,26105,51.885956,52.9,1.776625
159,55023,56.60228,55.4,2.0489326
160,38003,40.98003,33.3,1.4057696
161,20029,39.027008,26.3,2.1581738
162,27117,49.84349,44.3,1.3041031
163,39015,57.86472,50.8,2.0233562
164,18093,56.88155,50.0,2.5437136
165,19063,61.75152,62.8,1.2997255
166,17127,53.826096,50.0,1.9828577
167,31179,48.644554,37.2,1.6665411
168,18031,66.43365,68.3,1.9866304
170,17027,61.38726,54.6,2.0437226
171,27061,42.043484,28.0,2.8455436
173,19007,50.298615,40.4,1.869476
174,17071,70.0336,67.2,1.8027884
175,55123,57.361153,53.2,1.8207507
176,29187,51.832245,45.9,2.7306757
177,20193,28.337034,40.2,3.2406597
178,39115,55.20912,52.0,2.9749331
180,19163,68.48696,69.1,1.6640108
181,17001,63.95202,61.2,1.914503
182,31167,49.598145,36.1,1.7325164
183,29133,54.497494,58.1,1.7100711
184,38083,35.99765,29.8,1.4587722
185,18131,60.84859,51.0,1.812155
186,39159,55.665302,52.5,2.0785592
188,19143,59.397167,56.3,1.3046441
189,31097,43.70916,32.3,1.9917678
190,55067,45.79255,46.4,2.37665
191,20047,44.549614,36.0,3.1979256
192,27161,62.56244,60.5,1.2610356
193,18175,59.967392,54.7,2.304963
194,39059,56.729713,47.6,2.640222
195,19171,62.792328,61.4,1.6564397
196,31077,55.170616,51.8,2.1384635
197,17171,66.24222,72.1,1.9421262
198,29077,37.5407,28.4,2.5087128
199,26129,47.933678,36.3,1.8737894
200,55047,55.914726,54.2,1.7554271
201,27099,61.696327,60.8,1.4164721
202,38027,38.756508,34.6,1.5783583
203,27141,49.464153,47.2,1.5812039
204,18075,60.0361,55.3,2.0208297
205,39103,58.85826,50.6,2.152246
206,19087,61.784683,60.3,1.7118778
207,17117,68.77636,65.1,1.8623772
208,29015,54.0222,47.1,2.5140707
209,46125,45.102226,36.0,1.5466517
210,26067,59.641018,55.2,1.711429
211,55075,49.99035,38.8,1.9190339
212,27079,59.71225,61.3,1.3602432
213,38071,38.397865,33.7,1.4425496
214,27169,60.266644,62.2,1.5899806
215,39033,63.70233,63.8,1.8868369
217,18055,54.99138,52.3,2.2029917
218,19017,63.054573,66.7,1.5445695
219,19115,64.13172,61.4,1.724431
220,17145,49.25042,43.4,1.8610007
221,31021,57.056595,43.3,1.7922158
222,26111,53.951973,50.4,1.6276498
223,55021,60.18029,60.6,1.7852149
224,38001,19.21843,18.4,2.4003909
225,20019,18.122967,12.2,1.5693991
226,27107,45.1938,42.6,1.287861
227,39013,50.466682,45.6,2.5671654
229,18083,59.290207,57.4,2.1018841
230,19061,63.18947,68.6,1.6446183
231,17125,67.74262,62.6,1.8792262
232,31177,52.83808,41.5,1.935266
233,26011,49.253716,39.5,1.7345469
234,20191,16.530666,12.5,1.5613986
235,27023,55.589504,48.1,1.260145
236,18029,55.46671,47.4,2.3758566
237,17025,56.306847,57.3,2.1313372
238,27051,48.722393,43.5,1.269638
240,19005,60.657825,61.2,1.708596
241,31121,57.09651,51.3,2.1916335
242,55121,55.607113,49.3,1.7813113
243,29185,48.31299,31.9,2.5405197
244,39113,54.227783,51.1,2.1022277
245,19161,63.148075,61.3,1.6264782
246,17007,65.17156,62.2,1.6945086
247,31059,61.42382,64.2,1.864822
248,38081,44.15889,42.0,1.2601279
249,20099,15.169753,9.3,1.5964289
250,18129,59.441654,60.7,2.1963706
251,39157,56.655468,48.6,2.2696157
252,19141,60.620388,59.4,1.4064085
253,46107,42.54747,39.8,1.8890816
254,29167,38.99285,31.6,2.5682995
255,55065,64.17074,67.6,1.7276701
256,20045,43.901154,29.8,2.1008282
257,20143,33.599655,20.5,2.3136444
258,27167,44.782684,37.2,1.2398826
260,18173,55.32423,57.2,2.286992
261,39057,61.301838,55.4,1.9897835
262,19169,60.751633,60.0,1.562117
263,17169,65.42092,63.1,1.9784828
264,46087,44.71705,34.4,1.5202103
265,55045,62.8308,64.8,1.8304216
266,20073,25.642078,19.6,1.8060632
267,27097,51.841873,51.4,1.6650722
268,38025,26.284445,25.2,1.9911438
270,18073,64.54096,54.6,1.808184
271,39101,62.298264,58.3,1.9618421
272,19085,54.488583,52.4,1.7946951
273,17107,74.55726,71.8,1.7744639
274,29013,52.139008,29.2,2.1785617
275,46115,45.388954,41.2,1.6730769
276,26065,56.19844,45.5,1.7641054
277,29111,53.20274,41.8,1.9711465
278,26163,47.014187,25.2,2.768293
279,55073,52.831547,47.1,1.7936637
