,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
337,55021,53.11495,52.3,2.4128456
338,17137,58.36497,60.2,2.4077086
339,27005,43.104076,38.0,1.9443555
340,20027,46.276756,39.7,4.1552796
342,39157,49.726665,52.6,3.1649394
343,27163,48.8801,47.7,2.8238738
344,31155,61.195583,56.6,2.6903489
345,46077,50.52012,47.7,2.4909906
346,55117,51.67571,51.5,2.6363258
347,46091,48.301888,41.8,2.6709363
348,29025,46.0803,49.9,3.0402198
349,19085,57.79139,53.7,2.3536425
350,27033,57.20908,56.5,1.9799746
352,18135,51.949955,51.6,2.1215422
353,29069,43.16061,51.3,2.7039242
354,19113,56.958717,56.0,2.1432998
355,38041,20.949657,13.9,4.967766
356,29227,46.588253,43.2,3.159256
357,27045,54.324863,54.3,1.9199818
359,31001,66.894,66.2,3.3710666
360,18163,55.720318,62.9,2.573507
361,29097,43.156055,45.5,3.493427
362,19125,52.26052,52.9,3.057387
363,17019,59.4448,64.3,2.0465837
364,38053,33.1012,34.6,4.580238
365,27073,54.583675,49.1,2.240419
366,20111,43.254772,38.6,3.4390697
367,39039,44.511593,40.7,2.5393384
368,29109,42.2945,42.6,4.028777
369,19153,55.237396,57.1,2.6447015
370,38081,47.34755,44.0,2.3273463
371,27117,55.762966,53.7,2.2094698
372,20139,44.32796,42.8,3.3615992
373,18009,53.080204,54.7,2.0753534
374,39067,51.759968,50.6,3.5267715
375,31041,59.000084,46.8,3.908853
376,29137,50.741932,46.7,2.8379943
377,19197,55.69881,57.9,1.9285967
378,17059,52.230118,54.5,2.3806396
379,20151,47.509,51.8,4.2944455
380,18021,53.83585,55.6,2.2406003
381,39079,54.12231,51.9,3.9697626
383,19007,47.392284,50.7,3.0752425
384,17155,58.309822,57.2,2.0299363
385,17103,57.51359,59.4,1.8835078
386,39175,50.798428,50.4,2.2076228
388,18049,56.236744,55.8,2.1032593
389,39107,53.020367,53.0,2.1150455
390,31113,62.62624,57.4,3.7727969
391,46027,57.90276,51.9,2.6720784
392,19035,59.706093,62.4,2.276442
393,17199,44.447903,47.2,3.07975
394,17131,61.914383,60.0,2.2999969
395,18093,48.44343,46.9,3.5333922
396,39151,46.614185,45.8,2.9763238
397,31125,61.316887,58.8,3.2584884
398,46039,48.126846,45.6,2.4007533
399,55079,45.001476,35.5,3.262398
400,29019,48.88293,43.7,2.9751277
401,19047,61.387554,61.3,2.2341807
402,55011,50.674496,47.6,2.8270478
403,17143,59.343884,63.9,2.2525427
405,18121,53.691753,55.8,2.3695977
406,27161,57.20579,56.9,1.8121334
407,31153,56.134876,55.6,2.9095278
408,46067,50.92855,44.8,3.0929146
409,55107,43.257954,39.7,3.4941876
410,46089,38.151928,31.6,3.2597153
411,29031,45.745975,47.4,2.9669504
412,19075,60.896767,63.6,1.9881253
413,38003,41.383167,36.0,2.2097123
414,27039,56.792797,54.9,1.7800275
415,18133,54.104282,55.5,2.2002642
416,27173,56.83725,52.7,2.2459266
