,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,3.731007,3.82264,55.438442,56.8,0.13634548,-1.361557,"Adams County, IL"
1,17003,2.9711328,2.58432,44.14759,38.4,0.1951359,5.747589,"Alexander County, IL"
2,17007,4.0996976,4.19279,60.916756,62.3,0.0929464,-1.3832436,"Boone County, IL"
3,17009,3.6123605,3.4996,53.67549,52.0,0.15393263,1.6754913,"Brown County, IL"
4,17011,4.277996,4.32066,63.566063,64.200005,0.11574033,-0.63394165,"Bureau County, IL"
5,17015,4.2779675,4.6437,63.56564,69.0,0.11037673,-5.4343605,"Carroll County, IL"
6,17017,3.943181,4.19952,58.591103,62.4,0.13798393,-3.808899,"Cass County, IL"
7,17019,4.249933,4.55621,63.149075,67.700005,0.10430479,-4.55093,"Champaign County, IL"
8,17021,4.245603,4.23317,63.084743,62.9,0.10004603,0.18474197,"Christian County, IL"
9,17025,3.4950361,3.53325,51.932186,52.500004,0.14074346,-0.5678177,"Clay County, IL"
10,17027,3.4278207,3.64093,50.93344,54.1,0.14775918,-3.1665573,"Clinton County, IL"
11,17029,3.9589982,4.21298,58.826126,62.6,0.10382906,-3.7738724,"Coles County, IL"
12,17033,3.5277233,3.79572,52.41788,56.4,0.13201281,-3.9821205,"Crawford County, IL"
13,17035,3.7947445,3.9707,56.385506,59.0,0.12050398,-2.6144943,"Cumberland County, IL"
14,17037,4.1970577,4.54275,62.363415,67.5,0.08321229,-5.136585,"DeKalb County, IL"
15,17039,4.2469406,4.17933,63.104614,62.1,0.09124548,1.0046158,"De Witt County, IL"
16,17041,4.1119413,4.53602,61.098682,67.4,0.09652256,-6.301319,"Douglas County, IL"
17,17045,3.9777603,4.3745,59.104908,65.0,0.1090978,-5.895092,"Edgar County, IL"
18,17047,3.3830976,3.21021,50.26891,47.7,0.16936949,2.5689087,"Edwards County, IL"
19,17049,3.702474,3.91686,55.014473,58.2,0.1230798,-3.1855278,"Effingham County, IL"
20,17051,3.5832481,3.74188,53.242916,55.6,0.12781946,-2.3570824,"Fayette County, IL"
21,17053,4.1540422,4.07165,61.724255,60.5,0.10504777,1.2242546,"Ford County, IL"
22,17055,3.0721796,3.04196,45.64903,45.2,0.17264973,0.44902802,"Franklin County, IL"
23,17057,3.9221425,3.79572,58.278492,56.4,0.13635467,1.8784904,"Fulton County, IL"
24,17059,3.2888818,3.25732,48.868973,48.399998,0.15590793,0.46897507,"Gallatin County, IL"
25,17061,3.847845,4.20625,57.17452,62.500004,0.13640417,-5.325485,"Greene County, IL"
26,17063,4.0590377,3.9034,60.312595,58.0,0.11073692,2.3125954,"Grundy County, IL"
27,17065,3.1410751,3.10253,46.672737,46.100002,0.16848867,0.57273483,"Hamilton County, IL"
28,17067,3.9739647,4.28701,59.04851,63.700005,0.13315262,-4.651493,"Hancock County, IL"
29,17069,2.9403386,2.67854,43.690025,39.8,0.22053595,3.890026,"Hardin County, IL"
30,17071,3.9610872,3.88994,58.857166,57.8,0.12862067,1.057167,"Henderson County, IL"
31,17073,4.2273803,4.13222,62.813972,61.399998,0.110754766,1.4139748,"Henry County, IL"
32,17075,4.1002083,3.97743,60.924343,59.100002,0.10475648,1.8243408,"Iroquois County, IL"
33,17079,3.6631632,3.91013,54.43036,58.100002,0.12043729,-3.6696434,"Jasper County, IL"
34,17081,3.145275,3.25732,46.73514,48.399998,0.17437865,-1.664856,"Jefferson County, IL"
35,17083,3.8108883,3.72169,56.625385,55.3,0.14069094,1.325386,"Jersey County, IL"
36,17085,3.9391546,4.07838,58.531273,60.600002,0.12402593,-2.0687294,"Jo Daviess County, IL"
37,17089,4.04419,4.34085,60.091976,64.5,0.101595536,-4.408024,"Kane County, IL"
38,17091,3.9641504,3.75534,58.902683,55.800003,0.113551944,3.1026802,"Kankakee County, IL"
39,17095,4.1933746,4.28028,62.30869,63.600002,0.11417148,-1.2913132,"Knox County, IL"
40,17097,3.2226276,3.53325,47.884514,52.500004,0.18086542,-4.61549,"Lake County, IL"
41,17099,4.191594,4.11876,62.28223,61.2,0.110733025,1.0822296,"LaSalle County, IL"
42,17103,4.214838,4.09184,62.62761,60.8,0.095403776,1.82761,"Lee County, IL"
43,17105,4.151489,4.07838,61.686314,60.600002,0.11084314,1.0863113,"Livingston County, IL"
44,17107,4.2091503,4.48218,62.543095,66.600006,0.103393294,-4.0569115,"Logan County, IL"
45,17109,4.1807117,4.20625,62.120533,62.500004,0.11467376,-0.37947083,"McDonough County, IL"
46,17111,3.835907,3.97743,56.99713,59.100002,0.10120028,-2.102871,"McHenry County, IL"
47,17113,4.2565017,4.29374,63.24668,63.8,0.09537836,-0.553318,"McLean County, IL"
48,17115,4.210854,4.58986,62.568413,68.2,0.09501593,-5.631584,"Macon County, IL"
49,17117,3.9088626,4.26682,58.08117,63.4,0.11272289,-5.3188324,"Macoupin County, IL"
50,17119,3.6319656,3.68131,53.9668,54.7,0.12988622,-0.7332001,"Madison County, IL"
51,17121,3.4589977,3.58709,51.396698,53.3,0.13964602,-1.9033012,"Marion County, IL"
52,17123,4.3038697,4.26009,63.950516,63.3,0.11649712,0.6505165,"Marshall County, IL"
53,17125,3.6894627,3.98416,54.82114,59.2,0.16621825,-4.3788605,"Mason County, IL"
54,17127,3.001369,3.19675,44.596867,47.5,0.21128766,-2.9031334,"Massac County, IL"
55,17129,4.008522,4.28028,59.561993,63.600002,0.12581246,-4.0380096,"Menard County, IL"
56,17131,4.024354,4.03127,59.797237,59.9,0.1329505,-0.10276413,"Mercer County, IL"
57,17133,3.2940583,3.25732,48.94589,48.399998,0.1614573,0.5458908,"Monroe County, IL"
58,17135,3.9006524,4.13895,57.959175,61.5,0.11132514,-3.540825,"Montgomery County, IL"
59,17137,4.026965,4.06492,59.836037,60.4,0.12809578,-0.56396484,"Morgan County, IL"
60,17139,4.087795,4.61005,60.739895,68.5,0.103166215,-7.760105,"Moultrie County, IL"
61,17141,4.195653,4.41488,62.34254,65.6,0.095205285,-3.2574577,"Ogle County, IL"
62,17143,4.0692644,4.038,60.464554,60.000004,0.12727703,0.46455002,"Peoria County, IL"
63,17145,3.1338115,3.2304,46.564808,48.0,0.16726753,-1.4351921,"Perry County, IL"
64,17147,4.3612113,4.79849,64.80254,71.3,0.08981023,-6.4974594,"Piatt County, IL"
65,17149,3.6789088,3.91013,54.66432,58.100002,0.15454453,-3.4356804,"Pike County, IL"
66,17151,3.0068722,2.36223,44.678635,35.100002,0.22862193,9.578632,"Pope County, IL"
67,17153,3.0068407,2.98812,44.67817,44.4,0.17385997,0.27816772,"Pulaski County, IL"
68,17155,4.2216144,4.26009,62.7283,63.3,0.1279027,-0.57170105,"Putnam County, IL"
69,17157,3.1990252,3.365,47.533806,50.0,0.1642446,-2.4661942,"Randolph County, IL"
70,17159,3.5279517,3.48614,52.421276,51.8,0.13633934,0.62127686,"Richland County, IL"
71,17161,3.9794407,3.9034,59.12988,58.0,0.1267712,1.129879,"Rock Island County, IL"
72,17163,3.5105467,3.52652,52.162655,52.4,0.14478058,-0.23734665,"St. Clair County, IL"
73,17165,3.0951388,3.14964,45.990177,46.800003,0.17623289,-0.8098259,"Saline County, IL"
74,17167,4.1582828,4.45526,61.787262,66.2,0.11653337,-4.412735,"Sangamon County, IL"
75,17169,3.7990894,3.82937,56.450066,56.9,0.1444869,-0.4499359,"Schuyler County, IL"
76,17171,3.7717652,3.89667,56.04406,57.9,0.15599227,-1.8559418,"Scott County, IL"
77,17173,3.8426108,3.86975,57.096745,57.5,0.122980505,-0.40325546,"Shelby County, IL"
78,17175,4.272409,4.38796,63.483047,65.2,0.1134439,-1.7169495,"Stark County, IL"
79,17177,4.202736,4.46199,62.447784,66.299995,0.099670306,-3.852211,"Stephenson County, IL"
