,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,3.5307016,3.99089,52.462135,59.3,0.31606382,-6.837864
1,17005,3.9118874,4.5091,58.126114,67.0,0.25494608,-8.873886
2,17007,3.894614,4.05819,57.86945,60.3,0.19392315,-2.4305496
3,17009,3.410187,4.05819,50.67143,60.3,0.35549837,-9.628571
4,17011,4.131392,4.61005,61.3877,68.5,0.27242056,-7.112301
5,17013,3.613323,3.94378,53.689793,58.6,0.24953304,-4.910206
6,17015,3.989743,4.63697,59.28296,68.9,0.23205295,-9.617043
7,17017,3.766478,4.83887,55.9655,71.9,0.38154787,-15.934502
8,17019,4.237125,4.56967,62.958767,67.9,0.27399728,-4.9412346
9,17021,4.251543,4.95328,63.173004,73.6,0.26457682,-10.426994
10,17023,3.8057687,4.31393,56.549313,64.1,0.2844321,-7.550686
11,17025,3.6338603,3.93705,53.994953,58.500004,0.2831568,-4.5050507
12,17027,3.723303,4.04473,55.32397,60.100002,0.24638882,-4.7760315
13,17029,4.292277,5.04077,63.77826,74.9,0.24476057,-11.121742
14,17033,3.6361992,4.2399,54.029705,63.000004,0.26894897,-8.970299
15,17035,3.9611793,4.52256,58.858532,67.200005,0.26519427,-8.341473
16,17037,4.020791,4.11203,59.744297,61.100002,0.17948613,-1.3557053
17,17039,4.2495875,5.0475,63.143948,75.0,0.3100194,-11.856052
18,17041,4.2754426,5.25613,63.528122,78.100006,0.24952619,-14.571884
19,17045,4.1829596,4.67735,62.15393,69.5,0.26495802,-7.3460693
20,17047,3.3369963,2.96793,49.583897,44.100002,0.27635458,5.4838943
21,17049,3.9125707,4.85233,58.13627,72.100006,0.25968257,-13.9637375
22,17051,3.851899,4.00435,57.234753,59.500004,0.2652043,-2.2652512
23,17053,3.7964237,4.08511,56.410458,60.700005,0.2648316,-4.289547
24,17055,3.2397697,3.19675,48.139225,47.5,0.23416851,0.639225
25,17057,3.6565998,4.19952,54.332836,62.4,0.35376582,-8.067165
26,17059,3.378342,3.365,50.198246,50.0,0.23937996,0.198246
27,17061,3.7281482,4.71773,55.39596,70.1,0.2809609,-14.704037
28,17063,3.8560672,3.93705,57.296688,58.500004,0.27693072,-1.2033157
29,17065,3.3724272,3.44576,50.11036,51.2,0.28846264,-1.0896416
30,17067,3.7636101,4.69754,55.922886,69.799995,0.39078984,-13.87711
31,17069,2.7835548,2.91409,41.360397,43.3,0.25423723,-1.9396019
32,17071,3.821123,4.05146,56.77746,60.199997,0.34341598,-3.4225388
33,17073,4.049688,4.25336,60.173668,63.199997,0.2640783,-3.026329
34,17075,3.8591917,3.72169,57.343117,55.3,0.24599934,2.0431175
35,17077,3.3746371,3.29097,50.143196,48.9,0.21336563,1.2431946
36,17079,3.8349435,4.08511,56.98282,60.700005,0.25751522,-3.717186
37,17081,3.2930753,3.45922,48.931282,51.399998,0.2606446,-2.4687157
38,17089,3.7394679,3.96397,55.56416,58.9,0.21382841,-3.3358421
39,17091,3.440736,3.64766,51.12535,54.2,0.31881672,-3.0746498
40,17093,3.6539488,4.09184,54.293446,60.8,0.22801954,-6.5065536
41,17095,3.9909096,4.31393,59.300293,64.1,0.3231094,-4.7997055
42,17097,3.0633843,2.77949,45.51834,41.3,0.251964,4.218342
43,17099,4.0241995,4.51583,59.79494,67.1,0.2438556,-7.3050575
44,17101,3.4346054,3.64093,51.034256,54.1,0.28989893,-3.0657425
45,17103,3.9987934,4.28701,59.417435,63.700005,0.20001154,-4.28257
46,17105,3.6955059,4.1053,54.910934,61.0,0.30681974,-6.0890656
47,17107,4.2590117,4.71773,63.283978,70.1,0.34249133,-6.816021
48,17109,4.007092,4.66389,59.540745,69.299995,0.3818195,-9.759251
49,17111,3.6670103,3.96397,54.487522,58.9,0.19615273,-4.4124794
50,17113,4.101374,4.54275,60.941666,67.5,0.33959326,-6.5583344
51,17115,4.253982,5.06096,63.209244,75.2,0.26389346,-11.990753
52,17117,3.9565823,4.69081,58.79023,69.700005,0.27956906,-10.909775
53,17119,3.8275075,4.20625,56.872326,62.500004,0.2570424,-5.627678
54,17121,3.675852,4.07165,54.6189,60.5,0.25202736,-5.8810997
55,17123,4.0793037,4.40815,60.613728,65.5,0.2799729,-4.8862724
56,17129,4.042222,4.61678,60.062737,68.6,0.35196242,-8.537262
57,17131,3.9133685,4.25336,58.14812,63.199997,0.32122132,-5.051876
58,17133,3.523153,3.64093,52.34997,54.1,0.24794793,-1.7500267
59,17135,4.0599027,4.9129,60.325447,73.0,0.2693202,-12.674553
60,17137,3.936211,5.37054,58.487537,79.8,0.36661056,-21.312466
61,17139,4.304821,5.10807,63.964653,75.9,0.24899247,-11.9353485
62,17141,3.9909828,4.32739,59.30138,64.3,0.19282699,-4.998623
63,17143,3.8285255,4.48218,56.88745,66.600006,0.34788552,-9.712555
64,17145,3.2716558,3.53325,48.613014,52.500004,0.21438766,-3.8869896
65,17147,4.4036946,5.20902,65.4338,77.4,0.28666282,-11.966202
66,17149,3.4054942,4.11876,50.601696,61.2,0.33070582,-10.598305
67,17153,3.0491145,3.24386,45.30631,48.2,0.24815659,-2.893692
68,17157,3.3925993,3.50633,50.410095,52.100002,0.19284932,-1.6899071
69,17159,3.537091,3.78899,52.557076,56.3,0.275575,-3.7429237
70,17161,3.743368,4.07165,55.62211,60.5,0.27773547,-4.8778915
71,17163,3.8002954,3.7688,56.467983,56.0,0.2594406,0.46798325
72,17165,3.1632774,3.32462,47.002636,49.4,0.24861173,-2.3973656
73,17167,4.186233,5.41092,62.20257,80.4,0.32482278,-18.19743
74,17169,3.5874517,4.03127,53.305374,59.9,0.352182,-6.5946274
75,17173,4.1027684,4.73792,60.962383,70.4,0.25670123,-9.437618
76,17177,3.958153,4.26009,58.81357,63.3,0.2093927,-4.486431
77,17179,4.067368,4.85233,60.436375,72.100006,0.36938694,-11.663631
78,17183,4.122701,4.82541,61.25856,71.7,0.23949315,-10.441437
79,17187,4.089496,4.54275,60.765175,67.5,0.32577682,-6.734825
80,17189,3.531934,3.86302,52.480446,57.4,0.23223162,-4.9195557
81,17191,3.5178485,3.56017,52.271152,52.899998,0.28678468,-0.6288452
82,17193,3.4011123,3.5669,50.536587,53.0,0.29781786,-2.4634132
83,17195,3.8995686,4.21971,57.94307,62.699997,0.260952,-4.7569275
84,17197,3.407706,3.88994,50.634563,57.8,0.3057433,-7.165436
85,17199,3.0367029,3.06888,45.121887,45.600002,0.25562212,-0.47811508
86,17201,3.8154244,3.79572,56.692787,56.4,0.20393974,0.29278564
87,17203,4.0217056,4.35431,59.757885,64.700005,0.33594844,-4.9421196
88,18001,3.7702546,4.05819,56.021614,60.3,0.16959853,-4.278385
89,18003,3.5593646,3.91686,52.88803,58.2,0.17316224,-5.3119698
90,18005,3.7508004,3.73515,55.732548,55.500004,0.25772408,0.23254395
91,18007,4.135486,4.47545,61.448532,66.5,0.23527774,-5.051468
92,18009,3.8552136,3.86302,57.284008,57.4,0.18633908,-0.1159935
93,18011,4.007983,4.11876,59.553986,61.2,0.22558855,-1.6460152
94,18015,4.098526,4.30047,60.899345,63.899998,0.23188224,-3.0006523
95,18017,3.836418,4.15914,57.004723,61.800003,0.2193916,-4.7952805
96,18019,3.4664717,3.35154,51.50775,49.800003,0.27608863,1.7077484
97,18021,3.6432707,3.55344,54.13478,52.800003,0.23329511,1.3347778
98,18023,4.171807,4.38796,61.988216,65.2,0.22992492,-3.2117805
99,18025,2.777115,3.22367,41.264713,47.9,0.3795058,-6.6352882
100,18027,3.4059434,3.65439,50.60837,54.300003,0.2571939,-3.6916313
101,18029,3.4786613,3.64093,51.688877,54.1,0.24951053,-2.4111214
102,18031,4.0014844,4.23317,59.45742,62.9,0.2110682,-3.4425812
103,18033,3.2298977,3.31789,47.99254,49.3,0.1641514,-1.3074608
104,18035,3.8171408,3.8361,56.71829,57.000004,0.18066029,-0.2817154
105,18037,3.4039423,3.9707,50.57864,59.0,0.25994158,-8.42136
106,18039,3.4058402,3.87648,50.60684,57.600002,0.17051245,-6.993164
107,18041,3.8984184,3.8361,57.92598,57.000004,0.20630723,0.9259758
