,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17007,4.19377,4.23317,62.31456,62.9,0.16096415,-0.5854416,"Boone County, IL"
1,17009,3.8984594,4.07838,57.92659,60.600002,0.20305613,-2.6734123,"Brown County, IL"
2,17011,4.682207,4.90617,69.572174,72.9,0.16096574,-3.3278275,"Bureau County, IL"
3,17015,4.576727,4.73119,68.00486,70.3,0.16471842,-2.2951431,"Carroll County, IL"
4,17023,3.872433,4.26009,57.539867,63.3,0.20683962,-5.760132,"Clark County, IL"
5,17025,3.316851,3.6342,49.28456,54.000004,0.20162237,-4.7154427,"Clay County, IL"
6,17027,3.5252812,3.7688,52.38159,56.0,0.20018338,-3.6184082,"Clinton County, IL"
7,17029,4.322349,4.79176,64.2251,71.2,0.18453664,-6.9748993,"Coles County, IL"
8,17031,3.0644276,2.88717,45.533844,42.9,0.26127866,2.6338425,"Cook County, IL"
9,17033,3.7625718,3.91686,55.907455,58.2,0.20015171,-2.2925453,"Crawford County, IL"
10,17041,4.387102,4.711,65.187256,70.0,0.1786854,-4.812744,"Douglas County, IL"
11,17045,4.336835,4.79176,64.44034,71.2,0.20236695,-6.759659,"Edgar County, IL"
12,17049,3.7673337,3.74861,55.978214,55.7,0.19681323,0.2782135,"Effingham County, IL"
13,17051,3.6248097,3.62074,53.860474,53.8,0.20267239,0.060474396,"Fayette County, IL"
14,17055,3.1731224,3.16983,47.148922,47.100002,0.24447684,0.048919678,"Franklin County, IL"
15,17057,4.147469,4.19952,61.626583,62.4,0.18905202,-0.7734184,"Fulton County, IL"
16,17061,4.1516514,4.74465,61.68873,70.5,0.19328852,-8.811272,"Greene County, IL"
17,17067,4.4931135,4.32739,66.76246,64.3,0.19140129,2.4624557,"Hancock County, IL"
18,17075,4.289607,4.39469,63.73859,65.3,0.17689995,-1.5614128,"Iroquois County, IL"
19,17077,3.241208,3.4323,48.160595,51.0,0.236656,-2.839405,"Jackson County, IL"
20,17081,3.0571084,3.13618,45.425087,46.6,0.25109026,-1.1749115,"Jefferson County, IL"
21,17083,3.9270527,4.28701,58.35145,63.700005,0.20368722,-5.3485527,"Jersey County, IL"
22,17085,4.0250177,3.6342,59.8071,54.000004,0.1733644,5.8070946,"Jo Daviess County, IL"
23,17089,4.2617497,4.28701,63.32466,63.700005,0.18345445,-0.37534332,"Kane County, IL"
24,17095,4.524132,4.54948,67.22336,67.6,0.18227534,-0.37664032,"Knox County, IL"
25,17097,3.2487445,3.45249,48.27258,51.300003,0.2587684,-3.0274239,"Lake County, IL"
26,17099,4.542198,4.5091,67.4918,67.0,0.16101821,0.4917984,"LaSalle County, IL"
27,17101,3.681646,3.78899,54.704994,56.3,0.20491742,-1.595005,"Lawrence County, IL"
28,17105,4.493905,4.66389,66.77422,69.299995,0.18482973,-2.525772,"Livingston County, IL"
29,17107,4.671369,4.9802,69.41113,74.0,0.17420317,-4.588867,"Logan County, IL"
