,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17007,13.689224,14.32144,203.406,212.8,0.45645356,-9.393997,"Boone County, IL"
1,17009,13.665134,11.94575,203.04807,177.5,0.48313868,25.548065,"Brown County, IL"
2,17011,15.184732,16.20584,225.62753,240.79999,0.43772292,-15.172455,"Bureau County, IL"
3,17015,15.232544,16.09816,226.33795,239.2,0.4310438,-12.862045,"Carroll County, IL"
4,17023,13.985835,13.9984,207.81331,208.0,0.4203228,-0.18669128,"Clark County, IL"
5,17025,12.117636,11.6429,180.05403,173.00002,0.5215229,7.054016,"Clay County, IL"
6,17027,12.033774,13.29848,178.80794,197.6,0.5447779,-18.792068,"Clinton County, IL"
7,17029,14.960405,15.31748,222.29428,227.6,0.371253,-5.305725,"Coles County, IL"
8,17033,13.074271,13.33886,194.26852,198.2,0.47437295,-3.9314728,"Crawford County, IL"
9,17035,14.03828,15.22999,208.59256,226.3,0.4030387,-17.707443,"Cumberland County, IL"
10,17041,14.658291,15.16269,217.80522,225.3,0.36209154,-7.4947815,"Douglas County, IL"
11,17045,14.750082,14.98098,219.16913,222.6,0.3632306,-3.4308777,"Edgar County, IL"
12,17047,12.5532055,12.47742,186.5261,185.4,0.57721996,1.1260986,"Edwards County, IL"
13,17049,13.348897,14.63775,198.34914,217.5,0.41940907,-19.150864,"Effingham County, IL"
14,17055,11.781986,11.48138,175.06667,170.6,0.6643654,4.4666595,"Franklin County, IL"
15,17057,14.224468,14.02532,211.35912,208.40001,0.4465465,2.9591064,"Fulton County, IL"
16,17061,13.708378,15.41843,203.69061,229.1,0.43423998,-25.409393,"Greene County, IL"
17,17067,15.122726,15.35786,224.70619,228.2,0.41023168,-3.493805,"Hancock County, IL"
18,17075,14.197359,14.38874,210.9563,213.8,0.39009306,-2.8437042,"Iroquois County, IL"
19,17077,11.594151,13.06966,172.27563,194.20001,0.71263975,-21.924377,"Jackson County, IL"
20,17081,11.7655945,10.54591,174.8231,156.7,0.651198,18.123108,"Jefferson County, IL"
21,17083,13.173462,13.03601,195.74237,193.7,0.42029247,2.0423737,"Jersey County, IL"
