,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,3.984786,3.82264,59.2093,56.8,0.2584668,2.4093018,"Adams County, IL"
1,17003,2.9787335,2.58432,44.26053,38.4,0.2633454,5.860527,"Alexander County, IL"
2,17007,4.0533657,4.19279,60.228317,62.3,0.16471316,-2.071682,"Boone County, IL"
3,17009,3.9297776,3.4996,58.39194,52.0,0.2894194,6.391941,"Brown County, IL"
4,17011,4.40598,4.32066,65.46776,64.200005,0.21047314,1.2677536,"Bureau County, IL"
5,17015,4.381564,4.6437,65.104965,69.0,0.19466537,-3.8950348,"Carroll County, IL"
6,17017,4.1905704,4.19952,62.26702,62.4,0.28832635,-0.13298035,"Cass County, IL"
7,17019,4.45775,4.55621,66.237,67.700005,0.21310157,-1.4630051,"Champaign County, IL"
8,17021,4.359273,4.23317,64.77374,62.9,0.21824083,1.8737411,"Christian County, IL"
9,17025,3.1756668,3.53325,47.18673,52.500004,0.21819304,-5.3132744,"Clay County, IL"
10,17027,3.435048,3.64093,51.040833,54.1,0.19688778,-3.059166,"Clinton County, IL"
11,17029,4.203081,4.21298,62.452915,62.6,0.19057171,-0.14708328,"Coles County, IL"
12,17033,3.376595,3.79572,50.17229,56.4,0.22453508,-6.2277107,"Crawford County, IL"
13,17035,3.8050022,3.9707,56.53792,59.0,0.19427486,-2.462078,"Cumberland County, IL"
14,17037,4.3495092,4.54275,64.62867,67.5,0.14336422,-2.8713303,"DeKalb County, IL"
15,17039,4.4536963,4.17933,66.176765,62.1,0.19176686,4.076767,"De Witt County, IL"
16,17041,4.266587,4.53602,63.396534,67.4,0.1887167,-4.0034676,"Douglas County, IL"
17,17045,4.237814,4.3745,62.969006,65.0,0.1882189,-2.0309944,"Edgar County, IL"
18,17047,3.2862148,3.21021,48.829346,47.7,0.21682043,1.1293449,"Edwards County, IL"
19,17049,3.5909286,3.91686,53.357037,58.2,0.20139925,-4.842964,"Effingham County, IL"
