,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,3.7877312,3.99089,56.281296,59.3,0.18232608,-3.0187035
1,17005,3.9584632,4.5091,58.818176,67.0,0.17780663,-8.181824
2,17007,3.903891,4.05819,58.007298,60.3,0.14442128,-2.2927017
3,17009,3.785554,4.05819,56.248943,60.3,0.18671773,-4.051056
4,17011,4.266215,4.61005,63.39101,68.5,0.14395224,-5.1089897
5,17013,3.8610606,3.94378,57.370888,58.6,0.16922954,-1.2291107
6,17015,4.206545,4.63697,62.504383,68.9,0.14382583,-6.3956184
7,17017,4.301661,4.83887,63.917698,71.9,0.16882703,-7.9823036
8,17019,4.585463,4.56967,68.13467,67.9,0.1359676,0.23466492
9,17021,4.597745,4.95328,68.31716,73.6,0.13868706,-5.282837
10,17023,4.1166472,4.31393,61.168606,64.1,0.17904232,-2.9313927
11,17025,3.7735763,3.93705,56.07097,58.500004,0.20383763,-2.4290352
12,17027,3.7672057,4.04473,55.97631,60.100002,0.19411454,-4.1236916
13,17029,4.4908414,5.04077,66.7287,74.9,0.14179447,-8.171303
14,17033,3.9492736,4.2399,58.68163,63.000004,0.19389462,-4.3183746
15,17035,4.164227,4.52256,61.875587,67.200005,0.1696275,-5.324417
16,17037,4.1781626,4.11203,62.082653,61.100002,0.12223687,0.98265076
17,17039,4.6788607,5.0475,69.522446,75.0,0.13374314,-5.4775543
18,17041,4.624729,5.25613,68.71812,78.100006,0.12885846,-9.381889
19,17045,4.4813194,4.67735,66.58721,69.5,0.14432737,-2.9127884
20,17047,3.7889051,2.96793,56.29874,44.100002,0.21087512,12.198738
21,17049,4.1803856,4.85233,62.115685,72.100006,0.17410772,-9.984322
22,17051,3.9935317,4.00435,59.339252,59.500004,0.18052568,-0.16075134
23,17053,4.3588157,4.08511,64.76695,60.700005,0.14340608,4.066948
24,17055,3.4851875,3.19675,51.785847,47.5,0.2411595,4.2858467
25,17057,3.963274,4.19952,58.88966,62.4,0.17272016,-3.5103416
26,17059,3.740459,3.365,55.578884,50.0,0.20775948,5.578884
