,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
83,17193,4.1494446,4.04473,61.655937,60.100002,0.20098066,1.5559349
84,17195,4.2193766,4.13222,62.695045,61.399998,0.17748979,1.2950478
85,17197,4.0132637,3.88321,59.632446,57.7,0.20543484,1.9324455
86,17199,3.4143715,3.35827,50.733604,49.899998,0.25735867,0.8336067
87,17201,3.8391652,3.52652,57.045547,52.4,0.17894645,4.645546
88,17203,4.505158,4.53602,66.94143,67.4,0.17654954,-0.4585724
89,18001,4.239206,3.93032,62.989685,58.4,0.16581717,4.5896835
90,18003,4.0578995,3.78899,60.295685,56.3,0.16994958,3.9956856
91,18005,4.300786,4.15241,63.904697,61.7,0.18305595,2.2046967
92,18007,4.4218354,4.48218,65.703354,66.600006,0.16894749,-0.8966522
93,18009,4.2402616,4.12549,63.00537,61.300003,0.17738113,1.705368
94,18011,4.466704,4.33412,66.37004,64.399994,0.16941588,1.970047
95,18019,3.6661549,3.25059,54.47481,48.300003,0.24907081,6.1748085
96,18021,4.0542884,4.09857,60.242027,60.899998,0.20370834,-0.6579704
97,18023,4.614318,4.54275,68.563416,67.5,0.15908286,1.0634155
98,18027,4.372227,4.23317,64.96623,62.9,0.17727129,2.0662308
99,18029,3.5473156,3.41884,52.709,50.8,0.25830147,1.9090004
100,18031,4.5077972,4.33412,66.980644,64.399994,0.17913623,2.5806503
101,18035,4.312322,3.95724,64.07611,58.800003,0.16705841,5.276108
102,18039,3.8507934,3.57363,57.218327,53.100002,0.18278278,4.1183243
103,18041,4.2952375,4.21971,63.822254,62.699997,0.18864536,1.1222572
104,18047,4.0409293,3.89667,60.043526,57.9,0.21204494,2.1435242
105,18049,4.002396,3.51979,59.470966,52.3,0.16989475,7.170967
106,18051,4.389438,4.40815,65.22196,65.5,0.187177,-0.27803802
107,18053,4.398002,4.36777,65.34921,64.9,0.16503511,0.44921112
108,18055,4.1364727,3.82264,61.463192,56.8,0.19187538,4.6631927
109,18057,4.2390447,4.04473,62.987293,60.100002,0.17970167,2.887291
110,18059,4.272117,4.11876,63.47871,61.2,0.18479167,2.2787094
111,18061,3.7310653,3.68804,55.43931,54.8,0.24355575,0.6393089
112,18063,4.3581886,4.69754,64.75763,69.799995,0.17462265,-5.042366
113,18065,4.343787,4.1053,64.54365,61.0,0.1802142,3.5436478
114,18067,4.5235,4.3745,67.21397,65.0,0.16036706,2.2139664
115,18069,4.2701635,3.94378,63.44968,58.6,0.1712623,4.849682
116,18073,3.8805184,4.00435,57.660007,59.500004,0.18185194,-1.8399963
117,18075,4.0756,4.01108,60.558697,59.6,0.18544854,0.9586983
118,18079,3.922243,3.79572,58.279987,56.4,0.21211638,1.8799858
119,18081,4.193549,4.46872,62.31128,66.4,0.1918239,-4.088722
120,18083,4.4874682,4.40142,66.67858,65.4,0.17707591,1.2785797
121,18085,3.9859128,4.03127,59.226044,59.9,0.17493255,-0.6739578
122,18087,3.7748117,3.60728,56.08933,53.600002,0.18011616,2.4893265
123,18089,3.5788088,3.64766,53.176952,54.2,0.18772367,-1.0230484
124,18091,3.641272,4.04473,54.105083,60.100002,0.18484554,-5.994919
125,18093,3.7169275,3.98416,55.229237,59.2,0.22331946,-3.9707642
126,18095,4.415985,4.31393,65.616425,64.1,0.16919164,1.5164261
127,18097,3.6400714,3.51306,54.087242,52.2,0.24195445,1.8872414
128,18099,3.9332156,3.62747,58.443027,53.9,0.1744676,4.543026
129,18101,3.965602,4.05819,58.924248,60.3,0.2043985,-1.3757515
130,18103,4.129573,4.04473,61.36067,60.100002,0.17739953,1.2606659
131,18105,3.6342244,3.55344,54.000362,52.800003,0.2218354,1.2003593
132,18109,4.2902517,4.05146,63.74817,60.199997,0.17802966,3.548172
133,18111,4.095052,4.24663,60.847725,63.100002,0.1839252,-2.2522774
134,18113,3.8884578,3.4996,57.777977,52.0,0.17534973,5.777977
135,18119,3.8183374,3.69477,56.73607,54.9,0.20861147,1.8360672
136,18125,3.9201074,4.17933,58.248253,62.1,0.20414005,-3.8517456
137,18127,3.9388137,3.78899,58.526207,56.3,0.18776973,2.2262077
138,18129,4.357554,4.16587,64.7482,61.900005,0.19411522,2.8481941
139,18131,3.4981003,3.58036,51.97772,53.2,0.18765867,-1.2222824
140,18133,4.3618717,4.55621,64.81236,67.700005,0.17601171,-2.887642
141,18135,4.342198,4.01108,64.52003,59.6,0.17316076,4.9200287
142,18137,3.804294,3.47941,56.5274,51.7,0.23878874,4.8274
143,18139,4.491977,4.27355,66.745575,63.5,0.17698964,3.245575
144,18141,3.7735949,3.58709,56.071247,53.3,0.18494922,2.7712479
145,18143,3.6713758,3.65439,54.55239,54.300003,0.23213576,0.252388
146,18145,4.392591,4.09857,65.268814,60.899998,0.1755641,4.3688164
147,18149,3.295021,3.38519,48.960194,50.3,0.19290349,-1.3398056
148,18151,3.7490315,3.37846,55.706264,50.2,0.18520752,5.5062637
149,18153,4.189818,4.44853,62.25584,66.100006,0.20383267,-3.8441658
150,18155,3.7883039,3.52652,56.289806,52.4,0.2537333,3.8898048
151,18157,4.4764543,4.51583,66.51492,67.1,0.16808718,-0.5850754
152,18159,4.5770855,4.66389,68.010185,69.299995,0.16241646,-1.2898102
153,18161,4.333146,4.50237,64.38553,66.9,0.18698975,-2.514473
154,18163,4.514242,4.48891,67.07641,66.700005,0.18439028,0.3764038
155,18167,4.0324945,4.08511,59.918198,60.700005,0.21342397,-0.78180695
156,18169,4.137859,4.038,61.483788,60.000004,0.17241961,1.4837837
157,18173,4.0364275,4.26682,59.976635,63.4,0.21700542,-3.4233665
158,18175,3.8332987,3.99762,56.958378,59.4,0.22511777,-2.4416237
159,18177,4.2291555,4.11203,62.84035,61.100002,0.18616241,1.7403488
160,18179,4.3898597,4.31393,65.228226,64.1,0.16831744,1.1282272
161,18181,3.9253578,4.038,58.326267,60.000004,0.19623841,-1.6737366
162,18183,3.9965453,3.58709,59.384033,53.3,0.17833187,6.084034
163,19005,3.9226198,3.51306,58.285583,52.2,0.18507625,6.0855827
164,19007,2.7985253,3.41211,41.582844,50.7,0.26712725,-9.117157
165,19009,3.6201034,3.60728,53.790543,53.600002,0.22896926,0.19054031
166,19011,4.1629157,3.6342,61.856102,54.000004,0.16839173,7.856098
167,19013,3.8457112,3.43903,57.14281,51.1,0.18755965,6.0428123
168,19015,3.7715564,4.65043,56.04096,69.100006,0.18248484,-13.059048
169,19017,3.8086042,3.66785,56.591446,54.5,0.18678206,2.091446
170,19019,3.8397813,3.48614,57.0547,51.8,0.18693133,5.2546997
171,19021,3.7957902,4.11203,56.401043,61.100002,0.16320705,-4.6989594
172,19023,3.813004,3.42557,56.656822,50.9,0.18695804,5.7568207
173,19025,3.699411,3.86302,54.96896,57.4,0.19098905,-2.4310417
174,19027,3.8362622,3.82264,57.00241,56.8,0.19855754,0.20241165
175,19031,4.187184,4.18606,62.2167,62.2,0.17566271,0.016700745
176,19035,3.9016247,4.43507,57.97362,65.9,0.15700406,-7.92638
177,19037,3.7254734,3.4996,55.356216,52.0,0.18269673,3.3562164
178,19041,3.7476563,4.17933,55.68583,62.1,0.15617459,-6.4141693
179,19043,3.9940042,3.60728,59.346275,53.600002,0.18838182,5.746273
180,19045,4.164476,3.95724,61.879288,58.800003,0.16865474,3.0792847
181,19047,3.968811,3.60728,58.97193,53.600002,0.18058342,5.371929
182,19049,3.7864785,4.09184,56.262684,60.8,0.18832739,-4.5373154
183,19051,2.975906,3.59382,44.218513,53.4,0.27092078,-9.181488
184,19055,4.069371,3.51979,60.46614,52.3,0.16727917,8.1661415
185,19057,4.1629443,4.41488,61.85653,65.6,0.18587232,-3.7434692
186,19059,3.523707,3.82264,52.3582,56.8,0.15161374,-4.441799
187,19061,4.328291,3.8361,64.313385,57.000004,0.16852798,7.313381
188,19065,3.9156384,3.66785,58.18185,54.5,0.1739871,3.6818504
189,19067,3.6394906,3.55344,54.078613,52.800003,0.18600355,1.2786102
190,19069,3.6879182,3.99762,54.79819,59.4,0.18571769,-4.6018105
191,19073,3.6837816,4.08511,54.736725,60.700005,0.19643962,-5.9632797
192,19075,4.101902,4.31393,60.94951,64.1,0.16865541,-3.1504898
193,19079,3.5227432,4.18606,52.343884,62.2,0.18205522,-9.856117
194,19081,3.582117,4.05146,53.22611,60.199997,0.16212937,-6.9738884
