,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,3.3034186,-1.0,49.084972,-14.858841,0.16299525,63.943813
1,17003,2.6663184,-1.0,39.6184,-14.858841,0.1878044,54.47724
2,17005,2.7880445,-1.0,41.42711,-14.858841,0.19224897,56.28595
3,17007,3.0059352,-1.0,44.664715,-14.858841,0.17787804,59.523556
4,17009,3.417642,-1.0,50.7822,-14.858841,0.1810197,65.64104
5,17011,3.428884,-1.0,50.94924,-14.858841,0.15086213,65.80808
6,17013,3.015513,-1.0,44.80703,-14.858841,0.1639782,59.66587
7,17015,3.413455,-1.0,50.719986,-14.858841,0.15238215,65.57883
8,17017,3.4518032,-1.0,51.289795,-14.858841,0.16170496,66.148636
9,17019,3.3728561,-1.0,50.116734,-14.858841,0.1585301,64.97557
10,17021,3.4809122,-1.0,51.72232,-14.858841,0.15356836,66.58116
11,17023,3.0063777,-1.0,44.671288,-14.858841,0.1743697,59.53013
12,17025,2.5890946,-1.0,38.470947,-14.858841,0.19948225,53.32979
13,17027,2.5903091,-1.0,38.48899,-14.858841,0.20310965,53.34783
14,17029,3.3276138,-1.0,49.444485,-14.858841,0.16533637,64.30333
15,17031,1.8857387,-1.0,28.019892,-14.858841,0.20833293,42.87873
16,17033,2.900641,-1.0,43.100163,-14.858841,0.17402482,57.959003
17,17035,2.9992518,-1.0,44.565407,-14.858841,0.18502606,59.424248
18,17037,3.044292,-1.0,45.23465,-14.858841,0.15903355,60.09349
19,17039,3.4662933,-1.0,51.5051,-14.858841,0.14795123,66.36394
20,17041,3.3198218,-1.0,49.328705,-14.858841,0.16220778,64.187546
21,17043,2.3599324,-1.0,35.06586,-14.858841,0.19275644,49.9247
22,17045,3.3837419,-1.0,50.278484,-14.858841,0.15605225,65.13733
23,17047,2.6592226,-1.0,39.512966,-14.858841,0.1876522,54.371807
24,17049,2.8924155,-1.0,42.977943,-14.858841,0.18980862,57.836784
25,17051,2.8272772,-1.0,42.010063,-14.858841,0.18938479,56.868904
26,17053,3.1515198,-1.0,46.82793,-14.858841,0.15629038,61.68677
27,17055,2.2496347,-1.0,33.426964,-14.858841,0.23077849,48.285805
28,17057,3.3719888,-1.0,50.103844,-14.858841,0.18051237,64.962685
29,17059,2.7200184,-1.0,40.41632,-14.858841,0.18025157,55.27516
30,17061,3.342188,-1.0,49.661037,-14.858841,0.1527596,64.51988
31,17063,3.1603017,-1.0,46.95842,-14.858841,0.1554302,61.81726
32,17065,2.5824904,-1.0,38.372814,-14.858841,0.19715434,53.231655
33,17067,3.5762715,-1.0,53.13925,-14.858841,0.15192957,67.99809
34,17069,2.6089573,-1.0,38.766083,-14.858841,0.24251676,53.624924
35,17071,3.5953941,-1.0,53.42339,-14.858841,0.14008114,68.28223
36,17073,3.406714,-1.0,50.619823,-14.858841,0.13968088,65.47867
37,17075,3.1809592,-1.0,47.26537,-14.858841,0.15476254,62.12421
38,17077,2.3763475,-1.0,35.309772,-14.858841,0.20642337,50.168613
39,17079,2.839826,-1.0,42.196526,-14.858841,0.17042263,57.055367
40,17081,2.2966876,-1.0,34.126118,-14.858841,0.23719925,48.98496
41,17083,3.127008,-1.0,46.463715,-14.858841,0.13963178,61.322556
42,17085,3.1993036,-1.0,47.537945,-14.858841,0.17822212,62.396786
43,17087,2.3994074,-1.0,35.652412,-14.858841,0.25392255,50.511253
44,17089,2.8823333,-1.0,42.828133,-14.858841,0.16409594,57.686974
45,17091,3.0970259,-1.0,46.018215,-14.858841,0.16115773,60.877056
46,17093,2.9979424,-1.0,44.54595,-14.858841,0.16164614,59.404793
47,17095,3.5608983,-1.0,52.910824,-14.858841,0.15200517,67.76967
48,17097,2.417389,-1.0,35.919598,-14.858841,0.20903844,50.77844
49,17099,3.2289314,-1.0,47.97818,-14.858841,0.14854081,62.83702
50,17101,2.8482428,-1.0,42.321587,-14.858841,0.17664881,57.180428
51,17103,3.2727952,-1.0,48.629944,-14.858841,0.15270586,63.488785
52,17105,3.2451887,-1.0,48.21974,-14.858841,0.16124351,63.078583
53,17107,3.604055,-1.0,53.55208,-14.858841,0.15146849,68.41092
54,17109,3.664081,-1.0,54.444,-14.858841,0.15634663,69.30284
55,17111,2.7523165,-1.0,40.896233,-14.858841,0.18564242,55.755074
56,17113,3.4498696,-1.0,51.261066,-14.858841,0.15532002,66.1199
57,17115,3.4396505,-1.0,51.109222,-14.858841,0.15457396,65.96806
58,17117,3.267393,-1.0,48.549675,-14.858841,0.15304197,63.408516
59,17119,2.7661047,-1.0,41.10111,-14.858841,0.17214112,55.95995
60,17121,2.56143,-1.0,38.05988,-14.858841,0.21183418,52.91872
61,17123,3.410943,-1.0,50.68266,-14.858841,0.15392709,65.541504
62,17125,3.3226895,-1.0,49.371315,-14.858841,0.17032422,64.230156
63,17127,2.6206179,-1.0,38.939346,-14.858841,0.20265761,53.798187
64,17129,3.545796,-1.0,52.686417,-14.858841,0.16534579,67.54526
65,17131,3.5189075,-1.0,52.28689,-14.858841,0.14183953,67.14573
66,17133,2.5225806,-1.0,37.482624,-14.858841,0.18646395,52.341465
67,17135,3.169445,-1.0,47.09428,-14.858841,0.15442704,61.95312
68,17137,3.5448523,-1.0,52.672398,-14.858841,0.15981174,67.531235
69,17139,3.290875,-1.0,48.89859,-14.858841,0.15535553,63.75743
70,17141,3.1665673,-1.0,47.05152,-14.858841,0.1576927,61.910362
71,17143,3.3899841,-1.0,50.371235,-14.858841,0.17586397,65.23007
72,17145,2.2607732,-1.0,33.59247,-14.858841,0.22245508,48.45131
73,17147,3.5277414,-1.0,52.418148,-14.858841,0.15272279,67.27699
74,17149,3.3230782,-1.0,49.37709,-14.858841,0.15854667,64.23593
75,17151,2.486772,-1.0,36.95055,-14.858841,0.23796755,51.80939
76,17153,2.7327566,-1.0,40.605595,-14.858841,0.18676254,55.464436
77,17155,3.3204675,-1.0,49.3383,-14.858841,0.15346368,64.19714
78,17157,2.4814234,-1.0,36.871075,-14.858841,0.20188582,51.729916
79,17159,2.631445,-1.0,39.100224,-14.858841,0.18320042,53.959064
80,17161,3.3558683,-1.0,49.864315,-14.858841,0.1507929,64.72316
81,17163,2.4834437,-1.0,36.901096,-14.858841,0.1811188,51.759937
82,17165,2.5400295,-1.0,37.741894,-14.858841,0.20108518,52.600735
83,17167,3.58469,-1.0,53.26434,-14.858841,0.15398234,68.123184
84,17169,3.4295268,-1.0,50.958794,-14.858841,0.17821597,65.817635
85,17171,3.4067044,-1.0,50.61968,-14.858841,0.16220707,65.478516
86,17173,3.0973625,-1.0,46.023216,-14.858841,0.16966946,60.882057
87,17175,3.567041,-1.0,53.002094,-14.858841,0.15322006,67.86093
88,17177,3.1661768,-1.0,47.04572,-14.858841,0.1676145,61.90456
89,17179,3.433659,-1.0,51.020195,-14.858841,0.16953196,65.879036
90,17181,2.5255246,-1.0,37.52637,-14.858841,0.22604422,52.385212
91,17183,3.2312794,-1.0,48.013065,-14.858841,0.1575627,62.871906
92,17185,2.8579187,-1.0,42.46536,-14.858841,0.1665131,57.3242
93,17187,3.641233,-1.0,54.104504,-14.858841,0.13950047,68.96335
94,17189,2.3661098,-1.0,35.15765,-14.858841,0.21257934,50.01649
95,17191,2.5420346,-1.0,37.77169,-14.858841,0.20025323,52.63053
96,17193,2.6512713,-1.0,39.39482,-14.858841,0.18652861,54.253662
97,17195,3.3163733,-1.0,49.277466,-14.858841,0.15859503,64.13631
98,17197,2.7662568,-1.0,41.10337,-14.858841,0.18175843,55.96221
99,17199,2.3085742,-1.0,34.30274,-14.858841,0.24118513,49.16158
100,17201,2.9231696,-1.0,43.434914,-14.858841,0.18345663,58.293755
101,17203,3.413207,-1.0,50.7163,-14.858841,0.16177253,65.57514
102,18001,2.7097044,-1.0,40.26307,-14.858841,0.18133695,55.12191
103,18003,2.563232,-1.0,38.086655,-14.858841,0.19210131,52.945496
104,18005,2.944446,-1.0,43.751057,-14.858841,0.18764527,58.609898
105,18007,3.3914914,-1.0,50.39363,-14.858841,0.1447286,65.25247
106,18009,2.7487187,-1.0,40.842773,-14.858841,0.1707889,55.701614
107,18011,2.9818664,-1.0,44.30708,-14.858841,0.1540354,59.16592
108,18013,2.688068,-1.0,39.941574,-14.858841,0.32118645,54.800415
109,18015,3.377285,-1.0,50.18254,-14.858841,0.16642131,65.04138
110,18017,3.1044283,-1.0,46.12821,-14.858841,0.16286348,60.98705
111,18019,2.6187372,-1.0,38.9114,-14.858841,0.25390226,53.77024
112,18021,2.9017801,-1.0,43.11709,-14.858841,0.16702466,57.97593
113,18023,3.0120988,-1.0,44.756298,-14.858841,0.1552214,59.61514
114,18025,2.8475327,-1.0,42.311035,-14.858841,0.31640667,57.169876
115,18027,3.1128354,-1.0,46.253128,-14.858841,0.17958598,61.11197
116,18029,2.5306306,-1.0,37.602238,-14.858841,0.25651333,52.46108
117,18031,3.0713968,-1.0,45.637398,-14.858841,0.1687653,60.49624
118,18033,2.5322652,-1.0,37.626526,-14.858841,0.20770536,52.485367
119,18035,2.880722,-1.0,42.80419,-14.858841,0.1664791,57.663033
120,18037,3.0871587,-1.0,45.8716,-14.858841,0.21193165,60.730442
121,18039,2.8439002,-1.0,42.25706,-14.858841,0.19378527,57.115902
122,18041,2.9613118,-1.0,44.001663,-14.858841,0.18923174,58.860504
123,18043,2.5817018,-1.0,38.361095,-14.858841,0.25958782,53.219936
124,18045,3.2759342,-1.0,48.676586,-14.858841,0.15850563,63.535427
125,18047,2.8277369,-1.0,42.01689,-14.858841,0.20407037,56.875732
126,18049,2.9827037,-1.0,44.31952,-14.858841,0.15599948,59.17836
127,18051,2.9702802,-1.0,44.134922,-14.858841,0.18483038,58.993763
128,18053,2.9653735,-1.0,44.062016,-14.858841,0.15438373,58.920856
129,18055,2.8888817,-1.0,42.925434,-14.858841,0.18526673,57.784275
130,18057,2.7181807,-1.0,40.389015,-14.858841,0.16916291,55.247856
131,18059,2.946929,-1.0,43.78795,-14.858841,0.1795079,58.64679
132,18061,2.845223,-1.0,42.276714,-14.858841,0.22891484,57.135555
133,18063,2.9767866,-1.0,44.231598,-14.858841,0.16788429,59.09044
134,18065,2.9785752,-1.0,44.258175,-14.858841,0.17291859,59.117016
135,18067,3.0521007,-1.0,45.350677,-14.858841,0.16410191,60.20952
136,18069,2.856114,-1.0,42.43854,-14.858841,0.17698479,57.297382
137,18071,2.829475,-1.0,42.042717,-14.858841,0.21907264,56.901558
138,18073,3.0327992,-1.0,45.06388,-14.858841,0.15527788,59.92272
139,18075,2.8196235,-1.0,41.896336,-14.858841,0.1736569,56.755177
140,18077,2.4633737,-1.0,36.60288,-14.858841,0.27055874,51.46172
141,18079,2.6680799,-1.0,39.644573,-14.858841,0.23446812,54.503414
142,18081,2.7753954,-1.0,41.23916,-14.858841,0.1879053,56.098
143,18083,3.0929027,-1.0,45.95695,-14.858841,0.16140282,60.815792
144,18085,2.9409652,-1.0,43.699333,-14.858841,0.16662872,58.558174
145,18087,2.7868075,-1.0,41.40873,-14.858841,0.17904496,56.26757
146,18089,2.75708,-1.0,40.967014,-14.858841,0.16663419,55.825855
147,18091,2.8318558,-1.0,42.078094,-14.858841,0.17173406,56.936935
148,18093,2.856923,-1.0,42.450565,-14.858841,0.25919572,57.309406
149,18095,3.021018,-1.0,44.88883,-14.858841,0.15486532,59.74767
150,18097,2.4729528,-1.0,36.745213,-14.858841,0.1874959,51.604053
151,18099,2.9382453,-1.0,43.65892,-14.858841,0.16104573,58.51776
152,18101,3.0808496,-1.0,45.777855,-14.858841,0.24651745,60.636696
153,18103,2.9154267,-1.0,43.319862,-14.858841,0.17154503,58.178703
154,18105,2.6033478,-1.0,38.68273,-14.858841,0.28046054,53.541573
155,18107,3.2135406,-1.0,47.74949,-14.858841,0.15319853,62.60833
156,18109,3.0013318,-1.0,44.596313,-14.858841,0.17646803,59.455154
157,18111,3.1678247,-1.0,47.070206,-14.858841,0.15257062,61.929047
158,18113,2.7530904,-1.0,40.907734,-14.858841,0.17711331,55.766575
159,18115,2.4378676,-1.0,36.22389,-14.858841,0.2786276,51.08273
160,18117,3.0720687,-1.0,45.64738,-14.858841,0.23088557,60.50622
161,18119,2.7225156,-1.0,40.453426,-14.858841,0.2301859,55.312267
162,18121,3.138339,-1.0,46.63208,-14.858841,0.17518555,61.49092
163,18123,2.6300683,-1.0,39.079765,-14.858841,0.25638866,53.938606
164,18125,2.8261352,-1.0,41.99309,-14.858841,0.21045431,56.851933
165,18127,2.8185153,-1.0,41.87987,-14.858841,0.17138049,56.738712
166,18129,2.9391198,-1.0,43.671913,-14.858841,0.17913653,58.530754
167,18131,2.876099,-1.0,42.7355,-14.858841,0.15271473,57.59434
168,18133,3.044125,-1.0,45.23217,-14.858841,0.16240114,60.09101
169,18135,2.9364095,-1.0,43.63164,-14.858841,0.15673007,58.490482
170,18137,2.473197,-1.0,36.74884,-14.858841,0.24369003,51.60768
171,18139,3.0639682,-1.0,45.527016,-14.858841,0.15905283,60.385857
172,18141,2.826583,-1.0,41.99975,-14.858841,0.17422657,56.85859
173,18143,2.5995436,-1.0,38.626205,-14.858841,0.26505074,53.485046
174,18145,2.9036584,-1.0,43.145,-14.858841,0.1656571,58.00384
175,18147,2.8951879,-1.0,43.01914,-14.858841,0.18816139,57.87798
176,18149,2.778401,-1.0,41.283817,-14.858841,0.16798468,56.14266
177,18151,2.6435304,-1.0,39.279797,-14.858841,0.19138892,54.138638
178,18153,2.9529967,-1.0,43.87811,-14.858841,0.16589902,58.73695
179,18155,2.5880113,-1.0,38.45485,-14.858841,0.28019822,53.31369
180,18157,3.2609296,-1.0,48.453636,-14.858841,0.15750529,63.312477
181,18159,3.0038133,-1.0,44.633183,-14.858841,0.15444748,59.492023
182,18161,3.0331998,-1.0,45.069836,-14.858841,0.17388955,59.928677
183,18163,2.591528,-1.0,38.507103,-14.858841,0.17371714,53.365944
184,18165,3.2035847,-1.0,47.601555,-14.858841,0.1736633,62.460396
185,18167,2.8703709,-1.0,42.650383,-14.858841,0.17840186,57.509224
186,18169,2.900539,-1.0,43.098648,-14.858841,0.17370024,57.95749
187,18171,3.3653035,-1.0,50.00451,-14.858841,0.16511615,64.86335
188,18173,2.7323446,-1.0,40.599476,-14.858841,0.20211846,55.458317
189,18175,2.9024377,-1.0,43.12686,-14.858841,0.23430346,57.985703
190,18177,2.863213,-1.0,42.54403,-14.858841,0.19558989,57.40287
191,18179,2.9826493,-1.0,44.318714,-14.858841,0.1664083,59.177555
192,18181,3.1169825,-1.0,46.314747,-14.858841,0.14870368,61.173588
193,18183,2.7328115,-1.0,40.60641,-14.858841,0.17697622,55.465252
194,19001,3.2023335,-1.0,47.582966,-14.858841,0.13978311,62.441807
195,19003,3.2053537,-1.0,47.627842,-14.858841,0.14258787,62.486683
196,19005,2.8615603,-1.0,42.51947,-14.858841,0.1742857,57.37831
197,19007,3.228375,-1.0,47.96991,-14.858841,0.1483566,62.82875
198,19009,3.29008,-1.0,48.886776,-14.858841,0.133343,63.745617
199,19011,3.3835616,-1.0,50.275806,-14.858841,0.13931903,65.13464
200,19013,3.1317945,-1.0,46.534836,-14.858841,0.14029823,61.393677
201,19015,3.421019,-1.0,50.83238,-14.858841,0.12830617,65.69122
202,19017,3.1120667,-1.0,46.241707,-14.858841,0.13744788,61.100548
203,19019,3.2190933,-1.0,47.831997,-14.858841,0.13528898,62.690838
204,19021,3.0758586,-1.0,45.703693,-14.858841,0.115034305,60.562534
205,19023,3.1832833,-1.0,47.2999,-14.858841,0.13763286,62.15874
206,19025,3.1611419,-1.0,46.970905,-14.858841,0.11825177,61.829746
207,19027,3.3551917,-1.0,49.85426,-14.858841,0.12343029,64.713104
208,19029,3.2816167,-1.0,48.76102,-14.858841,0.13193373,63.61986
209,19031,3.3673005,-1.0,50.034184,-14.858841,0.13353476,64.89302
210,19033,3.0615277,-1.0,45.490753,-14.858841,0.12742333,60.349594
211,19035,3.1368294,-1.0,46.60965,-14.858841,0.11772424,61.46849
212,19037,3.0458531,-1.0,45.257847,-14.858841,0.13577475,60.116688
213,19039,3.0749993,-1.0,45.690926,-14.858841,0.16094723,60.549767
214,19041,3.009018,-1.0,44.710518,-14.858841,0.12289398,59.56936
215,19043,3.0662103,-1.0,45.560333,-14.858841,0.15751988,60.419174
216,19045,3.3180099,-1.0,49.30178,-14.858841,0.14420038,64.16062
217,19047,3.2764153,-1.0,48.683735,-14.858841,0.1170492,63.542576
218,19049,3.4489818,-1.0,51.24787,-14.858841,0.13425584,66.10671
219,19051,3.2415938,-1.0,48.16633,-14.858841,0.15547746,63.02517
220,19053,3.200931,-1.0,47.562126,-14.858841,0.14594428,62.420967
221,19055,3.2623582,-1.0,48.47486,-14.858841,0.14030954,63.333702
222,19057,3.3869605,-1.0,50.32631,-14.858841,0.13959312,65.18515
223,19059,2.8269725,-1.0,42.005535,-14.858841,0.12975027,56.864376
224,19061,3.2389555,-1.0,48.127125,-14.858841,0.15366215,62.985966
