,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,3.5915089,4.11876,53.36566,61.2,0.2572796,-7.834339
1,17003,2.9463916,3.45249,43.779964,51.300003,0.3239483,-7.5200386
2,17005,3.7094955,3.94378,55.118805,58.6,0.2715443,-3.4811935
3,17007,4.0529575,4.18606,60.22225,62.2,0.21611965,-1.9777489
4,17009,3.539754,4.33412,52.59664,64.399994,0.29545033,-11.803352
5,17011,4.3271136,4.54275,64.29589,67.5,0.22861917,-3.2041092
6,17013,3.319973,3.88994,49.33095,57.8,0.25395793,-8.469048
7,17015,4.412106,4.63697,65.558784,68.9,0.20194854,-3.341217
8,17017,4.1982937,4.34758,62.38178,64.6,0.27298263,-2.2182198
9,17019,4.163124,4.67062,61.8592,69.4,0.28722027,-7.540802
10,17021,4.4853497,4.67735,66.647095,69.5,0.26025152,-2.8529053
11,17023,3.9449902,4.12549,58.61798,61.300003,0.2663848,-2.682022
12,17025,3.3242903,3.85629,49.3951,57.300003,0.31257993,-7.9049034
13,17027,3.4969845,3.67458,51.961136,54.600002,0.27611423,-2.6388664
14,17033,3.5913448,4.15914,53.363224,61.800003,0.30367714,-8.436779
15,17035,3.7486963,4.52256,55.701283,67.200005,0.2851675,-11.498722
16,17037,4.2367353,4.36777,62.952976,64.9,0.20919311,-1.9470253
17,17039,4.5087233,4.5764,66.9944,68.0,0.25150764,-1.0056
18,17041,4.254272,4.6437,63.21355,69.0,0.2735193,-5.7864494
19,17045,3.9979124,4.56967,59.404346,67.9,0.2945974,-8.495655
20,17047,3.5016403,3.60055,52.03032,53.5,0.29436043,-1.4696808
21,17049,3.835844,4.03127,56.996197,59.9,0.2898279,-2.9038048
22,17053,3.9830742,4.48891,59.18387,66.700005,0.31056294,-7.516136
23,17055,2.9692998,3.1631,44.120354,47.0,0.29074237,-2.8796463
24,17057,3.8431277,4.20625,57.104424,62.500004,0.2698396,-5.3955803
25,17059,3.490232,3.72169,51.8608,55.3,0.29083356,-3.4391975
26,17061,3.9909878,4.48218,59.301453,66.600006,0.26833063,-7.2985535
27,17063,3.9850955,4.24663,59.2139,63.100002,0.25855723,-3.8861008
28,17065,3.3435802,3.37846,49.68173,50.2,0.30061436,-0.5182724
29,17067,4.146256,4.54948,61.60856,67.6,0.2617687,-5.99144
30,17071,4.1625123,4.52256,61.85011,67.200005,0.24923125,-5.3498955
31,17073,4.319664,4.49564,64.1852,66.799995,0.22217607,-2.6147919
32,17075,3.873448,4.29374,57.554947,63.8,0.28392082,-6.2450523
33,17077,2.8607497,3.43903,42.507427,51.1,0.33746612,-8.592571
34,17079,3.7001686,3.75534,54.980217,55.800003,0.29228717,-0.8197861
35,17081,2.9707484,3.23713,44.14188,48.1,0.32549354,-3.9581184
36,17083,3.7419286,4.25336,55.600723,63.199997,0.27373022,-7.5992737
37,17085,3.9700632,4.21298,58.99054,62.6,0.24551581,-3.609459
38,17087,2.4416242,3.03523,36.279705,45.1,0.34403923,-8.820293
39,17089,4.1121044,4.33412,61.101105,64.399994,0.20217106,-3.2988892
40,17091,3.76371,4.01781,55.92437,59.699997,0.28264874,-3.7756271
41,17095,4.253308,4.5091,63.199226,67.0,0.25587913,-3.8007736
42,17097,3.5365696,3.85629,52.549324,57.300003,0.22218192,-4.750679
43,17099,4.289975,4.42161,63.74406,65.7,0.22701806,-1.9559364
44,17101,3.5037403,3.9034,52.06152,58.0,0.31335825,-5.9384804
45,17103,4.3609858,4.49564,64.799194,66.799995,0.21073681,-2.000801
46,17105,4.246269,4.27355,63.09464,63.5,0.27557263,-0.40536118
47,17107,4.380822,4.83214,65.09394,71.8,0.26618576,-6.7060623
48,17109,4.2466288,4.46199,63.099983,66.299995,0.2543828,-3.2000122
49,17113,4.4008646,4.63024,65.39175,68.8,0.26653013,-3.4082565
50,17115,4.2984133,4.96674,63.869442,73.8,0.2602351,-9.930561
51,17117,4.0626917,4.38123,60.36689,65.1,0.2690795,-4.7331085
52,17119,3.6595993,4.01108,54.377403,59.6,0.26333845,-5.222595
53,17121,3.351387,3.65439,49.797726,54.300003,0.3075616,-4.5022774
54,17123,4.3008356,4.31393,63.905434,64.1,0.23613223,-0.19456482
55,17125,3.8796172,4.21298,57.646614,62.6,0.27735627,-4.9533844
56,17127,2.9274583,3.365,43.49864,50.0,0.29019025,-6.501362
57,17129,4.2458787,4.56967,63.088837,67.9,0.25754586,-4.811165
58,17131,4.119912,4.3745,61.21712,65.0,0.2482937,-3.7828789
59,17133,3.1519532,3.57363,46.834373,53.100002,0.30037075,-6.265629
60,17135,4.148044,4.61678,61.635128,68.6,0.2605403,-6.9648705
61,17137,4.17819,4.711,62.083065,70.0,0.2757247,-7.916935
62,17139,4.236062,4.42161,62.942974,65.7,0.26656342,-2.7570229
63,17141,4.261121,4.54948,63.315315,67.6,0.21227051,-4.284683
64,17143,4.271894,4.3072,63.475395,64.0,0.24630739,-0.5246048
65,17145,2.8400364,2.92082,42.19965,43.4,0.3152735,-1.2003517
66,17147,4.4986086,4.99366,66.84411,74.2,0.26745585,-7.3558884
67,17153,2.9940548,3.60055,44.488186,53.5,0.2920528,-9.011814
68,17155,4.104095,4.34758,60.982094,64.6,0.23809001,-3.6179047
69,17157,2.92593,3.38519,43.47593,50.3,0.32260886,-6.82407
70,17159,3.582838,3.77553,53.23682,56.100002,0.3039801,-2.863182
71,17161,4.15387,4.46199,61.721695,66.299995,0.23210911,-4.5783005
72,17163,3.3503618,3.60728,49.782494,53.600002,0.27015743,-3.8175087
73,17165,3.4426026,3.55344,51.153088,52.800003,0.27071264,-1.6469154
74,17167,4.387887,4.89271,65.19891,72.700005,0.26604182,-7.501091
75,17169,3.673883,4.24663,54.58964,63.100002,0.2783518,-8.510361
76,17171,3.962315,4.85233,58.875412,72.100006,0.2780937,-13.224594
77,17173,3.9933,4.51583,59.33581,67.1,0.27445304,-7.764187
78,17175,4.3940845,4.76484,65.291,70.8,0.23416682,-5.5090027
79,17177,4.1840754,4.19279,62.17051,62.3,0.22572537,-0.1294899
80,17179,4.354211,4.7783,64.698524,71.0,0.2464305,-6.3014755
81,17181,2.8046207,3.2304,41.673412,48.0,0.3663005,-6.3265877
82,17183,4.1310043,4.54948,61.38194,67.6,0.29419655,-6.2180595
83,17185,3.680543,3.91013,54.688602,58.100002,0.30332428,-3.4113998
84,17187,4.3383574,4.34085,64.46297,64.5,0.2465328,-0.03703308
85,17189,3.1663136,3.39865,47.047752,50.5,0.29929438,-3.4522476
86,17191,3.2579699,3.79572,48.409657,56.4,0.31573838,-7.990345
87,17193,3.4173546,3.66785,50.777927,54.5,0.29860786,-3.7220726
88,17195,4.314417,4.46872,64.10724,66.4,0.21656357,-2.2927628
89,17197,3.7083616,3.84956,55.101955,57.2,0.26927546,-2.0980453
90,17199,2.874216,3.08907,42.70752,45.9,0.31191227,-3.192482
