,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
83,18057,3.9422886,4.39469,58.57784,65.3,0.2355458,-6.722164
84,18059,3.899736,3.87648,57.945557,57.600002,0.23555753,0.34555435
85,18063,3.9818122,4.19279,59.165115,62.3,0.22225283,-3.1348839
86,18067,4.29738,4.50237,63.854088,66.9,0.17041291,-3.0459137
87,18069,3.7021046,3.4323,55.008984,51.0,0.18098035,4.0089836
88,18071,3.847809,4.36104,57.173985,64.8,0.22625162,-7.6260185
89,18075,3.6511192,3.68804,54.2514,54.8,0.19202252,-0.54859924
90,18079,3.4559128,3.7688,51.35086,56.0,0.22111502,-4.6491394
91,18081,3.8642225,4.30047,57.41787,63.899998,0.2590081,-6.482128
92,18083,3.8132958,4.04473,56.661156,60.100002,0.23625624,-3.4388466
93,18085,3.7632775,3.65439,55.917942,54.300003,0.18505727,1.617939
94,18087,3.6087434,3.61401,53.621746,53.7,0.18130985,-0.0782547
95,18089,3.8723497,3.51306,57.53863,52.2,0.25224695,5.3386307
96,18091,3.7544966,3.6342,55.787468,54.000004,0.19121219,1.7874641
97,18095,4.2481346,4.63024,63.122356,68.8,0.21083435,-5.6776466
98,18097,3.260473,3.76207,48.44685,55.9,0.29593182,-7.4531517
99,18099,3.8111484,3.18329,56.62925,47.3,0.1677873,9.32925
100,18103,3.8495471,3.8361,57.19981,57.000004,0.1781306,0.19980621
101,18105,3.3049576,3.7688,49.10784,56.0,0.34562337,-6.8921585
102,18107,4.400529,4.41488,65.38676,65.6,0.20195809,-0.21324158
103,18109,3.973033,4.32739,59.034664,64.3,0.24935701,-5.265339
104,18111,4.294406,3.94378,63.809895,58.6,0.20353793,5.209896
105,18113,3.537987,3.39865,52.570385,50.5,0.18261243,2.070385
106,18115,3.027448,2.57759,44.984367,38.3,0.3039563,6.684368
107,18119,3.4830031,3.37173,51.75339,50.100002,0.29068878,1.653389
108,18123,3.3365004,3.45249,49.57653,51.300003,0.323143,-1.7234726
109,18125,3.2979524,3.78226,49.00375,56.2,0.28055587,-7.196251
110,18129,3.7686317,4.27355,55.9975,63.5,0.26262394,-7.5024986
111,18131,3.9906638,3.91686,59.29664,58.2,0.23154342,1.0966377
112,18133,3.9532263,4.19279,58.74036,62.3,0.2179889,-3.559639
113,18135,3.9705384,4.1726,58.9976,61.999996,0.19284205,-3.0023956
114,18137,3.4552279,3.47268,51.340683,51.600002,0.19920264,-0.2593193
115,18139,4.3038116,4.49564,63.949654,66.799995,0.1887915,-2.8503418
116,18141,3.535407,3.19002,52.53205,47.4,0.19622128,5.1320496
117,18143,3.2494533,3.47268,48.28311,51.600002,0.26123288,-3.3168907
118,18145,4.0486,4.28701,60.15751,63.700005,0.21447606,-3.5424957
119,18147,3.4343233,3.64766,51.030064,54.2,0.23773244,-3.1699371
120,18151,3.5521228,3.26405,52.78043,48.5,0.18047194,4.28043
121,18153,3.8468792,4.15241,57.160168,61.7,0.25299332,-4.539833
122,18155,3.1471899,2.84006,46.763596,42.2,0.35310614,4.563595
123,18157,4.3974404,4.15914,65.340866,61.800003,0.21207319,3.540863
124,18159,4.4203377,4.50237,65.6811,66.9,0.16892679,-1.2189026
125,18161,4.0634546,4.19952,60.378227,62.4,0.17936607,-2.0217743
126,18163,3.5931432,3.93705,53.389946,58.500004,0.21647568,-5.110058
127,18167,3.626839,3.8361,53.890625,57.000004,0.23691007,-3.1093788
128,18169,3.7010357,3.41884,54.993103,50.8,0.17786062,4.193104
129,18173,3.2876546,3.71496,48.85074,55.2,0.26639038,-6.349262
130,18175,3.5253832,3.88994,52.38311,57.8,0.2520037,-5.416889
131,18177,3.8437936,3.74188,57.11432,55.6,0.21600015,1.5143204
132,18179,4.0817347,3.95724,60.649845,58.800003,0.17074922,1.8498421
133,18183,3.4278553,2.86025,50.933956,42.5,0.18172055,8.433956
134,19001,4.16298,4.05146,61.85706,60.199997,0.19794488,1.6570625
135,19005,3.8502355,3.84283,57.210037,57.1,0.2064966,0.11003876
136,19009,4.458849,4.34758,66.25333,64.6,0.17642918,1.653328
137,19013,4.101483,3.84956,60.943283,57.2,0.2179834,3.7432823
138,19015,4.486378,4.46199,66.662384,66.299995,0.19772492,0.3623886
139,19017,4.0114737,3.82937,59.60585,56.9,0.21136978,2.7058487
140,19019,4.193095,4.03127,62.304535,59.9,0.19311114,2.4045334
141,19023,4.179847,3.92359,62.107677,58.3,0.22237992,3.8076782
142,19025,4.5140266,4.21298,67.073204,62.6,0.15325989,4.4732056
143,19027,4.558303,4.54948,67.7311,67.6,0.15487708,0.13110352
144,19029,4.3663073,4.11203,64.878265,61.100002,0.18948199,3.778263
145,19031,4.707359,4.47545,69.9459,66.5,0.17494512,3.4459
146,19035,4.4385324,4.05146,65.95145,60.199997,0.13761383,5.7514496
147,19037,3.8664591,3.93032,57.451103,58.4,0.19735149,-0.9488983
148,19041,3.8334496,3.32462,56.960617,49.4,0.17862599,7.5606155
149,19045,4.673785,4.38796,69.44703,65.2,0.18282233,4.247032
150,19047,4.5707088,4.20625,67.915436,62.500004,0.1595805,5.415432
151,19049,4.454311,4.34085,66.1859,64.5,0.22775158,1.6858978
152,19051,3.8557866,3.97743,57.29252,59.100002,0.2455996,-1.8074837
153,19053,3.5029554,3.44576,52.04986,51.2,0.26588488,0.84985733
154,19055,4.3243823,4.09857,64.25531,60.899998,0.19413206,3.3553123
155,19059,3.4808,3.10253,51.720654,46.100002,0.1780882,5.6206512
156,19065,3.8860862,3.78899,57.742737,56.3,0.182725,1.4427376
157,19067,3.9517548,3.74188,58.7185,55.6,0.21431245,3.1184998
158,19069,4.222228,3.91686,62.737415,58.2,0.18612385,4.5374146
159,19073,4.5501842,4.15914,67.610466,61.800003,0.16190952,5.810463
160,19079,4.373336,3.94378,64.982704,58.6,0.17188318,6.3827057
161,19081,4.185174,3.91686,62.186836,58.2,0.18450308,3.9868355
162,19087,4.4314756,4.46872,65.846596,66.4,0.20221245,-0.55340576
163,19089,3.839435,3.71496,57.049557,55.2,0.1960709,1.849556
164,19091,4.0807505,3.81591,60.635223,56.7,0.15888302,3.9352226
165,19093,4.6952333,4.27355,69.765724,63.5,0.14340614,6.265724
166,19095,4.2867117,4.09857,63.695568,60.899998,0.2147826,2.7955704
167,19097,4.2373,4.34758,62.961365,64.6,0.22559391,-1.6386337
168,19101,4.1544485,4.07165,61.73029,60.5,0.22438857,1.2302895
169,19103,4.494153,4.27355,66.77791,63.5,0.21382475,3.2779083
170,19105,4.425066,4.29374,65.75135,63.8,0.20872673,1.9513512
171,19107,4.2142076,4.24663,62.61824,63.100002,0.20968603,-0.48176193
172,19111,4.2725782,4.50237,63.48556,66.9,0.22296706,-3.4144402
173,19115,4.4502034,4.33412,66.12486,64.399994,0.22608654,1.7248688
174,19123,4.381316,4.48891,65.10128,66.700005,0.23388724,-1.5987244
175,19125,4.172719,4.28028,62.00177,63.600002,0.28112197,-1.5982323
176,19129,4.478361,4.11203,66.54326,61.100002,0.2347061,5.4432564
177,19131,4.185846,4.1726,62.19682,61.999996,0.2075269,0.19682312
178,19133,4.1360083,3.71496,61.45629,55.2,0.20256843,6.2562904
179,19135,3.7171814,3.78899,55.23301,56.3,0.2827454,-1.0669899
180,19137,4.5479155,4.14568,67.57675,61.6,0.18882236,5.976753
181,19139,4.637876,4.21298,68.91346,62.6,0.20030598,6.3134613
182,19141,4.223983,3.79572,62.76349,56.4,0.14589259,6.3634872
183,19145,4.407711,4.03127,65.49348,59.9,0.21516371,5.5934753
184,19147,3.9697044,3.61401,58.985207,53.7,0.17764458,5.285206
185,19151,4.3551393,3.91013,64.712326,58.100002,0.14759576,6.6123238
186,19153,4.225095,4.15241,62.780014,61.7,0.2650028,1.0800133
187,19155,4.334504,4.18606,64.40571,62.2,0.20689316,2.2057076
188,19157,4.389403,4.14568,65.22144,61.6,0.2209927,3.6214447
189,19161,4.592929,4.3072,68.2456,64.0,0.14180551,4.245598
190,19163,4.8328633,4.71773,71.810745,70.1,0.18333416,1.7107468
191,19165,4.5247927,4.29374,67.23318,63.8,0.15594503,3.433178
192,19169,4.3056207,4.25336,63.976532,63.199997,0.20060953,0.77653503
193,19173,4.0340323,4.14568,59.941048,61.6,0.23851058,-1.6589508
194,19177,4.031826,4.13222,59.908264,61.399998,0.24465026,-1.4917336
195,19185,3.7602954,3.80918,55.87363,56.600002,0.2604282,-0.72637177
196,19187,4.4088416,4.02454,65.51028,59.8,0.15311217,5.7102776
197,19189,4.0280685,3.62074,59.852432,53.8,0.18088561,6.052433
198,19191,3.921244,3.7015,58.26514,55.0,0.2038324,3.2651405
199,19193,4.363102,3.95724,64.83064,58.800003,0.16452608,6.0306396
200,19195,3.9748588,3.80918,59.061794,56.600002,0.1946427,2.461792
201,19197,4.210841,3.73515,62.568222,55.500004,0.18821041,7.068218
202,20001,2.4493291,1.78345,36.39419,26.5,0.2928695,9.894192
203,20003,3.036608,2.42953,45.120476,36.1,0.2982599,9.020477
204,20005,3.8387501,3.62074,57.03938,53.8,0.36512133,3.23938
205,20009,2.4140723,2.24782,35.870316,33.399998,0.47858053,2.4703178
206,20011,2.3944151,1.37292,35.578236,20.400002,0.2805309,15.178234
207,20013,4.2571983,3.9707,63.257034,59.0,0.38151538,4.2570343
208,20015,2.6699798,2.02573,39.672806,30.099998,0.39341423,9.572807
209,20017,3.2870615,2.8939,48.841923,43.0,0.35148656,5.8419228
210,20027,3.5267384,2.692,52.403244,40.0,0.50531137,12.403244
211,20029,2.8652477,2.20744,42.57426,32.8,0.62235487,9.774261
212,20031,2.9386525,1.91132,43.66497,28.4,0.32719192,15.264971
213,20035,2.2422216,1.08353,33.316814,16.099998,0.27471355,17.216816
214,20041,2.6972976,2.019,40.078716,30.000002,0.37184948,10.078714
215,20045,2.973589,2.54394,44.184086,37.800003,0.30855104,6.384083
216,20047,3.566055,3.40538,52.987446,50.600002,0.47790647,2.3874435
217,20049,2.3223329,1.15756,34.507175,17.2,0.24639301,17.307175
218,20059,3.1475394,2.61124,46.768787,38.8,0.27523196,7.968788
219,20061,3.5000026,2.61124,52.00598,38.8,0.43424398,13.205982
220,20073,2.5806692,1.81037,38.345753,26.9,0.27701464,11.445753
221,20085,3.480935,2.90063,51.72266,43.100002,0.35910672,8.622658
222,20091,2.8166597,1.80364,41.8523,26.800001,0.31385428,15.052298
223,20095,1.971968,2.1536,29.30116,32.0,0.5248206,-2.6988392
224,20099,2.1902218,1.38638,32.54416,20.6,0.23036285,11.944159
225,20103,3.3344295,3.2304,49.545757,48.0,0.31114757,1.5457573
226,20105,2.4753883,1.80364,36.781403,26.800001,0.45679078,9.981401
227,20111,3.305361,2.42953,49.113834,36.1,0.34166163,13.013836
228,20113,2.6444502,2.36896,39.293465,35.2,0.42420614,4.093464
229,20115,2.8721857,2.24782,42.677353,33.399998,0.44865286,9.277355
230,20121,2.6947439,1.75653,40.04077,26.1,0.29743004,13.940771
231,20123,1.9648067,1.31908,29.19475,19.6,0.4452983,9.594749
232,20125,2.0487702,1.46041,30.44235,21.7,0.20061494,8.74235
233,20127,3.1511989,2.17379,46.823162,32.3,0.3856431,14.523163
234,20131,3.7115471,3.23713,55.14929,48.1,0.44465286,7.0492897
235,20133,2.4353464,1.77672,36.186424,26.400002,0.26899266,9.786423
