,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,3.968703,3.68804,58.97033,54.8,0.2267059,4.17033
1,17003,3.0658684,3.27751,45.555252,48.7,0.31571653,-3.1447487
2,17005,3.8682258,3.9707,57.477352,59.0,0.23371573,-1.5226479
3,17007,4.0895696,3.5669,60.766266,53.0,0.17460035,7.766266
4,17009,3.772445,4.13222,56.05416,61.399998,0.26791584,-5.3458366
5,17011,4.3015785,4.36104,63.916473,64.8,0.1789145,-0.88352966
6,17013,3.9167197,3.64093,58.197914,54.1,0.20875765,4.0979156
7,17015,4.3793945,4.58313,65.07273,68.1,0.1885581,-3.0272675
8,17017,4.3774433,4.2399,65.04373,63.000004,0.19728638,2.0437279
9,17019,4.4056463,4.44853,65.4628,66.100006,0.18403615,-0.63720703
10,17021,4.5128922,4.43507,67.05635,65.9,0.17984927,1.1563492
11,17023,4.125194,3.93032,61.295605,58.4,0.19814,2.8956032
12,17025,3.5426304,3.52652,52.63938,52.4,0.26107463,0.23937988
13,17027,3.6772804,3.53325,54.640125,52.500004,0.24557689,2.1401215
14,17029,4.299772,4.48218,63.889626,66.600006,0.20199652,-2.7103806
15,17033,3.8709,3.78899,57.517086,56.3,0.20849858,1.2170868
16,17035,3.9512432,3.80245,58.710896,56.5,0.22299609,2.2108955
17,17037,4.140897,3.9707,61.528927,59.0,0.17102581,2.5289268
18,17039,4.5144033,4.46872,67.078804,66.4,0.16720983,0.6788025
19,17041,4.457194,4.51583,66.22874,67.1,0.1863448,-0.8712616
20,17045,4.356355,4.1053,64.73039,61.0,0.19350968,3.7303925
21,17047,3.638303,3.68131,54.060966,54.7,0.24665934,-0.6390343
22,17049,3.8694208,3.89667,57.49511,57.9,0.24763525,-0.40489197
23,17051,3.8261087,3.66112,56.85154,54.4,0.23743822,2.451538
24,17053,4.230385,3.78899,62.858616,56.3,0.19011489,6.5586166
25,17055,3.2659822,3.44576,48.52871,51.2,0.2917334,-2.6712914
26,17057,4.0725446,3.93032,60.513294,58.4,0.2125315,2.1132927
27,17059,3.5269053,3.87648,52.405727,57.600002,0.2608904,-5.194275
28,17061,4.2388353,4.38796,62.98418,65.2,0.19800863,-2.2158165
29,17063,4.01091,3.78226,59.597477,56.2,0.1798454,3.3974762
30,17065,3.4512203,3.48614,51.281136,51.8,0.2777253,-0.5188637
31,17067,4.341624,4.48218,64.5115,66.600006,0.23368251,-2.0885086
32,17069,3.1503897,3.41884,46.81114,50.8,0.32545176,-3.988861
33,17071,4.40563,4.17933,65.462555,62.1,0.22621617,3.3625565
34,17073,4.3118215,4.19279,64.06867,62.3,0.18901376,1.768673
35,17075,4.118566,4.038,61.197117,60.000004,0.18126403,1.197113
36,17077,3.2309031,3.51306,48.007477,52.2,0.31794155,-4.192524
37,17079,3.9854438,3.66785,59.219078,54.5,0.21896876,4.719078
38,17081,3.2656763,3.20348,48.524166,47.600002,0.3090707,0.9241638
39,17083,4.041338,4.39469,60.0496,65.3,0.20509516,-5.2504044
40,17085,3.9555023,3.97743,58.77418,59.100002,0.24226978,-0.32582092
41,17087,3.296013,3.08234,48.974934,45.8,0.33891615,3.1749344
42,17089,3.899443,3.7688,57.941204,56.0,0.17670536,1.9412041
43,17091,3.8534825,3.68804,57.258286,54.8,0.1941879,2.4582863
44,17093,4.137178,3.86975,61.47367,57.5,0.17503285,3.973671
45,17095,4.336316,4.30047,64.43263,63.899998,0.20339191,0.53263474
46,17097,3.5071547,3.48614,52.112255,51.8,0.23354402,0.31225586
47,17099,4.314054,3.99089,64.101845,59.3,0.17111298,4.8018456
48,17101,3.8066728,3.89667,56.562748,57.9,0.22290352,-1.3372536
49,17103,4.1513195,4.35431,61.683796,64.700005,0.1781356,-3.0162086
50,17105,4.2127466,3.7688,62.596535,56.0,0.18151468,6.5965347
51,17107,4.599441,4.62351,68.34236,68.7,0.17900556,-0.3576355
52,17109,4.444831,4.38123,66.04504,65.1,0.22726111,0.94503784
53,17111,4.0260983,3.53325,59.823154,52.500004,0.17646539,7.3231506
54,17113,4.417623,4.30047,65.64076,63.899998,0.1841801,1.7407646
55,17115,4.5585093,4.45526,67.73417,66.2,0.18083581,1.534172
56,17117,4.2179165,4.53602,62.67335,67.4,0.192652,-4.72665
57,17119,3.9722354,3.93705,59.022816,58.500004,0.22488236,0.5228119
58,17121,3.5834165,3.69477,53.245415,54.9,0.27573097,-1.6545868
59,17123,4.3498383,4.24663,64.63355,63.100002,0.18567277,1.5335503
60,17125,4.101027,4.11876,60.93651,61.2,0.21969058,-0.26349258
61,17127,3.5781896,3.47268,53.16775,51.600002,0.28030294,1.567749
62,17129,4.394178,4.52929,65.29239,67.3,0.19218194,-2.0076141
63,17131,4.2652726,3.99762,63.377007,59.4,0.22515507,3.977005
64,17133,3.3734436,3.74861,50.12546,55.7,0.28702265,-5.574539
65,17135,4.33086,4.25336,64.35156,63.199997,0.18351156,1.1515656
66,17137,4.396766,4.23317,65.33085,62.9,0.20952608,2.4308472
67,17139,4.3528423,4.3745,64.67819,65.0,0.1917355,-0.32180786
68,17141,4.1531525,4.16587,61.711033,61.900005,0.17813598,-0.18897247
69,17143,4.2401156,4.38796,63.003204,65.2,0.2024517,-2.1967926
70,17145,3.308606,3.24386,49.16205,48.2,0.28719887,0.9620476
71,17147,4.6698537,4.82541,69.38861,71.7,0.17306547,-2.311386
72,17149,4.0553527,4.17933,60.257843,62.1,0.21244276,-1.8421555
73,17151,3.2486477,3.57363,48.27114,53.100002,0.3162693,-4.828861
74,17153,3.5343502,3.68804,52.516346,54.8,0.2771882,-2.2836533
75,17155,4.226134,4.15914,62.795452,61.800003,0.18202767,0.99544907
76,17157,3.3444211,3.59382,49.69422,53.4,0.29000878,-3.70578
77,17159,3.8146627,3.6342,56.68147,54.000004,0.23566511,2.6814651
78,17161,4.1459312,4.12549,61.603733,61.300003,0.19670738,0.30373
79,17163,3.7334898,3.54671,55.47533,52.7,0.24791333,2.7753296
80,17165,3.4787853,3.9707,51.69072,59.0,0.2924018,-7.3092804
81,17167,4.546857,4.63024,67.56103,68.8,0.18816447,-1.2389755
82,17169,3.941921,3.91013,58.572376,58.100002,0.23121211,0.47237396
83,17171,4.0953984,4.38123,60.852875,65.1,0.232359,-4.2471237
84,17173,4.1169963,4.06492,61.173794,60.4,0.20555784,0.77379227
85,17175,4.422511,4.2399,65.71339,63.000004,0.19804986,2.7133827
86,17177,4.1864357,4.31393,62.20558,64.1,0.20969154,-1.8944168
87,17179,4.441042,4.29374,65.98874,63.8,0.18877451,2.1887398
88,17181,3.2468317,3.37846,48.244156,50.2,0.32974187,-1.9558449
89,17183,4.4138317,4.15914,65.58443,61.800003,0.19257818,3.7844238
90,17185,3.9557955,3.66785,58.778538,54.5,0.20696434,4.2785378
91,17187,4.5041566,4.48218,66.926544,66.600006,0.19795892,0.3265381
92,17189,3.4507759,3.48614,51.274532,51.8,0.2725237,-0.5254669
93,17191,3.4568036,3.4996,51.364094,52.0,0.28074142,-0.6359062
94,17193,3.449574,3.7015,51.25667,55.0,0.25164804,-3.743328
95,17197,3.7705128,3.66785,56.02545,54.5,0.20008358,1.5254517
96,17199,3.2564642,3.55344,48.387283,52.800003,0.33712652,-4.4127197
