,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,3.8208168,3.99089,56.77291,59.3,0.25300816,-2.5270882
1,17005,4.0284576,4.5091,59.85821,67.0,0.23089011,-7.1417885
2,17007,4.1397076,4.05819,61.511257,60.3,0.1642757,1.2112579
3,17009,3.761947,4.05819,55.89817,60.3,0.26168713,-4.401829
4,17011,4.3151016,4.61005,64.11741,68.5,0.2004395,-4.3825912
5,17013,3.8330085,3.94378,56.954063,58.6,0.23262012,-1.645935
6,17015,4.1560926,4.63697,61.75472,68.9,0.18762192,-7.1452827
7,17017,4.114396,4.83887,61.13516,71.9,0.27612,-10.764843
8,17019,4.5815554,4.56967,68.07661,67.9,0.23459302,0.17660522
9,17021,4.572834,4.95328,67.947014,73.6,0.23540682,-5.6529846
10,17023,4.1521893,4.31393,61.69672,64.1,0.22680071,-2.4032784
11,17025,3.9000428,3.93705,57.950115,58.500004,0.26146284,-0.5498886
12,17027,3.8345807,4.04473,56.977425,60.100002,0.24032296,-3.1225777
13,17029,4.6092386,5.04077,68.487946,74.9,0.22285224,-6.412056
14,17033,3.9957216,4.2399,59.37179,63.000004,0.25183353,-3.628212
15,17035,4.293826,4.52256,63.80128,67.200005,0.21517298,-3.3987236
16,17037,4.218647,4.11203,62.684204,61.100002,0.16097963,1.5842018
17,17039,4.6233807,5.0475,68.69808,75.0,0.2580796,-6.301918
18,17041,4.6099005,5.25613,68.49778,78.100006,0.22975773,-9.602226
19,17045,4.500167,4.67735,66.86726,69.5,0.23788646,-2.6327362
20,17047,3.6130378,2.96793,53.685555,44.100002,0.28087994,9.585552
21,17049,4.269663,4.85233,63.44224,72.100006,0.23046064,-8.657764
22,17051,4.0838146,4.00435,60.68075,59.500004,0.22981036,1.180748
23,17053,4.2021894,4.08511,62.439667,60.700005,0.23283237,1.7396622
24,17055,3.4279358,3.19675,50.935154,47.5,0.24276774,3.435154
25,17057,3.8829415,4.19952,57.69601,62.4,0.2568947,-4.703991
26,17059,3.696863,3.365,54.9311,50.0,0.25486943,4.931099
27,17061,4.0615454,4.71773,60.349857,70.1,0.25805825,-9.750141
28,17063,4.2465706,3.93705,63.099117,58.500004,0.20501743,4.5991135
29,17065,3.563625,3.44576,52.95134,51.2,0.28666326,1.751339
30,17067,4.044487,4.69754,60.09639,69.799995,0.2960953,-9.703606
31,17069,3.09914,2.91409,46.04963,43.3,0.25142792,2.74963
32,17071,4.019004,4.05146,59.71774,60.199997,0.25441304,-0.48225784
33,17073,4.1327963,4.25336,61.40856,63.199997,0.21058229,-1.7914352
34,17075,4.207821,3.72169,62.523342,55.3,0.21987377,7.223343
35,17077,3.5129025,3.29097,52.19766,48.9,0.23743,3.297657
36,17079,4.1274023,4.08511,61.328415,60.700005,0.23449276,0.62841034
37,17081,3.4216359,3.45922,50.841545,51.399998,0.260907,-0.5584526
38,17089,3.9354231,3.96397,58.475826,58.9,0.18614876,-0.42417526
39,17091,3.93798,3.64766,58.513817,54.2,0.23515007,4.313816
40,17093,4.0343924,4.09184,59.946396,60.8,0.1942334,-0.85360336
41,17095,4.213915,4.31393,62.61389,64.1,0.25154424,-1.4861069
42,17097,3.3022015,2.77949,49.066887,41.3,0.2173626,7.7668877
43,17099,4.310322,4.51583,64.04639,67.1,0.18777753,-3.0536118
44,17101,3.8445036,3.64093,57.12487,54.1,0.2778422,3.0248718
45,17103,4.1841173,4.28701,62.171135,63.700005,0.17709477,-1.5288696
46,17105,4.1855946,4.1053,62.193085,61.0,0.24085052,1.1930847
47,17107,4.5467014,4.71773,67.558716,70.1,0.26309177,-2.5412827
48,17109,4.215375,4.66389,62.635586,69.299995,0.26801902,-6.6644096
49,17111,3.9152281,3.96397,58.175755,58.9,0.16995965,-0.724247
50,17113,4.5043325,4.54275,66.92916,67.5,0.25408438,-0.5708389
51,17115,4.6076994,5.06096,68.46507,75.2,0.24663562,-6.7349243
52,17117,4.2383184,4.69081,62.9765,69.700005,0.24729334,-6.723503
53,17119,3.9972222,4.20625,59.39409,62.500004,0.2393812,-3.105915
54,17121,3.8741534,4.07165,57.56543,60.5,0.23968345,-2.9345703
55,17123,4.3205185,4.40815,64.1979,65.5,0.20907968,-1.3021011
56,17129,4.390751,4.61678,65.24147,68.6,0.26577452,-3.3585281
57,17131,3.9953663,4.25336,59.366512,63.199997,0.23900822,-3.8334846
58,17133,3.6531775,3.64093,54.281982,54.1,0.25087792,0.18198395
59,17135,4.319457,4.9129,64.18213,73.0,0.24092917,-8.817871
60,17137,4.279211,5.37054,63.584118,79.8,0.26996532,-16.215885
61,17139,4.6563444,5.10807,69.18788,75.9,0.23300044,-6.71212
62,17141,4.1788054,4.32739,62.092205,64.3,0.1679666,-2.207798
63,17143,4.0476665,4.48218,60.143635,66.600006,0.26733077,-6.4563713
64,17145,3.4609945,3.53325,51.42637,52.500004,0.22597225,-1.0736351
65,17147,4.718066,5.20902,70.104996,77.4,0.25181013,-7.295006
66,17149,3.7022917,4.11876,55.011765,61.2,0.2666826,-6.188236
67,17153,3.301244,3.24386,49.05266,48.2,0.27970323,0.85266113
68,17157,3.6298926,3.50633,53.935997,52.100002,0.20956323,1.8359947
69,17159,3.916662,3.78899,58.19706,56.3,0.26950687,1.8970604
70,17161,3.8068697,4.07165,56.565674,60.5,0.22393568,-3.9343262
71,17163,3.976557,3.7688,59.08703,56.0,0.2367719,3.0870285
72,17165,3.4692833,3.32462,51.54953,49.4,0.25230616,2.1495285
73,17167,4.5345526,5.41092,67.3782,80.4,0.26224446,-13.021805
74,17169,3.8702953,4.03127,57.508102,59.9,0.25238672,-2.391899
75,17173,4.40985,4.73792,65.52526,70.4,0.22019939,-4.8747406
76,17177,4.189601,4.26009,62.252617,63.3,0.16503714,-1.0473824
