,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
83,18057,3.8351543,4.39469,56.985947,65.3,0.16127962,-8.314056
84,18059,3.8520694,3.87648,57.237286,57.600002,0.15635574,-0.36271667
85,18063,3.9159744,4.19279,58.18684,62.3,0.14652197,-4.113159
86,18067,4.3307323,4.50237,64.34966,66.9,0.118805155,-2.5503387
87,18069,3.7140462,3.4323,55.186424,51.0,0.12189814,4.1864243
88,18071,3.9199533,4.36104,58.245964,64.8,0.15669185,-6.554039
89,18075,3.6655138,3.68804,54.465286,54.8,0.12307427,-0.33471298
90,18079,3.5047922,3.7688,52.077152,56.0,0.14842947,-3.9228477
91,18081,3.8513336,4.30047,57.226353,63.899998,0.18134,-6.673645
92,18083,3.7768738,4.04473,56.11997,60.100002,0.14707676,-3.9800339
93,18085,3.7652638,3.65439,55.947456,54.300003,0.11791066,1.6474533
94,18087,3.5848596,3.61401,53.26686,53.7,0.12662081,-0.4331398
95,18089,3.7223115,3.51306,55.309235,52.2,0.15317897,3.1092339
96,18091,3.6439548,3.6342,54.144943,54.000004,0.120319076,0.14493942
97,18095,4.2198353,4.63024,62.701862,68.8,0.13045241,-6.0981407
98,18097,2.9676967,3.76207,44.096535,55.9,0.21099868,-11.803467
99,18099,3.7491286,3.18329,55.707706,47.3,0.11108478,8.407707
100,18103,3.8799932,3.8361,57.652203,57.000004,0.12036511,0.6521988
101,18105,3.3963823,3.7688,50.466305,56.0,0.22490051,-5.533695
102,18107,4.300438,4.41488,63.899525,65.6,0.12619814,-1.7004738
103,18109,3.9903753,4.32739,59.29235,64.3,0.16154869,-5.0076523
104,18111,4.2655153,3.94378,63.380615,58.6,0.12068295,4.7806168
105,18113,3.5609004,3.39865,52.910854,50.5,0.122482955,2.4108543
106,18115,3.2017405,2.57759,47.574154,38.3,0.19491513,9.274155
107,18119,3.5726779,3.37173,53.085854,50.100002,0.18872578,2.9858513
108,18123,3.4724774,3.45249,51.596992,51.300003,0.2168622,0.29698944
109,18125,3.377714,3.78226,50.188915,56.2,0.1740697,-6.0110855
110,18129,3.857401,4.27355,57.316505,63.5,0.16961887,-6.1834946
111,18131,3.794242,3.91686,56.378036,58.2,0.13190676,-1.8219643
112,18133,3.9468644,4.19279,58.645832,62.3,0.14626066,-3.6541672
113,18135,3.9854877,4.1726,59.21973,61.999996,0.11829164,-2.7802658
114,18137,3.534341,3.47268,52.516212,51.600002,0.14429565,0.9162102
115,18139,4.294181,4.49564,63.806553,66.799995,0.12398195,-2.9934425
116,18141,3.52883,3.19002,52.434326,47.4,0.12617536,5.0343246
117,18143,3.4428957,3.47268,51.15744,51.600002,0.17284465,-0.4425621
118,18145,4.0146084,4.28701,59.652428,63.700005,0.13599928,-4.047577
119,18147,3.5659316,3.64766,52.98561,54.2,0.1592315,-1.2143898
120,18151,3.5746276,3.26405,53.114826,48.5,0.12091885,4.614826
121,18153,3.761634,4.15241,55.893524,61.7,0.16625467,-5.8064766
122,18155,3.314352,2.84006,49.24743,42.2,0.22803023,7.047428
123,18157,4.306715,4.15914,63.992794,61.800003,0.124795556,2.192791
124,18159,4.4494047,4.50237,66.113,66.9,0.11086458,-0.78700256
125,18161,4.130556,4.19952,61.37528,62.4,0.123199284,-1.024723
126,18163,3.6150923,3.93705,53.716084,58.500004,0.14515628,-4.7839203
127,18167,3.578427,3.8361,53.17128,57.000004,0.15283291,-3.828724
128,18169,3.7350922,3.41884,55.49914,50.8,0.11720415,4.6991425
129,18173,3.4029772,3.71496,50.564297,55.2,0.17000195,-4.635704
130,18175,3.6080263,3.88994,53.611088,57.8,0.16782598,-4.1889114
131,18177,3.9136145,3.74188,58.151775,55.6,0.14480753,2.551777
132,18179,4.1110754,3.95724,61.085815,58.800003,0.11311876,2.2858124
133,18183,3.441913,2.86025,51.142838,42.5,0.12296928,8.642838
134,19001,3.9605606,4.05146,58.84934,60.199997,0.12919132,-1.3506584
135,19005,3.769945,3.84283,56.017014,57.1,0.1361309,-1.0829849
136,19009,4.1734295,4.34758,62.012325,64.6,0.117267124,-2.5876732
137,19013,3.9073474,3.84956,58.058655,57.2,0.11802701,0.858654
138,19015,4.2647443,4.46199,63.36916,66.299995,0.1102798,-2.9308357
139,19017,3.8459086,3.82937,57.145744,56.9,0.12058861,0.2457428
140,19019,4.0550737,4.03127,60.253696,59.9,0.11428484,0.35369492
141,19023,4.0081024,3.92359,59.555756,58.3,0.12221766,1.2557564
142,19025,4.3026385,4.21298,63.932224,62.6,0.097342625,1.3322258
143,19027,4.297109,4.54948,63.850063,67.6,0.10667277,-3.7499352
144,19029,4.0885506,4.11203,60.751125,61.100002,0.123555675,-0.34887695
145,19031,4.679761,4.47545,69.53583,66.5,0.0997399,3.0358276
146,19035,4.1807384,4.05146,62.12093,60.199997,0.09935581,1.9209328
147,19037,3.7628143,3.93032,55.91106,58.4,0.11983775,-2.4889412
148,19041,3.4962316,3.32462,51.94995,49.4,0.11343282,2.5499496
149,19045,4.652388,4.38796,69.1291,65.2,0.101149276,3.9291
150,19047,4.3102455,4.20625,64.04525,62.500004,0.113872975,1.5452461
151,19049,4.2380896,4.34085,62.9731,64.5,0.12297889,-1.5269012
152,19051,3.7808995,3.97743,56.179787,59.100002,0.14359254,-2.9202156
153,19053,3.4545925,3.44576,51.33124,51.2,0.16023867,0.13124084
154,19055,4.2260847,4.09857,62.79472,60.899998,0.112342946,1.894722
155,19059,3.1212008,3.10253,46.377426,46.100002,0.11210597,0.27742386
156,19065,3.7852738,3.78899,56.24478,56.3,0.113349356,-0.055217743
157,19067,3.7950616,3.74188,56.390217,55.6,0.12896444,0.79021835
158,19069,4.014226,3.91686,59.646748,58.2,0.10842377,1.4467468
159,19073,4.3192754,4.15914,64.17943,61.800003,0.10138457,2.379425
160,19079,4.156044,3.94378,61.753998,58.6,0.100636564,3.1539993
161,19081,4.006003,3.91686,59.52456,58.2,0.11147996,1.3245583
162,19087,4.390387,4.46872,65.23606,66.4,0.11428716,-1.1639404
163,19089,3.745329,3.71496,55.65125,55.2,0.12143727,0.45124817
164,19091,3.8262875,3.81591,56.8542,56.7,0.09927807,0.1541977
165,19093,4.501975,4.27355,66.894135,63.5,0.103271574,3.3941345
