,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,3.3126905,3.76207,49.22274,55.9,0.21335684,-6.6772614
1,17003,2.4007528,2.84679,35.672405,42.300003,0.26309535,-6.627598
2,17005,3.092907,3.66785,45.957012,54.5,0.21152772,-8.542988
3,17007,3.6075494,3.19002,53.604004,47.4,0.1709296,6.2040024
4,17009,3.1142037,3.84283,46.273457,57.1,0.22082113,-10.826542
5,17011,3.7608776,3.97743,55.882282,59.100002,0.18038271,-3.21772
6,17013,3.1804097,3.60728,47.257202,53.600002,0.20268646,-6.3428
7,17015,3.8917825,4.32739,57.827377,64.3,0.17594019,-6.4726257
8,17017,3.5275166,4.23317,52.41481,62.9,0.20301527,-10.485191
9,17019,3.8786705,4.32739,57.63255,64.3,0.18882063,-6.667454
10,17021,3.7757826,4.41488,56.103752,65.6,0.18679298,-9.496246
11,17023,3.3528712,3.80245,49.81978,56.5,0.20726614,-6.6802216
12,17025,2.961835,2.98139,44.009434,44.3,0.23373988,-0.2905655
13,17027,3.1411068,3.41884,46.673206,50.8,0.21743801,-4.126793
14,17029,3.5646455,4.32739,52.966503,64.3,0.1895828,-11.3335
15,17033,3.1792946,3.54671,47.240635,52.7,0.22025956,-5.459366
16,17035,3.339237,3.64093,49.61719,54.1,0.19792409,-4.482807
17,17037,3.8945348,3.60728,57.868275,53.600002,0.16223969,4.2682724
18,17039,3.9432046,4.43507,58.59145,65.9,0.19205552,-7.308552
19,17041,3.826936,4.28701,56.863834,63.700005,0.18920904,-6.83617
20,17045,3.704097,4.35431,55.03859,64.700005,0.1908473,-9.661415
21,17047,3.1428914,3.74188,46.699726,55.6,0.22558126,-8.900272
22,17049,3.2929232,3.72169,48.929024,55.3,0.20312293,-6.3709755
23,17051,3.1618254,3.60055,46.98106,53.5,0.21225429,-6.51894
24,17053,3.560031,4.19952,52.897934,62.4,0.20638606,-9.502068
25,17055,2.9231236,3.12272,43.43423,46.4,0.23321587,-2.9657707
26,17057,3.3371332,4.04473,49.58593,60.100002,0.21063998,-10.514072
27,17059,3.0800526,3.66785,45.766014,54.5,0.19308062,-8.733986
28,17061,3.447962,4.30047,51.23272,63.899998,0.18243697,-12.667278
29,17063,3.5651252,3.85629,52.97363,57.300003,0.19579461,-4.326374
30,17065,2.8967512,3.45249,43.042366,51.300003,0.22491336,-8.257637
31,17067,3.511273,4.44853,52.173447,66.100006,0.20474476,-13.926559
32,17071,3.6762471,4.14568,54.62477,61.6,0.19467781,-6.9752274
33,17073,3.854541,3.96397,57.274014,58.9,0.18208192,-1.625988
34,17075,3.5461779,3.84283,52.692093,57.1,0.19756345,-4.4079056
35,17077,2.6966312,3.37173,40.068813,50.100002,0.24840638,-10.031189
36,17079,3.2267182,3.67458,47.945293,54.600002,0.20732015,-6.654709
37,17081,2.9497466,2.75257,43.829815,40.899998,0.24203524,2.9298172
38,17083,3.3651235,3.82937,50.001835,56.9,0.19398378,-6.8981667
39,17085,3.5217278,3.59382,52.328793,53.4,0.19654664,-1.071209
40,17087,2.8606036,3.2304,42.505253,48.0,0.25860903,-5.494747
41,17089,3.6728976,3.60728,54.575,53.600002,0.1707509,0.9749985
42,17091,3.4432423,3.51306,51.16259,52.2,0.20523156,-1.0374107
43,17093,3.4592626,3.96397,51.400635,58.9,0.184628,-7.4993668
44,17095,3.8025587,4.28701,56.501614,63.700005,0.19046175,-7.198391
45,17099,3.7558105,4.09184,55.80699,60.8,0.18447797,-4.9930077
46,17101,3.0656288,3.4323,45.55169,51.0,0.21934037,-5.448311
47,17103,3.7534888,3.99762,55.772495,59.4,0.17715213,-3.6275063
48,17105,3.6417742,3.95724,54.112545,58.800003,0.22493479,-4.687458
