,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,3.9534874,3.82264,58.74424,56.8,0.16497268,1.9442406
1,17003,2.9853823,2.58432,44.35932,38.4,0.19257778,5.95932
2,17007,4.288897,4.19279,63.72804,62.3,0.12794654,1.4280396
3,17009,3.8211584,3.4996,56.777985,52.0,0.20506376,4.7779846
4,17011,4.6380663,4.32066,68.91629,64.200005,0.14299913,4.7162857
5,17015,4.5026064,4.6437,66.90351,69.0,0.17696665,-2.096489
6,17017,4.197239,4.19952,62.366108,62.4,0.17972165,-0.033893585
7,17019,4.5480766,4.55621,67.57915,67.700005,0.15827654,-0.12085724
8,17021,4.456518,4.23317,66.2187,62.9,0.14791963,3.318695
9,17025,3.5107462,3.53325,52.16562,52.500004,0.17537661,-0.33438492
10,17027,3.365992,3.64093,50.01474,54.1,0.18476565,-4.0852585
11,17029,4.2458696,4.21298,63.088703,62.6,0.1425898,0.48870468
12,17033,3.585946,3.79572,53.283005,56.4,0.17490721,-3.1169968
13,17035,3.9294157,3.9707,58.386562,59.0,0.16515845,-0.61343765
14,17037,4.4823756,4.54275,66.602905,67.5,0.11831107,-0.8970947
15,17039,4.486883,4.17933,66.66988,62.1,0.1373892,4.5698853
16,17041,4.3951254,4.53602,65.30647,67.4,0.13823166,-2.0935287
17,17045,4.269717,4.3745,63.44305,65.0,0.15331565,-1.5569496
18,17047,3.3769875,3.21021,50.17812,47.7,0.19920495,2.478119
19,17049,3.696207,3.91686,54.921352,58.2,0.15938279,-3.2786484
20,17051,3.5680344,3.74188,53.016857,55.6,0.1585515,-2.5831413
21,17053,4.370773,4.07165,64.94462,60.5,0.15555881,4.444618
22,17055,3.0902774,3.04196,45.917942,45.2,0.16252536,0.7179413
23,17057,4.186861,3.79572,62.211903,56.4,0.17224596,5.811901
24,17059,3.2270765,3.25732,47.95062,48.399998,0.18043885,-0.44937897
25,17061,4.0336065,4.20625,59.93472,62.500004,0.19227643,-2.5652847
26,17063,4.4109144,3.9034,65.54108,58.0,0.1442267,7.5410767
27,17065,3.1160939,3.10253,46.301544,46.100002,0.16970618,0.2015419
28,17067,4.189046,4.28701,62.24437,63.700005,0.18788248,-1.4556351
29,17069,3.1193275,2.67854,46.349594,39.8,0.23105623,6.549595
30,17071,4.2449527,3.88994,63.075077,57.8,0.16825883,5.275078
31,17073,4.55486,4.13222,67.67994,61.399998,0.13180599,6.2799416
32,17075,4.3116283,3.97743,64.0658,59.100002,0.15716043,4.9658012
33,17079,3.6942863,3.91013,54.892815,58.100002,0.15875368,-3.2071877
34,17081,3.2134378,3.25732,47.747963,48.399998,0.19073647,-0.65203476
35,17083,3.9828033,3.72169,59.179844,55.3,0.19432054,3.8798447
36,17085,4.1324196,4.07838,61.402966,60.600002,0.18240868,0.80296326
37,17089,4.208402,4.34085,62.53198,64.5,0.13669737,-1.9680214
38,17091,4.2746973,3.75534,63.517048,55.800003,0.16848436,7.717045
39,17095,4.5131545,4.28028,67.06025,63.600002,0.14840311,3.460247
40,17097,3.4706218,3.53325,51.56942,52.500004,0.22254163,-0.93058395
41,17099,4.512419,4.11876,67.049324,61.2,0.1419044,5.8493233
42,17103,4.539262,4.09184,67.44817,60.8,0.13257553,6.6481743
43,17105,4.379416,4.07838,65.073044,60.600002,0.14835285,4.4730415
44,17107,4.447524,4.48218,66.08505,66.600006,0.16205284,-0.5149536
45,17109,4.4215918,4.20625,65.69973,62.500004,0.16891453,3.199726
46,17111,3.9777298,3.97743,59.104454,59.100002,0.1328173,0.0044517517
47,17113,4.4847665,4.29374,66.638435,63.8,0.14066733,2.8384361
48,17115,4.4489775,4.58986,66.10665,68.2,0.15212725,-2.0933456
49,17117,4.0936,4.26682,60.82615,63.4,0.16057977,-2.5738525
50,17119,3.6642475,3.68131,54.446472,54.7,0.18090989,-0.2535286
51,17121,3.5209658,3.58709,52.31747,53.3,0.16064149,-0.9825287
52,17123,4.6695213,4.26009,69.383675,63.3,0.151038,6.0836754
53,17125,4.013574,3.98416,59.637062,59.2,0.21199925,0.4370613
54,17127,2.9566183,3.19675,43.931923,47.5,0.21506618,-3.568077
55,17129,4.289669,4.28028,63.73951,63.600002,0.16423872,0.1395073
56,17131,4.298054,4.03127,63.864105,59.9,0.16869642,3.9641037
57,17133,3.3417497,3.25732,49.654526,48.399998,0.21187754,1.254528
58,17135,3.987494,4.13895,59.24954,61.5,0.16080104,-2.2504616
59,17137,4.240382,4.06492,63.007164,60.4,0.17348301,2.6071625
60,17139,4.3006854,4.61005,63.903202,68.5,0.15715596,-4.596798
61,17141,4.4744444,4.41488,66.48506,65.6,0.13723326,0.8850632
62,17143,4.3935294,4.038,65.28275,60.000004,0.1648837,5.282749
63,17145,3.1151404,3.2304,46.287376,48.0,0.17410496,-1.7126236
64,17147,4.6201906,4.79849,68.65068,71.3,0.14146017,-2.6493225
65,17149,3.8257103,3.91013,56.845623,58.100002,0.21202807,-1.2543793
66,17151,2.9953547,2.36223,44.5075,35.100002,0.25887096,9.407497
67,17153,3.00285,2.98812,44.618874,44.4,0.17389086,0.21887207
68,17155,4.5292788,4.26009,67.299835,63.3,0.17485298,3.999836
69,17157,3.2086039,3.365,47.676136,50.0,0.18838222,-2.323864
70,17159,3.5090878,3.48614,52.14098,51.8,0.17569686,0.34098053
71,17161,4.284501,3.9034,63.66272,58.0,0.17107956,5.6627197
72,17163,3.514,3.52652,52.213966,52.4,0.19865999,-0.18603516
73,17165,3.011995,3.14964,44.754757,46.800003,0.20467283,-2.0452461
74,17167,4.3991375,4.45526,65.36609,66.2,0.16897993,-0.8339081
75,17169,4.038205,3.82937,60.003048,56.9,0.18495223,3.1030464
76,17171,3.9616156,3.89667,58.865017,57.9,0.20412555,0.9650154
77,17173,3.932283,3.86975,58.42917,57.5,0.17009702,0.9291687
78,17175,4.6662183,4.38796,69.334595,65.2,0.13388243,4.134598
79,17177,4.43776,4.46199,65.93997,66.299995,0.14842154,-0.3600235
80,17179,4.40476,4.3745,65.44963,65.0,0.16762069,0.44963074
81,17181,3.0056036,2.94774,44.659786,43.800003,0.26847368,0.8597832
82,17183,4.339992,4.34758,64.48725,64.6,0.15619619,-0.11274719
83,17185,3.4650934,3.71496,51.48727,55.2,0.19415028,-3.7127304
84,17187,4.46336,4.21298,66.32036,62.6,0.15019637,3.7203598
85,17189,3.3492575,3.28424,49.766087,48.8,0.16066165,0.96608734
86,17191,3.3536553,3.25059,49.831432,48.300003,0.17916724,1.5314293
87,17193,3.233692,3.1631,48.048916,47.0,0.18472426,1.0489159
