,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
84,18059,3.9013147,3.87648,57.969017,57.600002,0.2482982,0.36901474
85,18063,4.0179186,4.19279,59.701614,62.3,0.22240363,-2.5983849
86,18067,4.2479677,4.50237,63.119877,66.9,0.17881759,-3.7801247
87,18069,3.6814137,3.4323,54.70154,51.0,0.18016654,3.701542
88,18071,3.8656077,4.36104,57.43845,64.8,0.24581765,-7.361553
89,18075,3.6723652,3.68804,54.567093,54.8,0.20000082,-0.23290634
90,18079,3.5678067,3.7688,53.013474,56.0,0.2635626,-2.9865265
91,18081,3.919005,4.30047,58.231873,63.899998,0.2752683,-5.668125
92,18083,3.9197893,4.04473,58.243526,60.100002,0.2698015,-1.8564758
93,18085,3.6318316,3.65439,53.96481,54.300003,0.19925012,-0.33519363
94,18087,3.5935235,3.61401,53.395596,53.7,0.21214195,-0.3044052
95,18089,3.853571,3.51306,57.259598,52.2,0.26529917,5.059597
96,18091,3.7471802,3.6342,55.678757,54.000004,0.20772356,1.6787529
97,18095,4.194161,4.63024,62.32037,68.8,0.20133796,-6.4796333
98,18097,3.3091187,3.76207,49.16967,55.9,0.3768067,-6.7303314
99,18099,3.6749616,3.18329,54.60567,47.3,0.18758523,7.3056717
100,18103,3.7751346,3.8361,56.094124,57.000004,0.18837076,-0.90588
101,18105,3.5252893,3.7688,52.381714,56.0,0.30178764,-3.6182861
102,18107,4.4067173,4.41488,65.478714,65.6,0.2024562,-0.121284485
103,18109,4.0889716,4.32739,60.75738,64.3,0.2343057,-3.5426216
104,18111,4.210762,3.94378,62.567043,58.6,0.20725815,3.9670448
105,18113,3.5315816,3.39865,52.475212,50.5,0.19626462,1.9752121
106,18115,3.2437444,2.57759,48.198284,38.3,0.31738624,9.898285
107,18119,3.6302738,3.37173,53.94166,50.100002,0.2778721,3.8416595
108,18123,3.5870318,3.45249,53.299137,51.300003,0.2936552,1.9991341
109,18125,3.5079165,3.78226,52.123573,56.2,0.30182925,-4.0764275
110,18129,3.9771748,4.27355,59.096207,63.5,0.28103742,-4.4037933
111,18131,3.8821177,3.91686,57.68377,58.2,0.2337669,-0.51623154
112,18133,3.986574,4.19279,59.23587,62.3,0.20925559,-3.0641289
113,18135,4.0900216,4.1726,60.77298,61.999996,0.19074908,-1.2270164
114,18137,3.5557635,3.47268,52.834526,51.600002,0.21881896,1.2345238
115,18139,4.2920146,4.49564,63.774364,66.799995,0.21387625,-3.025631
116,18141,3.479813,3.19002,51.70599,47.4,0.20403486,4.3059883
117,18143,3.4595556,3.47268,51.404987,51.600002,0.2726083,-0.19501495
118,18145,4.0872154,4.28701,60.731285,63.700005,0.22858159,-2.9687195
119,18147,3.6405625,3.64766,54.09454,54.2,0.26087716,-0.10546112
120,18151,3.5687492,3.26405,53.027477,48.5,0.1928505,4.5274773
