,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17007,3.9870324,4.23317,59.24268,62.9,0.22402892,-3.657322
1,17009,3.9837737,4.07838,59.19426,60.600002,0.28938583,-1.4057426
2,17011,4.6262674,4.90617,68.740974,72.9,0.22893463,-4.159027
3,17015,4.468038,4.73119,66.38987,70.3,0.21602829,-3.9101334
4,17023,3.5713596,4.26009,53.066265,63.3,0.3125706,-10.233734
5,17025,2.8068533,3.6342,41.70659,54.000004,0.32208738,-12.293415
6,17027,3.0054822,3.7688,44.65798,56.0,0.2602292,-11.342018
7,17029,4.171823,4.79176,61.988457,71.2,0.2445482,-9.21154
8,17031,3.087656,2.88717,45.87899,42.9,0.32712165,2.9789886
9,17033,3.3661413,3.91686,50.01696,58.2,0.3171234,-8.183041
10,17041,4.264962,4.711,63.372395,70.0,0.22588217,-6.6276054
11,17045,4.032163,4.79176,59.913273,71.2,0.27325425,-11.286724
12,17049,3.471003,3.74861,51.575085,55.7,0.2913677,-4.124916
13,17051,3.3802161,3.62074,50.226093,53.8,0.29163113,-3.573906
14,17055,2.4952354,3.16983,37.076305,47.100002,0.37259075,-10.023697
15,17057,4.020852,4.19952,59.7452,62.4,0.28630748,-2.6548004
16,17061,4.1866817,4.74465,62.20924,70.5,0.2919957,-8.29076
17,17067,4.502967,4.32739,66.90887,64.3,0.2740512,2.6088638
18,17075,3.9619408,4.39469,58.86985,65.3,0.24560502,-6.430153
19,17077,2.895176,3.4323,43.01896,51.0,0.33320183,-7.981041
20,17081,2.5044167,3.13618,37.21273,46.6,0.38007176,-9.387268
21,17083,3.9625964,4.28701,58.87959,63.700005,0.31618422,-4.8204155
22,17085,3.6940928,3.6342,54.88994,54.000004,0.26826409,0.88993454
23,17089,4.2226696,4.28701,62.743977,63.700005,0.23613796,-0.956028
24,17095,4.370892,4.54948,64.94639,67.6,0.282224,-2.6536102
25,17097,3.4059138,3.45249,50.607933,51.300003,0.29581553,-0.69207
26,17099,4.5116334,4.5091,67.03764,67.0,0.21840999,0.037643433
27,17101,3.0735788,3.78899,45.66982,56.3,0.309585,-10.63018
28,17105,4.2739596,4.66389,63.50609,69.299995,0.2984357,-5.793907
29,17107,4.5822835,4.9802,68.087425,74.0,0.25111145,-5.912575
30,17113,4.4787827,4.99366,66.54952,74.2,0.25357255,-7.6504745
31,17115,4.618565,5.23594,68.626526,77.8,0.24672267,-9.173477
32,17117,4.079318,4.38123,60.613937,65.1,0.28646147,-4.486061
33,17119,3.5135903,3.62747,52.207882,53.9,0.24104813,-1.6921196
34,17121,2.8714433,3.4996,42.66632,52.0,0.3196831,-9.333679
35,17125,4.3582497,4.5091,64.75854,67.0,0.3129873,-2.2414627
36,17127,2.8887367,3.33135,42.92328,49.5,0.3667989,-6.576721
37,17133,3.063836,3.49287,45.525055,51.9,0.2698555,-6.3749466
38,17135,4.0394893,4.28028,60.02213,63.600002,0.2698929,-3.5778732
39,17137,4.530749,4.89944,67.32168,72.799995,0.28687724,-5.4783173
40,17143,4.3787465,4.65716,65.063095,69.2,0.24597982,-4.136902
41,17145,2.4817934,3.43903,36.876575,51.1,0.3592292,-14.223423
42,17147,4.685555,5.22248,69.62192,77.6,0.244554,-7.9780807
43,17149,4.1819415,4.29374,62.138805,63.8,0.30405766,-1.6611938
44,17151,3.0113153,3.22367,44.744656,47.9,0.37960434,-3.155346
45,17157,2.8145638,3.38519,41.821156,50.3,0.31660804,-8.478844
46,17159,2.9295754,3.72169,43.530098,55.3,0.3041088,-11.769901
47,17163,3.1648293,3.69477,47.025696,54.9,0.25267765,-7.8743057
48,17167,4.622381,5.20229,68.68323,77.3,0.27109277,-8.6167755
49,17177,4.1334124,4.46199,61.417717,66.299995,0.23838949,-4.8822784
50,17179,4.412688,5.04077,65.56743,74.9,0.25282055,-9.332573
51,17183,4.118957,4.75138,61.202927,70.6,0.2475794,-9.397072
52,17185,3.4526057,3.58709,51.30172,53.3,0.33751675,-1.9982796
53,17189,2.6095905,3.71496,38.77549,55.2,0.30962062,-16.424511
54,17191,2.928152,3.33808,43.508945,49.6,0.34239355,-6.091053
55,17193,3.2440124,3.69477,48.202263,54.9,0.33803013,-6.6977386
56,17195,4.4326067,4.71773,65.863396,70.1,0.21647716,-4.236603
57,17197,3.6912398,3.69477,54.847546,54.9,0.24433647,-0.052455902
58,17199,2.6597817,2.8939,39.521275,43.0,0.39457422,-3.4787254
59,17201,3.8759599,4.02454,57.592274,59.8,0.24914774,-2.2077255
60,17203,4.501962,5.00712,66.89394,74.4,0.25443855,-7.5060577
61,18001,3.1282063,4.04473,46.48152,60.100002,0.2680934,-13.618481
62,18003,3.2310271,3.54671,48.00932,52.7,0.26706147,-4.6906815
63,18005,3.1597896,4.34758,46.95081,64.6,0.32931948,-17.649189
64,18007,4.302648,4.8456,63.932365,72.0,0.22268753,-8.067635
65,18011,3.8134446,4.38123,56.66337,65.1,0.25614893,-8.43663
66,18015,4.081655,4.38796,60.648663,65.2,0.2323195,-4.5513344
67,18017,3.751624,3.91013,55.744785,58.100002,0.24556524,-2.355217
68,18019,2.5045056,3.21694,37.21405,47.8,0.45863873,-10.585949
69,18021,3.4439478,3.86302,51.173073,57.4,0.31433418,-6.2269287
70,18023,3.8701725,4.34758,57.50628,64.6,0.2205872,-7.0937195
71,18027,3.3125982,3.76207,49.22137,55.9,0.3182163,-6.678631
72,18029,2.447641,3.29097,36.369106,48.9,0.47870928,-12.530895
73,18031,3.3942256,4.63697,50.434258,68.9,0.30425876,-18.465744
74,18035,3.4264235,4.1053,50.91268,61.0,0.28696197,-10.087318
75,18037,3.0227504,3.85629,44.914566,57.300003,0.36519197,-12.385437
76,18039,3.2190228,3.82264,47.830948,56.8,0.29253134,-8.969051
77,18041,3.2744088,3.95724,48.65392,58.800003,0.3080763,-10.146084
78,18047,2.8433475,3.99089,42.248848,59.3,0.3643344,-17.051151
79,18049,3.685629,3.64766,54.764175,54.2,0.25365505,0.56417465
80,18051,3.3839903,4.03127,50.282173,59.9,0.32530802,-9.617828
81,18053,3.5382566,3.93705,52.574394,58.500004,0.25279346,-5.9256096
82,18055,3.0448084,4.05146,45.242325,60.199997,0.32704547,-14.957672
83,18057,3.4682455,4.39469,51.534107,65.3,0.27926207,-13.765896
84,18059,3.3924303,3.87648,50.40758,57.600002,0.29935306,-7.192421
85,18063,3.5847592,4.19279,53.26537,62.3,0.28245026,-9.03463
86,18067,3.8518257,4.50237,57.233665,66.9,0.23224624,-9.666336
87,18069,3.2524662,3.4323,48.327877,51.0,0.26763433,-2.672123
88,18071,3.0754118,4.36104,45.697056,64.8,0.35749817,-19.102947
89,18075,2.9695096,3.68804,44.12347,54.8,0.29928163,-10.676529
90,18079,2.660742,3.7688,39.53554,56.0,0.42734534,-16.464458
91,18081,3.2289329,4.30047,47.9782,63.899998,0.30877295,-15.921799
92,18083,3.4155087,4.04473,50.750504,60.100002,0.2964487,-9.349499
93,18085,3.4257603,3.65439,50.90283,54.300003,0.26838583,-3.3971748
94,18087,3.36587,3.61401,50.012928,53.7,0.2815213,-3.6870728
95,18089,3.3994327,3.51306,50.51163,52.2,0.2572344,-1.6883698
96,18091,3.4964166,3.6342,51.952698,54.000004,0.24411924,-2.047306
97,18095,3.6612868,4.63024,54.40248,68.8,0.27235076,-14.397522
98,18097,2.9671574,3.76207,44.08852,55.9,0.31931964,-11.811481
99,18099,3.4660792,3.18329,51.501923,47.3,0.25182235,4.2019234
100,18103,3.2811246,3.8361,48.753708,57.000004,0.26071528,-8.246296
101,18105,2.7722096,3.7688,41.191822,56.0,0.41481882,-14.808178
102,18107,4.0380287,4.41488,60.000427,65.6,0.26702794,-5.599571
103,18109,3.3796668,4.32739,50.217934,64.3,0.29390764,-14.082069
104,18111,3.974227,3.94378,59.052406,58.6,0.22090143,0.45240784
105,18113,3.3080883,3.39865,49.154358,50.5,0.2740844,-1.3456421
106,18115,2.8052397,2.57759,41.68261,38.3,0.46217015,3.3826103
107,18119,2.9063263,3.37173,43.18464,50.100002,0.3731999,-6.9153633
108,18123,2.8421283,3.45249,42.230732,51.300003,0.44067794,-9.069271
109,18125,2.7781005,3.78226,41.279354,56.2,0.34985024,-14.920647
110,18129,3.4916563,4.27355,51.881966,63.5,0.3205837,-11.618034
111,18131,3.7002687,3.91686,54.981705,58.2,0.25657398,-3.218296
112,18133,3.5185285,4.19279,52.281254,62.3,0.29875422,-10.018745
113,18135,3.4730234,4.1726,51.605103,61.999996,0.28660667,-10.394894
114,18137,2.5867414,3.47268,38.43598,51.600002,0.41747528,-13.164021
115,18139,3.634161,4.49564,53.99942,66.799995,0.26674312,-12.800575
