,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
150,27171,55.09352,51.7,2.2211812
151,39077,63.760338,51.5,2.4598346
152,19019,62.80528,65.0,2.0380335
153,19125,57.653015,57.8,2.7626162
154,17147,75.871025,74.2,2.1647644
155,31023,59.45552,43.7,3.1068587
156,46057,52.67904,49.9,2.1713808
157,17189,60.65512,50.5,2.5998154
158,26105,51.11936,52.9,2.7996125
159,55023,53.076225,55.4,2.9155092
160,38003,41.038387,33.3,2.0800114
161,20029,44.011673,26.3,4.5965967
162,27117,52.17282,44.3,1.9449264
163,39015,57.63675,50.8,2.6394138
164,18093,56.980236,50.0,3.8286138
165,19063,64.25701,62.8,1.823225
166,17127,54.417343,50.0,3.3171406
167,31179,53.24166,37.2,2.9893134
168,18031,69.67277,68.3,2.5693374
170,17027,63.870983,54.6,2.7776604
171,27061,37.790966,28.0,5.342222
173,19007,50.397102,40.4,3.0245063
174,17071,71.97325,67.2,2.4823492
175,55123,54.971535,53.2,2.489183
176,29187,52.79261,45.9,4.51036
177,20193,37.63465,40.2,6.7125053
178,39115,51.753944,52.0,4.7795043
180,19163,70.804726,69.1,2.2177207
181,17001,65.626076,61.2,2.6589525
182,31167,53.825645,36.1,3.1181688
183,29133,56.863197,58.1,2.7561827
184,38083,35.84693,29.8,2.3747044
185,18131,61.333412,51.0,2.4686518
186,39159,58.201385,52.5,2.5694897
188,19143,62.721397,56.3,1.8666527
189,31097,46.615997,32.3,3.6166213
190,55067,42.871864,46.4,4.5107856
191,20047,53.35705,36.0,6.252003
192,27161,64.682686,60.5,1.7416757
193,18175,60.446747,54.7,3.192712
194,39059,53.374504,47.6,4.034007
195,19171,64.216866,61.4,2.2593257
196,31077,62.465702,51.8,3.9003625
197,17171,68.35448,72.1,2.7006783
198,29077,39.450813,28.4,4.733075
199,26129,46.86581,36.3,3.075227
200,55047,54.13906,54.2,2.4242668
201,27099,62.853832,60.8,1.859113
202,38027,37.570503,34.6,2.5298245
203,27141,47.339424,47.2,2.591433
204,18075,62.76719,55.3,2.49252
205,39103,57.984913,50.6,2.8782482
206,19087,63.503372,60.3,2.4574397
207,17117,71.39042,65.1,2.554564
208,29015,56.220524,47.1,3.9910553
209,46125,47.623894,36.0,2.7879322
210,26067,60.978416,55.2,2.4439895
211,55075,47.522804,38.8,3.6420884
212,27079,60.788048,61.3,1.9398382
213,38071,38.934227,33.7,2.2168498
214,27169,59.95124,62.2,2.2280555
215,39033,67.00652,63.8,2.2778547
217,18055,57.14797,52.3,2.9370184
218,19017,64.597374,66.7,2.0467176
219,19115,65.535835,61.4,2.494853
220,17145,50.59153,43.4,2.766122
221,31021,60.350624,43.3,2.6755707
222,26111,54.52246,50.4,2.4903872
223,55021,58.553288,60.6,2.3654199
224,38001,22.294436,18.4,4.9431386
225,20019,19.616253,12.2,4.0053835
226,27107,45.861183,42.6,1.8346592
227,39013,48.639053,45.6,4.2840815
229,18083,61.7409,57.4,2.9009216
230,19061,64.072235,68.6,2.1876037
231,17125,69.15011,62.6,2.6094918
232,31177,55.896706,41.5,3.1910975
233,26011,48.90119,39.5,2.6207063
234,20191,20.453491,12.5,4.090342
235,27023,57.406597,48.1,1.8429773
236,18029,56.43983,47.4,3.470618
237,17025,57.7988,57.3,2.9691806
238,27051,49.849678,43.5,1.8000911
240,19005,60.47932,61.2,2.3049064
241,31121,63.52176,51.3,3.6416657
242,55121,52.242447,49.3,2.4294813
243,29185,49.2713,31.9,4.3297377
244,39113,57.09474,51.1,2.8431046
245,19161,66.03507,61.3,2.221319
246,17007,66.50958,62.2,2.0476182
247,31059,67.09502,64.2,2.9053617
248,38081,45.354263,42.0,1.813278
249,20099,18.613691,9.3,3.7693229
250,18129,61.502106,60.7,3.100185
251,39157,57.445145,48.6,3.1366944
252,19141,64.08752,59.4,2.0375595
253,46107,46.59565,39.8,3.862943
254,29167,39.85514,31.6,4.614167
255,55065,63.834053,67.6,2.2452664
256,20045,46.218987,29.8,3.9026692
257,20143,38.61316,20.5,5.1917353
258,27167,45.963036,37.2,1.7447112
260,18173,56.74011,57.2,3.230941
261,39057,63.455765,55.4,2.5819871
262,19169,62.47532,60.0,2.1451292
263,17169,66.53385,63.1,2.7638562
264,46087,47.686348,34.4,2.67193
265,55045,61.470337,64.8,2.3629618
