,FIPS,y_test_pred,y_test,y_test_pred_model_uncertainty,y_test_pred_cv,pred_error
98,18097,14.48748,-1.0,1.7436265,0.12035402,15.48748
99,18099,20.258438,-1.0,1.6902492,0.08343433,21.258438
100,18103,18.817905,-1.0,1.6864427,0.08961905,19.817905
101,18105,13.919202,-1.0,1.7878653,0.12844597,14.919202
102,18107,23.634888,-1.0,1.6114008,0.06817891,24.634888
103,18109,17.973652,-1.0,1.5869743,0.08829448,18.973652
104,18111,23.966595,-1.0,1.9651486,0.081995316,24.966595
105,18113,15.693434,-1.0,1.5486591,0.09868198,16.693434
106,18115,11.380996,-1.0,1.7020752,0.14955416,12.380996
107,18119,15.544428,-1.0,1.6804107,0.10810374,16.544428
108,18123,12.263177,-1.0,1.7170357,0.14001557,13.263177
109,18125,14.681722,-1.0,1.5183803,0.10341977,15.681722
110,18129,18.100023,-1.0,1.5941929,0.08807684,19.100023
111,18131,22.874062,-1.0,2.1032436,0.091948844,23.874062
112,18133,18.462166,-1.0,1.546807,0.08378253,19.462166
113,18135,15.94453,-1.0,1.5083815,0.09460182,16.94453
114,18137,10.664745,-1.0,1.5622232,0.1464848,11.664745
115,18139,18.444294,-1.0,1.5828121,0.08581581,19.444294
116,18141,18.099985,-1.0,1.687091,0.09320953,19.099985
117,18143,12.29805,-1.0,1.5869355,0.1290396,13.29805
118,18145,16.10985,-1.0,1.5197495,0.094336666,17.10985
119,18147,15.193116,-1.0,1.4393203,0.094735034,16.193115
120,18151,14.800391,-1.0,1.6058935,0.108503446,15.800391
121,18153,16.73247,-1.0,1.5903405,0.09504517,17.73247
122,18155,13.146245,-1.0,1.6987112,0.12921645,14.146245
123,18157,25.017067,-1.0,1.7392533,0.06952267,26.017067
124,18159,19.509272,-1.0,1.5975945,0.08188899,20.509272
125,18161,18.671474,-1.0,1.6134173,0.08641081,19.671474
126,18163,15.09715,-1.0,1.4788315,0.097954355,16.097149
127,18167,15.983938,-1.0,1.6132135,0.10092717,16.983938
128,18169,18.41898,-1.0,1.7257826,0.09369589,19.41898
129,18173,14.567614,-1.0,1.4661511,0.100644566,15.567614
130,18175,14.719363,-1.0,1.5980486,0.10856778,15.719363
131,18177,15.7331915,-1.0,1.6070559,0.1021443,16.733192
132,18179,18.734465,-1.0,1.6742735,0.089368634,19.734465
133,18183,16.58118,-1.0,1.6622412,0.100248665,17.58118
134,19001,21.758598,-1.0,1.9837283,0.09116986,22.758598
135,19005,20.960182,-1.0,2.037189,0.097193286,21.960182
136,19009,25.164614,-1.0,2.2912211,0.09104933,26.164614
137,19013,25.060366,-1.0,1.9315946,0.07707767,26.060366
138,19015,27.962242,-1.0,2.1046817,0.0752687,28.962242
139,19017,24.83829,-1.0,1.9163646,0.077153645,25.83829
140,19019,25.548035,-1.0,1.9550582,0.0765248,26.548035
141,19023,25.551922,-1.0,1.9921411,0.07796443,26.551922
142,19025,26.448141,-1.0,2.1356332,0.080747955,27.448141
143,19027,27.426773,-1.0,2.456927,0.08958134,28.426773
144,19029,23.821785,-1.0,2.1797056,0.09150051,24.821785
145,19031,26.070799,-1.0,1.9102793,0.07327276,27.070799
146,19035,24.954412,-1.0,2.3325765,0.09347351,25.954412
147,19037,22.55471,-1.0,1.8965943,0.08408861,23.55471
148,19041,23.991253,-1.0,2.278613,0.09497683,24.991253
149,19045,26.056787,-1.0,1.9511198,0.07487952,27.056787
150,19047,25.610903,-1.0,2.4309838,0.094919875,26.610903
151,19049,26.387444,-1.0,2.1430244,0.081213795,27.387444
152,19051,22.826433,-1.0,2.0273402,0.08881546,23.826433
153,19053,21.694696,-1.0,2.0884814,0.09626691,22.694696
154,19055,26.278425,-1.0,1.9798133,0.075339876,27.278425
155,19059,23.394226,-1.0,2.4317584,0.10394695,24.394226
156,19065,22.449688,-1.0,1.807418,0.080509715,23.449688
157,19067,23.126198,-1.0,1.9548845,0.084531166,24.126198
158,19069,25.883865,-1.0,1.9167324,0.074051246,26.883865
159,19073,26.871464,-1.0,2.2495067,0.08371359,27.871464
160,19079,26.598995,-1.0,1.9113061,0.07185633,27.598995
161,19081,23.070532,-1.0,1.8165365,0.07873839,24.070532
162,19087,25.946142,-1.0,1.9599731,0.07554006,26.946142
163,19089,22.079952,-1.0,1.7937541,0.08123904,23.079952
164,19091,25.998667,-1.0,2.0207026,0.07772332,26.998667
165,19093,26.513071,-1.0,2.3913507,0.090195164,27.513071
166,19095,25.278625,-1.0,1.934528,0.076528214,26.278625
167,19097,24.622753,-1.0,1.9720892,0.08009215,25.622753
168,19101,24.538528,-1.0,2.0656548,0.08418006,25.538528
169,19103,23.471073,-1.0,1.8283049,0.077896096,24.471073
170,19105,25.010427,-1.0,1.9447023,0.07775566,26.010427
171,19107,27.194212,-1.0,2.1160936,0.07781412,28.194212
172,19111,25.030119,-1.0,2.084239,0.08326924,26.030119
173,19115,26.539759,-1.0,2.0368338,0.07674651,27.539759
174,19123,29.221935,-1.0,2.1930544,0.07504823,30.221935
175,19125,25.717422,-1.0,2.1268973,0.082702585,26.717422
176,19129,24.64377,-1.0,3.1797838,0.12902993,25.64377
177,19131,22.172392,-1.0,1.8555018,0.083685234,23.172392
178,19133,25.933872,-1.0,3.5160058,0.13557582,26.933872
179,19135,23.292559,-1.0,2.1496754,0.09229022,24.292559
180,19137,24.753292,-1.0,2.6948726,0.10886926,25.753292
181,19139,25.838308,-1.0,1.9733936,0.07637472,26.838308
182,19141,26.275951,-1.0,2.4953597,0.09496743,27.275951
183,19145,24.999973,-1.0,2.6548069,0.10619239,25.999973
184,19147,25.191574,-1.0,2.143973,0.08510675,26.191574
185,19151,26.729937,-1.0,2.2116232,0.08273956,27.729937
186,19153,25.447285,-1.0,2.067109,0.08123103,26.447285
187,19155,24.167307,-1.0,2.7433443,0.11351469,25.167307
188,19157,27.35864,-1.0,1.9960582,0.07295897,28.35864
189,19161,25.831823,-1.0,2.2051835,0.085366935,26.831823
190,19163,26.530777,-1.0,1.9851924,0.07482602,27.530777
191,19165,25.200619,-1.0,2.358498,0.093588896,26.200619
192,19169,27.11353,-1.0,2.023487,0.07463016,28.11353
193,19173,23.580875,-1.0,2.2308373,0.09460367,24.580875
194,19177,23.4178,-1.0,2.0327642,0.08680423,24.4178
195,19185,24.554129,-1.0,2.1544044,0.087741025,25.554129
196,19187,27.09373,-1.0,2.0464108,0.07553079,28.09373
197,19189,24.04025,-1.0,1.844404,0.0767215,25.04025
198,19191,21.93053,-1.0,1.9056222,0.08689357,22.93053
199,19193,24.984766,-1.0,2.9415648,0.117734335,25.984766
200,19195,21.293503,-1.0,1.7986271,0.08446836,22.293503
201,19197,24.806715,-1.0,1.8389916,0.074132815,25.806715
202,20001,11.5904875,-1.0,1.7630382,0.15211079,12.5904875
203,20003,13.76558,-1.0,1.7470092,0.1269114,14.76558
204,20005,22.405659,-1.0,2.2588005,0.10081384,23.405659
205,20009,16.122454,-1.0,2.8298347,0.17552134,17.122454
206,20011,11.837124,-1.0,1.7006755,0.14367303,12.837124
207,20013,26.984793,-1.0,2.7231746,0.10091516,27.984793
208,20015,16.551056,-1.0,2.0455909,0.12359277,17.551056
209,20017,14.781745,-1.0,1.8164952,0.12288774,15.781745
210,20027,15.703659,-1.0,2.4086125,0.15337907,16.70366
211,20029,15.177976,-1.0,2.3865542,0.15723798,16.177975
212,20031,13.691901,-1.0,1.738224,0.12695271,14.691901
213,20035,12.595006,-1.0,1.7473533,0.13873382,13.595006
214,20041,12.008456,-1.0,1.8453919,0.15367436,13.008456
215,20045,15.216817,-1.0,1.8554189,0.121932134,16.216816
216,20047,25.765778,-1.0,5.596751,0.21721646,26.765778
217,20049,12.865945,-1.0,1.7775795,0.1381616,13.865945
218,20059,12.052427,-1.0,1.6312644,0.13534738,13.052427
219,20061,18.445463,-1.0,2.4270449,0.1315795,19.445463
220,20073,12.289281,-1.0,1.6222725,0.1320071,13.289281
221,20085,19.602474,-1.0,2.3238704,0.11854985,20.602474
222,20091,12.781913,-1.0,1.684058,0.1317532,13.781913
223,20095,14.262383,-1.0,2.5003695,0.17531218,15.262383
224,20099,9.981662,-1.0,1.6818182,0.16849081,10.981662
225,20103,17.640764,-1.0,1.8185054,0.103085406,18.640764
226,20105,12.649781,-1.0,2.2875347,0.18083592,13.649781
227,20111,12.869925,-1.0,1.7034662,0.13236023,13.869925
228,20113,13.112767,-1.0,2.0839658,0.15892647,14.112767
229,20115,13.083076,-1.0,1.9792783,0.1512854,14.083076
230,20121,12.596245,-1.0,1.59899,0.1269418,13.596245
231,20123,13.693544,-1.0,2.3586655,0.17224653,14.693544
232,20125,11.057683,-1.0,1.7082605,0.1544863,12.057683
233,20127,13.276956,-1.0,1.8498472,0.13932766,14.276956
234,20131,22.239967,-1.0,2.5657468,0.11536648,23.239967
235,20133,10.705001,-1.0,1.6377372,0.15298805,11.705001
236,20139,13.544944,-1.0,1.8153179,0.1340218,14.544944
237,20143,12.013986,-1.0,2.1696498,0.18059367,13.013986
238,20151,22.807865,-1.0,5.007215,0.21953896,23.807865
