,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,5.819635,-1.0,86.47303,-14.858841,1.0500176,101.33187
1,17003,4.721276,-1.0,70.15269,-14.858841,1.1164973,85.01153
2,17005,5.8091187,-1.0,86.31677,-14.858841,1.1094542,101.17561
3,17007,6.317732,-1.0,93.874176,-14.858841,1.012155,108.73302
4,17009,5.9713845,-1.0,88.72785,-14.858841,1.0608953,103.58669
5,17011,6.686732,-1.0,99.357086,-14.858841,1.046879,114.21593
6,17013,5.3577886,-1.0,79.61053,-14.858841,1.1198454,94.46937
7,17015,6.649895,-1.0,98.80974,-14.858841,1.0075499,113.66858
8,17017,6.4462266,-1.0,95.783455,-14.858841,1.0755178,110.642296
9,17019,6.719914,-1.0,99.850136,-14.858841,1.0442711,114.70898
10,17021,6.614972,-1.0,98.29082,-14.858841,1.0435351,113.14966
11,17023,6.1975827,-1.0,92.0889,-14.858841,1.0390586,106.94774
12,17025,5.103523,-1.0,75.832436,-14.858841,1.0665174,90.69128
13,17027,5.502396,-1.0,81.75923,-14.858841,1.1602216,96.61807
14,17029,6.702074,-1.0,99.58505,-14.858841,1.0354049,114.44389
15,17031,6.1167946,-1.0,90.88848,-14.858841,1.1471223,105.74732
16,17033,5.850838,-1.0,86.936676,-14.858841,1.0675337,101.79552
17,17035,6.4219756,-1.0,95.42312,-14.858841,1.0801868,110.28196
18,17037,6.3568554,-1.0,94.455505,-14.858841,1.0156331,109.31435
19,17039,6.6629686,-1.0,99.00399,-14.858841,1.0528662,113.86283
20,17041,6.6964903,-1.0,99.50208,-14.858841,1.031681,114.36092
21,17043,6.273362,-1.0,93.21489,-14.858841,1.0443748,108.07373
22,17045,6.4746766,-1.0,96.20619,-14.858841,1.0145849,111.06503
23,17047,5.221538,-1.0,77.586006,-14.858841,1.1333342,92.44485
24,17049,6.023516,-1.0,89.50247,-14.858841,1.1048304,104.36131
25,17051,5.577748,-1.0,82.87887,-14.858841,1.09508,97.73771
26,17053,6.5325503,-1.0,97.06613,-14.858841,1.0608317,111.92497
27,17055,5.167216,-1.0,76.77884,-14.858841,1.124229,91.63768
28,17057,6.299541,-1.0,93.60388,-14.858841,1.0343376,108.46272
29,17059,5.3135066,-1.0,78.95255,-14.858841,1.165304,93.81139
30,17061,5.933368,-1.0,88.16298,-14.858841,1.0622708,103.02182
31,17063,6.572822,-1.0,97.66452,-14.858841,1.0774764,112.52336
32,17065,5.386737,-1.0,80.040665,-14.858841,1.1297256,94.899506
33,17067,6.4495535,-1.0,95.83289,-14.858841,1.0071654,110.691734
34,17069,5.4323535,-1.0,80.718475,-14.858841,1.1507885,95.57732
35,17071,6.4723067,-1.0,96.170975,-14.858841,1.04141,111.029816
36,17073,6.5294404,-1.0,97.01992,-14.858841,1.0422996,111.87876
37,17075,6.4496174,-1.0,95.83384,-14.858841,1.0632205,110.69268
38,17077,4.52193,-1.0,67.19064,-14.858841,1.1478399,82.049484
39,17079,5.4534097,-1.0,81.03135,-14.858841,1.074201,95.89019
40,17081,5.008555,-1.0,74.421326,-14.858841,1.1188457,89.28017
41,17083,5.8815265,-1.0,87.39267,-14.858841,1.0672612,102.25151
42,17085,6.3738933,-1.0,94.708664,-14.858841,0.9964588,109.567505
43,17087,4.9360933,-1.0,73.34463,-14.858841,1.140577,88.20347
44,17089,6.4437304,-1.0,95.74637,-14.858841,1.0024959,110.60521
45,17091,6.556294,-1.0,97.41893,-14.858841,1.1049931,112.27777
46,17093,6.4796314,-1.0,96.279816,-14.858841,1.0327736,111.13866
47,17095,6.5563407,-1.0,97.419624,-14.858841,1.0341754,112.278465
48,17097,6.0241947,-1.0,89.51255,-14.858841,1.0367736,104.37139
49,17099,6.4655976,-1.0,96.07129,-14.858841,1.0535717,110.93013
50,17101,5.57262,-1.0,82.80267,-14.858841,1.1177998,97.661514
51,17103,6.4612865,-1.0,96.00723,-14.858841,1.0421636,110.86607
52,17105,6.693046,-1.0,99.45091,-14.858841,1.0919662,114.30975
53,17107,6.7446847,-1.0,100.2182,-14.858841,1.0501921,115.07704
54,17109,6.630937,-1.0,98.52804,-14.858841,1.0204848,113.38688
55,17111,6.033207,-1.0,89.64646,-14.858841,0.9974422,104.5053
56,17113,6.811765,-1.0,101.214935,-14.858841,1.0364947,116.07378
57,17115,6.7041225,-1.0,99.61549,-14.858841,1.0597122,114.474335
58,17117,6.0423617,-1.0,89.78249,-14.858841,1.054044,104.641335
59,17119,5.787667,-1.0,85.998024,-14.858841,1.0921116,100.856865
60,17121,5.2756715,-1.0,78.390366,-14.858841,1.0717747,93.24921
61,17123,6.608731,-1.0,98.19808,-14.858841,1.0878804,113.05692
62,17125,6.613606,-1.0,98.27052,-14.858841,1.0845909,113.129364
63,17127,4.9430037,-1.0,73.4473,-14.858841,1.1133149,88.306145
64,17129,6.683437,-1.0,99.30813,-14.858841,1.0532739,114.16697
65,17131,6.4629054,-1.0,96.03129,-14.858841,1.0419691,110.89013
66,17133,4.6760774,-1.0,69.481094,-14.858841,1.1637545,84.339935
67,17135,6.1835694,-1.0,91.88068,-14.858841,1.048914,106.73952
68,17137,6.4477715,-1.0,95.80641,-14.858841,1.0468888,110.66525
69,17139,6.6222296,-1.0,98.39866,-14.858841,1.0334308,113.2575
70,17141,6.380876,-1.0,94.81242,-14.858841,1.0197868,109.671265
71,17143,6.656389,-1.0,98.90623,-14.858841,1.0852208,113.76507
72,17145,4.6914487,-1.0,69.70949,-14.858841,1.0803063,84.56833
73,17147,6.8161635,-1.0,101.28029,-14.858841,1.0550218,116.13913
74,17149,5.9030466,-1.0,87.71243,-14.858841,1.0479486,102.57127
75,17151,4.928571,-1.0,73.23286,-14.858841,1.1614583,88.0917
76,17153,4.8497524,-1.0,72.0617,-14.858841,1.0789973,86.92054
77,17155,6.492352,-1.0,96.46883,-14.858841,1.0740566,111.32767
78,17157,4.5067377,-1.0,66.9649,-14.858841,1.0618553,81.82374
79,17159,5.077227,-1.0,75.44171,-14.858841,1.0778302,90.30055
80,17161,6.540409,-1.0,97.1829,-14.858841,1.0571676,112.04174
81,17163,5.26657,-1.0,78.25513,-14.858841,1.1120292,93.11397
82,17165,5.180152,-1.0,76.971054,-14.858841,1.1490446,91.829895
83,17167,6.6957855,-1.0,99.491615,-14.858841,1.0662159,114.35046
84,17169,5.995207,-1.0,89.081825,-14.858841,1.0560372,103.94067
85,17171,6.1654058,-1.0,91.61079,-14.858841,1.0276315,106.46963
86,17173,6.347588,-1.0,94.3178,-14.858841,1.0432694,109.17664
87,17175,6.758464,-1.0,100.42294,-14.858841,1.0707641,115.281784
88,17177,6.54622,-1.0,97.26924,-14.858841,0.9925883,112.12808
89,17179,6.745728,-1.0,100.2337,-14.858841,1.0731177,115.092545
90,17181,4.586243,-1.0,68.146255,-14.858841,1.1446489,83.0051
91,17183,6.462701,-1.0,96.028244,-14.858841,1.0219458,110.887085
92,17185,5.443207,-1.0,80.879745,-14.858841,1.0861347,95.73859
93,17187,6.5064607,-1.0,96.67847,-14.858841,1.0141441,111.53731
94,17189,5.2204146,-1.0,77.56931,-14.858841,1.1372453,92.428154
95,17191,5.155369,-1.0,76.602806,-14.858841,1.1124154,91.46165
