,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
442,27095,11.543415,10.20941,171.52177,151.7,0.5900278,19.821777
443,27097,11.5391035,11.83807,171.4577,175.9,0.68400127,-4.4422913
444,27099,15.094933,14.6714,224.2932,218.0,0.3644907,6.2931976
445,27101,13.864717,12.91487,206.01363,191.90001,0.36022457,14.113617
446,27103,15.286277,13.96475,227.13635,207.5,0.28674328,19.636353
447,27105,14.292294,13.58114,212.36691,201.8,0.3408272,10.56691
448,27109,14.727689,13.91764,218.8364,206.8,0.42237172,12.036392
449,27111,11.974682,11.09104,177.9299,164.8,0.57231766,13.129898
450,27115,11.007248,10.84876,163.55495,161.2,0.6558474,2.35495
451,27117,12.742731,11.21891,189.34222,166.70001,0.4208318,22.642212
452,27119,10.843657,10.78819,161.12418,160.3,0.45279855,0.824173
453,27121,12.828644,12.16784,190.61877,180.8,0.43388617,9.818771
454,27125,10.393612,11.13142,154.43703,165.40001,0.4961179,-10.962982
455,27127,14.337907,12.76008,213.04468,189.6,0.31127122,23.444672
456,27129,14.693278,14.32144,218.32509,212.8,0.27698246,5.5250854
457,27131,14.686407,14.57045,218.22299,216.5,0.33920333,1.722992
458,27133,14.172927,13.24464,210.59328,196.8,0.3935909,13.793274
459,27139,14.019548,12.55145,208.31424,186.5,0.39960015,21.81424
460,27141,11.449853,11.94575,170.13155,177.5,0.697218,-7.368454
461,27143,15.145752,13.89072,225.04832,206.40001,0.28441015,18.648315
462,27145,12.72533,12.47742,189.08366,185.4,0.52515835,3.68367
463,27147,15.211969,14.62429,226.03224,217.3,0.3244105,8.732239
464,27149,12.763201,12.06016,189.64638,179.2,0.35417885,10.446381
465,27151,13.814664,13.02928,205.2699,193.59999,0.35902494,11.669907
466,27153,11.612692,11.09777,172.55115,164.9,0.66834754,7.6511536
467,27155,11.711139,11.19199,174.01395,166.3,0.37883613,7.7139435
468,27157,14.825149,13.68882,220.28453,203.4,0.39009517,16.884537
469,27159,10.742139,10.7007,159.61574,159.0,0.8564252,0.6157379
470,27161,15.537587,14.47623,230.87054,215.09999,0.28666037,15.770554
471,27163,12.743938,11.56214,189.36015,171.8,0.59078795,17.56015
472,27165,15.10597,14.30125,224.45721,212.50002,0.2953206,11.957199
473,27167,11.486147,10.53245,170.67084,156.5,0.39957553,14.170837
474,27169,14.301578,13.83688,212.50487,205.59999,0.4208598,6.9048767
475,27171,13.246704,12.71297,196.83067,188.9,0.45958647,7.9306793
476,27173,14.042831,12.8543,208.6602,191.0,0.32672426,17.660202
477,29001,12.200014,11.31313,181.27808,168.1,0.5673727,13.17807
478,29005,14.426365,13.33213,214.35907,198.1,0.5160599,16.259064
479,29007,12.808099,11.18526,190.3135,166.2,0.53179145,24.11351
480,29011,8.112213,5.04077,120.538086,74.9,0.92239875,45.638084
481,29013,11.63278,8.2779,172.84962,123.0,0.73159283,49.849625
482,29015,12.163279,10.32382,180.73222,153.40001,0.7228569,27.332214
483,29021,13.596184,12.2486,202.02353,182.0,0.5784067,20.02353
484,29023,12.723585,11.85826,189.05772,176.2,0.71382916,12.857727
485,29025,11.654221,10.94298,173.16821,162.6,0.61685926,10.568207
486,29027,12.014923,10.59975,178.52783,157.5,0.6662255,21.027832
487,29031,12.479141,10.98336,185.42558,163.20001,0.7328115,22.22557
488,29033,13.332174,12.01305,198.10066,178.5,0.57633936,19.600662
489,29037,11.002287,7.52414,163.48123,111.8,0.7418484,51.68123
490,29049,12.86921,12.8543,191.22156,191.0,0.57080585,0.22155762
491,29051,10.610035,10.5661,157.65282,157.0,0.87742794,0.6528168
492,29059,6.271812,7.09342,93.19186,105.4,1.1118082,-12.208145
493,29063,12.113551,10.41804,179.99333,154.8,0.5813485,25.193329
494,29065,7.0627036,5.2494,104.94359,78.0,1.0569019,26.943588
495,29069,12.278446,12.21495,182.44348,181.5,0.83296096,0.94348145
496,29071,11.40225,7.6722,169.42422,114.00001,0.8690448,55.424217
497,29073,10.098171,8.69516,150.04712,129.2,0.9111347,20.847122
498,29075,12.164816,11.25929,180.75507,167.3,0.5436039,13.455063
499,29079,12.912182,11.96594,191.86006,177.8,0.5089622,14.060059
500,29083,11.421085,8.62113,169.70409,128.1,0.77979153,41.60408
501,29089,12.368766,9.09223,183.78552,135.1,0.6264629,48.685516
502,29095,12.543405,9.12588,186.38046,135.6,0.75702775,50.780457
503,29097,7.166669,6.08392,106.488396,90.4,0.9155119,16.088394
504,29099,10.93206,9.81907,162.43774,145.9,0.96006334,16.53775
505,29101,11.284347,7.88083,167.67232,117.1,0.7539955,50.57232
506,29103,12.545322,11.52849,186.40895,171.3,0.54360396,15.108948
