,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,5.2822213,-1.0,78.487686,-14.858841,0.8435986,93.34653
1,17003,4.2421155,-1.0,63.03292,-14.858841,0.83201104,77.89176
2,17005,5.5598245,-1.0,82.61255,-14.858841,0.9191885,97.47139
3,17007,5.612991,-1.0,83.40254,-14.858841,0.858056,98.26138
4,17009,5.4662714,-1.0,81.22246,-14.858841,0.8535126,96.0813
5,17011,5.8318543,-1.0,86.654594,-14.858841,0.81647205,101.513435
6,17013,4.723725,-1.0,70.18908,-14.858841,0.86513984,85.04792
7,17015,5.832053,-1.0,86.657555,-14.858841,0.7824604,101.516396
8,17017,5.8009787,-1.0,86.19582,-14.858841,0.8727952,101.054665
9,17019,5.913242,-1.0,87.86392,-14.858841,0.84955305,102.72276
10,17021,5.833936,-1.0,86.68553,-14.858841,0.8168961,101.54437
11,17023,5.872077,-1.0,87.25226,-14.858841,0.8929528,102.1111
12,17025,4.849637,-1.0,72.05999,-14.858841,0.8869671,86.91883
13,17027,5.221969,-1.0,77.59241,-14.858841,0.9726771,92.45125
14,17029,6.0790477,-1.0,90.32761,-14.858841,0.8493034,105.18645
15,17031,5.5343003,-1.0,82.23329,-14.858841,1.1455641,97.09213
16,17033,5.500101,-1.0,81.72513,-14.858841,0.9007609,96.58397
17,17035,6.0605984,-1.0,90.05347,-14.858841,0.90162915,104.91231
18,17037,5.558199,-1.0,82.588394,-14.858841,0.8284426,97.447235
19,17039,5.8978558,-1.0,87.6353,-14.858841,0.8538746,102.49414
20,17041,5.895067,-1.0,87.593864,-14.858841,0.8316917,102.452705
21,17043,5.447491,-1.0,80.943405,-14.858841,1.0557586,95.802246
22,17045,5.788405,-1.0,86.00899,-14.858841,0.84072274,100.86783
23,17047,4.972466,-1.0,73.885086,-14.858841,0.94849455,88.74393
24,17049,5.702741,-1.0,84.73612,-14.858841,0.9166176,99.59496
25,17051,5.242064,-1.0,77.891,-14.858841,0.8985,92.74984
26,17053,5.9719563,-1.0,88.73635,-14.858841,0.90988344,103.59519
27,17055,4.9070272,-1.0,72.912735,-14.858841,0.9023292,87.771576
28,17057,5.689218,-1.0,84.53519,-14.858841,0.8460643,99.39403
29,17059,5.0065684,-1.0,74.39181,-14.858841,0.9476892,89.25065
30,17061,5.172403,-1.0,76.85591,-14.858841,0.83165157,91.71475
31,17063,5.796849,-1.0,86.13445,-14.858841,0.94841963,100.99329
32,17065,5.114454,-1.0,75.99486,-14.858841,0.9290791,90.8537
33,17067,5.785444,-1.0,85.96499,-14.858841,0.83144337,100.82383
34,17069,4.9607625,-1.0,73.71118,-14.858841,0.8711884,88.57002
35,17071,5.735704,-1.0,85.225914,-14.858841,0.8234392,100.084755
36,17073,5.747312,-1.0,85.3984,-14.858841,0.81645536,100.25724
37,17075,5.9257956,-1.0,88.05045,-14.858841,0.9082805,102.909294
38,17077,4.103996,-1.0,60.98062,-14.858841,0.8840114,75.83946
39,17079,5.212285,-1.0,77.44852,-14.858841,0.8980437,92.30736
40,17081,4.632414,-1.0,68.8323,-14.858841,0.9162151,83.69114
41,17083,5.1049275,-1.0,75.85331,-14.858841,0.83607066,90.71215
42,17085,5.7019334,-1.0,84.72412,-14.858841,0.82044023,99.58296
43,17087,4.4445605,-1.0,66.041016,-14.858841,0.87039787,80.89986
44,17089,5.620806,-1.0,83.51867,-14.858841,0.8639257,98.37751
45,17091,5.9598107,-1.0,88.55588,-14.858841,1.0076172,103.41472
46,17093,5.652644,-1.0,83.991745,-14.858841,0.8845661,98.850586
47,17095,5.844712,-1.0,86.84564,-14.858841,0.8300062,101.70448
48,17097,5.2509303,-1.0,78.02274,-14.858841,0.9439143,92.881584
49,17099,5.7016273,-1.0,84.719574,-14.858841,0.86632687,99.578415
50,17101,5.225285,-1.0,77.64168,-14.858841,0.91322064,92.50052
51,17103,5.6144085,-1.0,83.42361,-14.858841,0.8194971,98.28245
52,17105,6.0004935,-1.0,89.16038,-14.858841,0.9441174,104.01922
53,17107,5.969766,-1.0,88.703804,-14.858841,0.8528268,103.562645
54,17109,5.8976054,-1.0,87.631584,-14.858841,0.8301523,102.490425
55,17111,5.4004135,-1.0,80.24389,-14.858841,0.83711517,95.10273
56,17113,6.0816455,-1.0,90.3662,-14.858841,0.87541896,105.225044
57,17115,5.960716,-1.0,88.56933,-14.858841,0.83515203,103.42817
58,17117,5.51215,-1.0,81.90416,-14.858841,0.83205026,96.763
59,17119,5.484145,-1.0,81.488045,-14.858841,0.907462,96.346886
60,17121,4.8891025,-1.0,72.6464,-14.858841,0.8965852,87.50524
61,17123,5.9466496,-1.0,88.36032,-14.858841,0.836459,103.21916
62,17125,5.829841,-1.0,86.62469,-14.858841,0.9324458,101.48353
63,17127,4.6175647,-1.0,68.611664,-14.858841,0.87801546,83.470505
64,17129,5.891777,-1.0,87.54498,-14.858841,0.8442807,102.403824
65,17131,5.7319746,-1.0,85.1705,-14.858841,0.8183211,100.02934
66,17133,4.24787,-1.0,63.118423,-14.858841,0.853926,77.977264
67,17135,5.7154093,-1.0,84.92436,-14.858841,0.8344841,99.7832
68,17137,5.7710423,-1.0,85.751,-14.858841,0.8219636,100.60984
69,17139,5.982696,-1.0,88.89593,-14.858841,0.8229719,103.75477
70,17141,5.6022887,-1.0,83.243515,-14.858841,0.8107088,98.102356
71,17143,5.9813247,-1.0,88.87556,-14.858841,0.8651213,103.7344
72,17145,4.2661195,-1.0,63.38959,-14.858841,0.8682979,78.24843
73,17147,5.9837985,-1.0,88.91231,-14.858841,0.8352431,103.77115
74,17149,5.372645,-1.0,79.831276,-14.858841,0.81797373,94.69012
75,17151,4.403772,-1.0,65.434944,-14.858841,0.90070575,80.293785
76,17153,4.471214,-1.0,66.43706,-14.858841,0.8445141,81.2959
77,17155,5.8391824,-1.0,86.76348,-14.858841,0.8521798,101.62232
78,17157,4.1024694,-1.0,60.957943,-14.858841,0.8151488,75.81679
79,17159,4.8965125,-1.0,72.7565,-14.858841,0.8962507,87.61534
80,17161,5.875672,-1.0,87.30567,-14.858841,0.84756666,102.16451
81,17163,4.964004,-1.0,73.759346,-14.858841,0.9023554,88.61819
82,17165,4.9791126,-1.0,73.98384,-14.858841,0.9262047,88.84268
83,17167,5.9023976,-1.0,87.70279,-14.858841,0.86155814,102.56163
84,17169,5.44949,-1.0,80.97311,-14.858841,0.8553416,95.83195
85,17171,5.545423,-1.0,82.39856,-14.858841,0.8207843,97.2574
86,17173,5.8746805,-1.0,87.29095,-14.858841,0.8510106,102.14979
87,17175,5.9118667,-1.0,87.84349,-14.858841,0.81442946,102.70233
88,17177,5.772769,-1.0,85.77666,-14.858841,0.79040706,100.6355
89,17179,6.0039163,-1.0,89.211235,-14.858841,0.90058666,104.070076
90,17181,3.9970767,-1.0,59.39193,-14.858841,0.8273019,74.25077
91,17183,5.7959027,-1.0,86.1204,-14.858841,0.85225916,100.97924
92,17185,5.185819,-1.0,77.05526,-14.858841,0.89132726,91.9141
