,FIPS,y_test_pred,y_test,y_test_pred_model_uncertainty,y_test_pred_cv,pred_error
101,18099,44.144447,-1.0,10.248478,0.2321578,45.144447
102,18103,38.925346,-1.0,9.816385,0.25218493,39.925346
103,18105,20.398865,-1.0,9.872595,0.48397765,21.398865
104,18107,46.127556,-1.0,9.155059,0.19847266,47.127556
105,18109,30.169477,-1.0,9.428597,0.31252107,31.169477
106,18111,47.999,-1.0,10.699296,0.22290663,48.999
107,18113,34.296047,-1.0,9.885168,0.28823054,35.296047
108,18115,10.107528,-1.0,9.806555,0.9702229,11.107528
109,18119,26.130615,-1.0,9.445585,0.3614758,27.130615
110,18129,40.209805,-1.0,10.002151,0.24874905,41.209805
111,18131,54.322098,-1.0,10.870331,0.20010881,55.322098
112,18133,36.66895,-1.0,9.383475,0.25589705,37.66895
113,18135,29.59475,-1.0,9.157543,0.30943134,30.59475
114,18137,16.166496,-1.0,9.21081,0.5697468,17.166496
115,18139,34.923637,-1.0,9.430729,0.27003857,35.923637
116,18141,39.072445,-1.0,10.214013,0.26141217,40.072445
117,18143,20.570469,-1.0,9.66772,0.46998054,21.570469
118,18145,29.964674,-1.0,9.355528,0.31221858,30.964674
119,18147,27.857368,-1.0,10.083176,0.36195722,28.857368
120,18149,48.328,-1.0,11.008005,0.22777697,49.328
121,18151,30.774208,-1.0,9.7376175,0.3164214,31.774208
122,18153,35.65075,-1.0,9.418936,0.2642002,36.65075
123,18157,51.25303,-1.0,9.670757,0.18868655,52.25303
124,18159,35.075176,-1.0,9.268522,0.26424736,36.075176
125,18161,32.57229,-1.0,9.542615,0.2929673,33.57229
126,18163,33.47796,-1.0,9.957788,0.29744312,34.47796
127,18167,37.250984,-1.0,9.604415,0.25782984,38.250984
128,18169,36.85404,-1.0,9.669667,0.2623774,37.85404
129,18175,21.41617,-1.0,10.143787,0.47365087,22.41617
130,18177,30.902872,-1.0,9.796742,0.31701723,31.902872
131,18179,37.61553,-1.0,9.798493,0.26049066,38.61553
132,18183,34.571342,-1.0,9.726948,0.2813587,35.571342
133,19001,40.405487,-1.0,9.1022,0.22527137,41.405487
134,19005,45.441574,-1.0,9.774127,0.21509218,46.441574
135,19009,43.712006,-1.0,9.531274,0.21804705,44.712006
136,19011,46.11634,-1.0,9.540677,0.20688279,47.11634
137,19013,45.660995,-1.0,9.282859,0.20329952,46.660995
138,19015,49.733917,-1.0,9.742309,0.19588862,50.733917
139,19017,44.589767,-1.0,9.379776,0.21035714,45.589767
140,19019,48.587513,-1.0,9.52113,0.19595836,49.587513
141,19023,45.654854,-1.0,9.552139,0.20922506,46.654854
142,19025,46.39863,-1.0,9.27618,0.19992359,47.39863
143,19027,50.995445,-1.0,9.965782,0.19542494,51.995445
144,19029,48.028698,-1.0,9.311159,0.19386658,49.028698
145,19031,46.831406,-1.0,9.53619,0.2036281,47.831406
146,19033,38.235214,-1.0,9.039099,0.2364077,39.235214
147,19035,42.78836,-1.0,9.432514,0.2204458,43.78836
148,19037,40.969517,-1.0,9.3392725,0.22795662,41.969517
149,19039,44.67948,-1.0,9.449271,0.21149017,45.67948
150,19041,39.326004,-1.0,9.353043,0.23783353,40.326004
151,19043,44.467583,-1.0,9.588404,0.21562682,45.467583
152,19045,49.59919,-1.0,9.620383,0.19396251,50.59919
153,19047,49.47599,-1.0,9.372183,0.18942891,50.47599
154,19051,51.231667,-1.0,9.584845,0.18708828,52.231667
155,19053,49.592384,-1.0,9.450605,0.19056566,50.592384
156,19055,51.189266,-1.0,9.695427,0.18940352,52.189266
157,19057,56.953327,-1.0,9.677423,0.16991848,57.953327
158,19059,39.598892,-1.0,9.149943,0.23106565,40.598892
159,19061,51.789665,-1.0,9.787865,0.18899262,52.789665
160,19065,40.36165,-1.0,9.136997,0.2263782,41.36165
161,19067,41.735355,-1.0,9.426902,0.22587329,42.735355
162,19069,43.19533,-1.0,9.221844,0.21349168,44.19533
163,19071,62.70047,-1.0,9.826884,0.15672745,63.70047
164,19073,47.93354,-1.0,9.702541,0.20241654,48.93354
165,19079,46.116333,-1.0,9.33103,0.20233677,47.116333
166,19081,37.98222,-1.0,8.636687,0.22738764,38.98222
167,19087,50.350945,-1.0,9.520774,0.18908828,51.350945
168,19089,39.34867,-1.0,9.1282425,0.2319835,40.34867
169,19091,43.97184,-1.0,9.059521,0.20603006,44.97184
170,19093,48.91208,-1.0,9.240042,0.18891124,49.91208
171,19095,46.79733,-1.0,9.770572,0.20878482,47.79733
172,19097,51.515438,-1.0,9.855434,0.19131032,52.515438
173,19101,48.903114,-1.0,9.578033,0.19585733,49.903114
174,19103,46.6606,-1.0,9.69113,0.20769407,47.6606
175,19105,47.682247,-1.0,9.8038645,0.20560828,48.682247
176,19111,54.935623,-1.0,9.980253,0.1816718,55.935623
177,19113,45.931038,-1.0,9.777181,0.21286653,46.931038
178,19115,52.946476,-1.0,9.911976,0.18720748,53.946476
179,19119,45.654297,-1.0,10.049427,0.22012007,46.654297
180,19123,56.585213,-1.0,9.639657,0.17035647,57.585213
181,19125,53.97373,-1.0,9.433876,0.17478645,54.97373
182,19127,48.30114,-1.0,9.553012,0.19778025,49.30114
183,19129,57.20968,-1.0,9.34433,0.16333477,58.20968
