,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17007,9.452802,14.32144,140.45767,212.8,1.0421119,-72.34233
1,17009,9.668815,11.94575,143.66737,177.5,0.9338387,-33.832626
2,17011,10.160022,16.20584,150.96616,240.79999,1.0448741,-89.83383
3,17015,10.60467,16.09816,157.5731,239.2,0.9706073,-81.62689
4,17023,9.009679,13.9984,133.87338,208.0,0.96336347,-74.12662
5,17025,7.5254173,11.6429,111.81898,173.00002,1.0428966,-61.181038
6,17027,7.7573166,13.29848,115.26473,197.6,0.99811935,-82.33527
7,17029,9.699334,15.31748,144.12086,227.6,0.9838452,-83.47914
8,17033,8.521629,13.33886,126.62154,198.2,0.9853922,-71.57846
9,17035,8.977817,15.22999,133.39995,226.3,0.97703475,-92.900055
10,17041,9.214381,15.16269,136.91502,225.3,0.99503434,-88.38498
11,17045,9.415826,14.98098,139.90826,222.6,1.0005846,-82.69174
12,17047,7.9243565,12.47742,117.74676,185.4,1.0213084,-67.65324
13,17049,8.752559,14.63775,130.05289,217.5,0.9808486,-87.44711
14,17055,7.467454,11.48138,110.95771,170.6,0.92975175,-59.642296
15,17057,9.676347,14.02532,143.7793,208.40001,1.0256433,-64.62071
16,17061,9.51402,15.41843,141.36731,229.1,0.97771126,-87.7327
17,17067,9.756696,15.35786,144.97319,228.2,0.97623694,-83.22681
18,17075,8.204852,14.38874,121.9146,213.8,1.1018543,-91.88541
19,17077,7.9490914,13.06966,118.11429,194.20001,0.9561554,-76.085724
20,17081,7.425517,10.54591,110.33458,156.7,0.9825707,-46.365417
21,17083,9.111558,13.03601,135.38719,193.7,0.9372972,-58.312805
22,17085,9.414093,14.28106,139.8825,212.20001,0.92369264,-72.317505
23,17089,9.616654,15.72801,142.89233,233.70001,1.0886579,-90.80768
24,17095,10.068065,16.03086,149.59978,238.20001,1.0384179,-88.600235
25,17097,7.9874415,11.08431,118.68413,164.7,1.1190345,-46.01587
26,17099,9.170219,15.1425,136.25883,225.0,1.0823392,-88.741165
27,17101,8.309112,13.08985,123.46377,194.50002,1.0011556,-71.03625
28,17105,8.601998,15.57322,127.81573,231.40001,1.0958588,-103.58428
29,17107,9.983388,15.78185,148.34158,234.5,0.9903071,-86.15842
30,17113,9.225352,16.60291,137.07805,246.69998,1.0202677,-109.62193
31,17115,9.9035845,16.40774,147.15579,243.8,1.0012077,-96.64421
