,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
84,17169,12.623322,-1.0,187.56793,-14.858841,0.7385156,202.42677
85,17171,12.213213,-1.0,181.4742,-14.858841,0.66547614,196.33304
86,17173,11.282449,-1.0,167.64412,-14.858841,0.61161685,182.50296
87,17175,13.584337,-1.0,201.8475,-14.858841,0.55800444,216.70634
88,17177,12.163352,-1.0,180.73332,-14.858841,0.63148016,195.59216
89,17179,12.628507,-1.0,187.64497,-14.858841,0.69873816,202.50381
90,17181,8.389482,-1.0,124.657974,-14.858841,0.884063,139.51682
91,17183,11.812455,-1.0,175.5194,-14.858841,0.61833113,190.37823
92,17185,9.543232,-1.0,141.80136,-14.858841,0.7158164,156.6602
93,17187,13.412024,-1.0,199.28712,-14.858841,0.5659156,214.14597
94,17189,7.8415236,-1.0,116.51595,-14.858841,0.87566817,131.37479
95,17191,8.018141,-1.0,119.14028,-14.858841,0.87289333,133.99911
96,17193,8.270456,-1.0,122.8894,-14.858841,0.82471323,137.74823
97,17195,12.738266,-1.0,189.27586,-14.858841,0.62008893,204.1347
98,17197,10.069798,-1.0,149.62553,-14.858841,0.7833514,164.48438
99,17199,6.549287,-1.0,97.31481,-14.858841,0.9756599,112.17365
100,17201,11.377809,-1.0,169.06105,-14.858841,0.6922326,183.91989
101,17203,12.844051,-1.0,190.84772,-14.858841,0.6022122,205.70656
102,18001,9.720582,-1.0,144.43658,-14.858841,0.7372854,159.29543
103,18003,9.381795,-1.0,139.4026,-14.858841,0.7886354,154.26144
104,18005,10.120678,-1.0,150.38155,-14.858841,0.82777053,165.24039
105,18007,12.697501,-1.0,188.67015,-14.858841,0.5603569,203.52899
106,18009,9.742049,-1.0,144.75557,-14.858841,0.67239463,159.61441
107,18011,10.964959,-1.0,162.92659,-14.858841,0.62713045,177.78543
108,18013,8.977909,-1.0,133.40132,-14.858841,1.2024517,148.26016
109,18015,12.766197,-1.0,189.6909,-14.858841,0.6375641,204.54974
110,18017,11.887189,-1.0,176.62985,-14.858841,0.6984048,191.4887
111,18019,9.328449,-1.0,138.60994,-14.858841,0.92810124,153.46878
112,18021,9.980098,-1.0,148.2927,-14.858841,0.6754513,163.15154
113,18023,10.994359,-1.0,163.36343,-14.858841,0.5998245,178.22227
114,18025,8.750338,-1.0,130.01988,-14.858841,1.0963397,144.87872
115,18027,10.74055,-1.0,159.59213,-14.858841,0.9190486,174.45097
116,18029,8.925637,-1.0,132.62462,-14.858841,0.9930073,147.48346
117,18031,10.865899,-1.0,161.45467,-14.858841,0.7284406,176.3135
118,18033,8.973465,-1.0,133.3353,-14.858841,0.8294606,148.19414
119,18035,10.30613,-1.0,153.13716,-14.858841,0.6791414,167.996
120,18037,10.456233,-1.0,155.36751,-14.858841,0.9453035,170.22635
121,18039,10.847707,-1.0,161.18436,-14.858841,0.8756496,176.0432
122,18041,10.862044,-1.0,161.39738,-14.858841,0.71283084,176.25623
123,18043,9.428104,-1.0,140.0907,-14.858841,1.0619717,154.94954
124,18045,11.805606,-1.0,175.41762,-14.858841,0.6136212,190.27646
125,18047,10.18348,-1.0,151.31471,-14.858841,0.79910207,166.17355
126,18049,11.669917,-1.0,173.40144,-14.858841,0.7121594,188.26028
127,18051,10.466658,-1.0,155.5224,-14.858841,0.8485804,170.38124
128,18053,10.876169,-1.0,161.60727,-14.858841,0.5794428,176.46611
