,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,end_of_season_NASS_yield(bu/acre),y_test_pred_uncertainty,prediction_error(bu/acre)
363,27131,11.577569,10.66705,172.02927,158.5,0.4679092,13.529266
364,27139,11.657825,11.79769,173.22177,175.3,0.48184314,-2.0782318
365,27141,10.500311,10.97663,156.02245,163.1,0.7706501,-7.0775604
366,27143,11.266176,10.08827,167.40233,149.90001,0.4543472,17.50232
367,27145,12.166163,12.57164,180.77509,186.8,0.55044323,-6.0249176
368,27147,11.6520195,11.38716,173.13551,169.20001,0.4652516,3.935501
369,27149,11.347449,12.45723,168.60994,185.09999,0.6237455,-16.490051
370,27151,11.54009,12.10054,171.47235,179.8,0.59663165,-8.327652
371,27153,10.730647,9.88637,159.44498,146.9,0.6176351,12.544983
372,27157,12.931567,12.1813,192.1481,181.0,0.4325624,11.148102
373,27159,10.099936,9.90656,150.07333,147.2,0.7188936,2.8733368
374,27161,11.3320875,11.19199,168.38168,166.3,0.44103578,2.0816803
375,27163,12.015835,10.87568,178.54138,161.6,0.56388223,16.941376
376,27165,11.816819,11.05066,175.58424,164.2,0.47961354,11.384247
377,27167,10.749785,11.65636,159.72935,173.2,0.69452727,-13.470642
378,27169,13.093287,14.5368,194.55109,216.00002,0.41751015,-21.448929
379,29005,14.171329,13.85707,210.56952,205.90001,0.4585927,4.66951
380,29007,12.557515,13.16388,186.59012,195.6,0.52150923,-9.009888
381,29009,8.954294,6.64251,133.05043,98.7,1.2323378,34.350433
382,29011,10.341015,11.85153,153.6555,176.1,0.8101253,-22.444504
383,29019,12.118582,13.01582,180.06808,193.4,0.5791673,-13.331909
384,29021,13.467441,12.74662,200.11057,189.40001,0.55215853,10.710556
385,29025,11.626748,11.44773,172.76001,170.1,0.58874846,2.6600037
386,29027,12.064509,12.78027,179.26463,189.9,0.5838533,-10.635361
387,29031,11.224132,11.1045,166.77759,165.0,0.81494063,1.7775879
388,29033,13.125096,13.1235,195.02373,195.0,0.59337,0.023727417
389,29037,10.669031,10.82857,158.52943,160.90001,0.7104009,-2.370575
390,29039,9.4563875,11.17853,140.51096,166.09999,0.90098804,-25.589035
391,29047,12.643874,13.11677,187.87332,194.9,0.70976317,-7.0266724
392,29049,12.733348,12.30244,189.20279,182.8,0.53594285,6.4027863
393,29051,10.955859,11.56887,162.79137,171.9,0.76291686,-9.108627
394,29057,10.1883545,8.87014,151.38715,131.8,0.7903921,19.587143
395,29061,11.775928,12.27552,174.97664,182.40001,0.5650121,-7.4233704
396,29069,11.883713,11.59579,176.5782,172.3,0.78070635,4.2781982
397,29071,11.062428,10.39785,164.37486,154.5,0.7787607,9.874863
398,29079,11.976489,10.92952,177.95674,162.4,0.49827403,15.556747
399,29081,12.051105,10.72089,179.06544,159.3,0.55954325,19.765442
400,29095,12.374238,10.37766,183.86684,154.2,0.7085733,29.66684
401,29101,10.932893,12.94852,162.45012,192.4,0.6523577,-29.949875
402,29107,13.357089,14.28106,198.47087,212.20001,0.54503644,-13.729141
403,29109,9.699766,7.51741,144.12729,111.7,0.9198434,32.42729
404,29111,12.352927,12.20822,183.55019,181.4,0.5388431,2.1501923
405,29113,10.7647505,12.03324,159.95172,178.8,0.6369533,-18.848282
406,29117,12.606545,12.26879,187.31865,182.3,0.5160849,5.0186462
407,29121,11.951867,13.00236,177.5909,193.20001,0.51984984,-15.609116
408,29125,9.019479,8.02216,134.019,119.2,0.919605,14.819
409,29127,12.251792,12.55145,182.04742,186.5,0.5403725,-4.4525757
410,29131,9.720885,10.57956,144.44109,157.20001,0.88472015,-12.758926
411,29133,12.673934,12.38993,188.31998,184.1,0.7244705,4.2199707
412,29135,11.529107,11.22564,171.30917,166.8,0.68304086,4.5091705
413,29137,12.57721,11.9121,186.88277,177.0,0.5021039,9.882767
414,29143,12.614076,11.48138,187.43054,170.6,0.74255294,16.830536
415,29155,13.383864,13.3927,198.86871,199.0,0.66543293,-0.13128662
416,29157,11.300633,11.34678,167.91432,168.6,0.72845906,-0.6856842
417,29163,11.569319,10.768,171.90668,160.0,0.5787847,11.906677
418,29165,13.283137,11.80442,197.37202,175.40001,0.6161982,21.972015
419,29171,10.995635,11.83807,163.3824,175.9,0.61037344,-12.517593
420,29173,12.635266,13.33886,187.74542,198.2,0.47778407,-10.454575
421,29175,12.017892,13.50711,178.57195,200.7,0.5580135,-22.128052
422,29183,12.728953,12.43704,189.1375,184.8,0.6291307,4.337494
423,29185,10.120742,10.37766,150.38249,154.2,0.9040326,-3.817505
424,29195,14.2955265,15.01463,212.41496,223.1,0.5402591,-10.685043
425,29199,12.916537,12.89468,191.92477,191.6,0.5321021,0.32476807
426,29201,12.441295,13.15715,184.86322,195.5,0.82161397,-10.63678
427,29205,12.871921,13.15715,191.26183,195.5,0.47115335,-4.2381744
428,29207,12.610489,12.23514,187.37726,181.8,0.7029706,5.5772552
429,29211,10.905694,11.21891,162.04597,166.70001,0.5650753,-4.6540375
430,29219,11.121374,9.69793,165.25073,144.1,0.7402786,21.150726
431,29227,12.238168,12.57164,181.84499,186.8,0.56593364,-4.955017
432,31001,15.359675,14.76562,228.22697,219.40001,0.53481203,8.826965
433,31013,9.634948,11.07085,143.16415,164.5,1.3856338,-21.335846
434,31015,10.766532,10.17576,159.9782,151.20001,0.8111581,8.778183
435,31017,14.203643,15.02136,211.04967,223.20001,0.9623324,-12.150345
436,31019,14.279191,13.87726,212.17223,206.20001,0.6080746,5.9722137
437,31021,13.250095,13.08312,196.88106,194.40001,0.4573483,2.4810486
438,31023,14.4101715,12.70624,214.11845,188.8,0.5211797,25.31845
439,31025,13.861417,12.8543,205.96458,191.0,0.5202766,14.964584
440,31027,13.651183,12.16111,202.84076,180.7,0.5277734,22.140762
441,31029,11.959603,11.36024,177.70584,168.8,1.1743929,8.905838
442,31033,7.3094435,7.9414,108.60986,118.0,1.2839376,-9.390137
443,31035,15.090376,13.95129,224.2255,207.3,0.48652437,16.925491
444,31037,13.6023245,13.41289,202.11478,199.3,0.52598137,2.8147736
445,31039,14.35851,13.41289,213.35081,199.3,0.42017078,14.050812
446,31041,13.395616,13.92437,199.04332,206.9,0.7918589,-7.856674
447,31047,14.595065,14.2676,216.86575,212.0,0.65706193,4.865753
448,31049,7.656678,7.6722,113.76936,114.00001,1.2797185,-0.23064423
449,31055,12.725266,12.94852,189.08272,192.4,0.70501566,-3.317276
450,31057,10.959657,11.54195,162.8478,171.5,1.3179134,-8.652206
451,31059,14.743114,14.22722,219.0656,211.4,0.541731,7.6656036
452,31061,13.942136,12.49761,207.16399,185.7,0.5886379,21.46399
