,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),y_test_pred,y_test,y_test_pred_uncertainty,prediction_error(bu/acre)
0,17001,15.426661,13.31194,229.2223,197.8,0.63091516,31.422302
1,17003,15.046673,12.67932,223.57613,188.40001,0.7759949,35.176117
2,17007,14.06136,13.06293,208.93552,194.1,0.49046853,14.83551
3,17009,15.26606,12.64567,226.83595,187.9,0.69408274,38.93596
4,17011,15.039438,14.40893,223.46863,214.1,0.50745076,9.368622
5,17015,14.869835,14.61083,220.94852,217.1,0.50495344,3.8485107
6,17017,15.922157,15.04155,236.58481,223.5,0.6569193,13.084808
7,17019,16.09984,14.89349,239.22496,221.3,0.5546166,17.924957
8,17021,16.426704,15.67417,244.08179,232.9,0.51888007,11.181793
9,17023,15.875943,13.69555,235.89812,203.5,0.575288,32.398117
10,17025,15.054089,12.73989,223.68631,189.3,0.73426497,34.386307
11,17027,15.697119,12.43704,233.241,184.8,0.70139545,48.440994
12,17029,16.191673,15.76839,240.58951,234.3,0.5571314,6.289505
13,17033,15.504082,13.07639,230.37268,194.3,0.6863251,36.072678
14,17037,14.524295,12.80719,215.8142,190.3,0.4418939,25.51419
15,17039,16.299482,15.1425,242.19142,225.0,0.5368591,17.191422
16,17041,16.45019,16.5558,244.43076,246.0,0.50623465,-1.5692444
17,17045,15.9249935,14.34163,236.62695,213.1,0.53440714,23.526947
18,17047,15.047757,11.34678,223.59224,168.6,0.82618,54.992233
19,17049,16.035877,15.82896,238.27455,235.20001,0.61249477,3.0745392
20,17053,15.59745,13.57441,231.76004,201.70001,0.56553906,30.060028
21,17055,14.595279,10.46515,216.86893,155.5,0.8420316,61.368927
22,17057,15.415898,14.6714,229.06238,218.0,0.64757556,11.062378
23,17059,15.769432,11.42754,234.31549,169.8,0.68596715,64.51549
24,17061,15.895545,13.94456,236.18938,207.2,0.637674,28.98938
25,17063,15.235649,13.5273,226.3841,201.0,0.48127595,25.384094
26,17065,15.059021,11.01028,223.7596,163.59999,0.7786604,60.159607
27,17067,15.707399,15.73474,233.39375,233.8,0.61205745,-0.40625
28,17071,15.450314,14.35509,229.57376,213.3,0.6007839,16.273758
29,17073,15.168566,14.77235,225.38731,219.5,0.53353536,5.887314
30,17075,15.200379,13.1908,225.86002,196.0,0.58160555,29.860016
31,17077,15.0233135,10.91606,223.22903,162.20001,0.7414094,61.029022
32,17079,15.780405,13.84361,234.47853,205.7,0.61764437,28.778534
33,17081,14.480496,10.84876,215.16339,161.2,0.8404871,53.963394
34,17085,14.286984,14.07243,212.28804,209.09999,0.53104556,3.1880493
35,17089,13.737249,12.74662,204.11961,189.40001,0.5050839,14.7196045
36,17091,14.489534,12.22841,215.29768,181.7,0.5845145,33.597687
37,17093,14.841938,13.9984,220.534,208.0,0.4497849,12.533997
38,17095,15.499807,15.24345,230.30917,226.5,0.5574723,3.8091736
39,17099,15.212887,14.4695,226.04587,215.0,0.48045826,11.045868
40,17101,15.6700535,11.1718,232.83884,166.0,0.72934717,66.83884
41,17103,14.418092,13.85707,214.23613,205.90001,0.5198155,8.336121
42,17105,15.75189,13.96475,234.05484,207.5,0.53539824,26.55484
43,17107,16.465488,15.89626,244.65808,236.20001,0.5309798,8.458069
44,17109,15.674076,15.40497,232.8986,228.90001,0.5879129,3.9985962
45,17111,13.669283,12.84084,203.10971,190.8,0.5113543,12.309708
46,17113,16.256836,15.43189,241.55774,229.3,0.5105414,12.257736
47,17115,16.633907,16.14527,247.16058,239.9,0.50778997,7.2605896
48,17117,16.024275,14.48969,238.10216,215.3,0.60960484,22.802155
49,17119,15.864126,13.31194,235.72253,197.8,0.6424281,37.92253
50,17121,15.345837,13.40616,228.02135,199.20001,0.70783824,28.821335
51,17123,15.656261,14.39547,232.6339,213.9,0.49244764,18.733902
52,17131,15.164288,15.56649,225.32375,231.3,0.5907262,-5.9762573
53,17133,15.036727,11.68328,223.42834,173.6,0.71443266,49.82834
54,17135,16.198128,14.99444,240.68541,222.8,0.54840904,17.885406
55,17137,16.143414,15.37805,239.87242,228.5,0.6249695,11.372421
56,17139,16.468758,15.74147,244.70665,233.90001,0.52617186,10.806641
57,17141,14.348268,13.33886,213.19862,198.2,0.50817156,14.998627
58,17143,15.43763,15.40497,229.38528,228.90001,0.5872513,0.48527527
59,17145,14.215296,9.94021,211.22282,147.70001,0.8293379,63.52281
60,17147,16.589415,16.27314,246.49948,241.8,0.5100035,4.699478
61,17149,15.637651,12.28898,232.35738,182.59999,0.6416585,49.757385
62,17155,15.291065,13.87726,227.2075,206.20001,0.5446259,21.007492
63,17157,14.691103,11.13142,218.29277,165.40001,0.75216466,52.89276
64,17159,15.2698145,11.28621,226.89175,167.7,0.71229845,59.191757
65,17161,14.870321,15.03482,220.95575,223.4,0.5784655,-2.4442444
66,17163,15.504626,12.54472,230.38078,186.4,0.6957997,43.98079
67,17165,15.582068,10.80165,231.53148,160.5,0.6442997,71.03148
68,17167,16.445108,15.90972,244.35526,236.40001,0.5926812,7.955246
69,17169,15.400608,13.62825,228.83519,202.5,0.68041265,26.33519
70,17173,16.124321,15.16942,239.58873,225.40001,0.56242114,14.188721
71,17175,15.647592,15.7482,232.50508,234.00002,0.47249964,-1.4949341
72,17177,14.397756,14.07243,213.93396,209.09999,0.49913064,4.833969
73,17179,15.838512,15.84242,235.34193,235.4,0.6218205,-0.058059692
74,17183,15.85052,14.72524,235.52036,218.8,0.5563378,16.720352
75,17187,15.961323,16.26641,237.16676,241.70001,0.5284324,-4.533249
76,17189,15.250554,12.16111,226.60556,180.7,0.7250776,45.905563
77,17191,15.37825,11.92556,228.50298,177.2,0.7570154,51.30298
78,17193,15.670514,11.60252,232.84567,172.40001,0.7475354,60.445663
79,17195,14.609316,14.53007,217.0775,215.90001,0.57761294,1.1774902
80,17197,14.124392,12.53799,209.87209,186.3,0.562107,23.572083
81,17199,14.582947,11.13142,216.68568,165.40001,0.78376245,51.285675
82,17201,13.814879,12.41012,205.2731,184.40001,0.53072387,20.873093
83,17203,15.891598,15.05501,236.13072,223.7,0.52726483,12.430725
84,18001,14.503073,13.08985,215.49886,194.50002,0.5479204,20.99884
85,18003,14.086806,12.22841,209.31361,181.7,0.5561865,27.613617
86,18005,15.63768,12.73989,232.3578,189.3,0.5987609,43.0578
87,18007,15.54137,13.57441,230.92676,201.70001,0.5283939,29.226746
88,18009,14.786884,13.5273,219.71596,201.0,0.55668557,18.715958
89,18011,15.57649,13.38597,231.4486,198.90001,0.54119533,32.548584
90,18015,15.447051,13.77631,229.52528,204.7,0.5368617,24.825287
91,18017,14.812313,13.15715,220.09381,195.5,0.60415,24.593811
92,18019,14.708443,12.02651,218.55042,178.70001,0.65216774,39.850403
93,18021,15.98337,12.21495,237.49435,181.5,0.5627907,55.994354
94,18023,15.6812105,14.39547,233.00462,213.9,0.5456393,19.10463
95,18027,16.391098,13.20426,243.55272,196.2,0.5325118,47.352722
96,18029,15.151698,11.89191,225.13667,176.7,0.60268486,48.436676
97,18031,15.830873,13.91764,235.22842,206.8,0.548175,28.428421
98,18033,13.6605015,10.73435,202.97922,159.5,0.5552693,43.479218
99,18035,15.039116,14.00513,223.46384,208.1,0.5876614,15.363831
100,18037,15.719189,12.59183,233.56892,187.1,0.66608554,46.468918
101,18039,13.774185,11.60925,204.66843,172.5,0.52633476,32.168427
102,18041,15.375139,13.36578,228.45676,198.6,0.5266395,29.85675
103,18047,15.703744,12.49761,233.33943,185.7,0.535218,47.639435
104,18049,14.151459,12.59856,210.27428,187.20001,0.60758287,23.074265
105,18051,15.811817,12.3832,234.94528,184.0,0.7165566,50.945282
106,18053,14.897497,13.75612,221.35954,204.4,0.5636806,16.959549
107,18055,15.817028,12.05343,235.0227,179.09999,0.5488321,55.922714
108,18057,14.92436,11.74385,221.7587,174.5,0.6683466,47.258698
109,18059,15.3484535,12.61875,228.06023,187.5,0.634935,40.560226
110,18061,14.74017,12.73316,219.02184,189.2,0.66726893,29.821838
111,18063,15.724422,13.92437,233.6467,206.9,0.58268845,26.746704
112,18065,15.075752,13.35905,224.00821,198.5,0.6034611,25.50821
113,18067,15.39604,14.51661,228.76732,215.7,0.54484344,13.067322
114,18069,14.6855135,12.3159,218.20972,183.0,0.53188235,35.209717
115,18071,15.31892,11.65636,227.6214,173.2,0.6105236,54.421402
116,18073,14.00787,11.07085,208.14072,164.5,0.67495495,43.640717
117,18075,14.395331,12.69278,213.89795,188.59999,0.6072007,25.297958
118,18077,15.324095,12.4505,227.69829,185.0,0.5888005,42.698288
119,18079,15.423548,12.22168,229.17604,181.59999,0.567676,47.57605
120,18083,16.20678,12.07362,240.81396,179.4,0.62057996,61.41397
121,18085,14.056695,12.10054,208.8662,179.8,0.5096156,29.066193
122,18087,13.195986,9.56333,196.07706,142.09999,0.5636958,53.977066
123,18091,13.137136,10.7007,195.20262,159.0,0.60139585,36.20262
124,18093,15.053585,12.92833,223.67883,192.1,0.62632185,31.578827
125,18095,15.271957,13.80323,226.92358,205.1,0.5878757,21.823578
126,18099,13.79591,11.81788,204.99123,175.59999,0.56071216,29.391235
127,18101,14.923703,12.30917,221.74893,182.9,0.6771461,38.848938
128,18103,14.661465,12.88122,217.85237,191.4,0.5917645,26.452377
129,18105,15.356845,12.23514,228.18492,181.8,0.61105555,46.38492
130,18109,15.937512,13.2581,236.81296,197.0,0.536931,39.812958
131,18111,14.614352,13.38597,217.15234,198.90001,0.6212144,18.252335
132,18113,13.906298,11.48811,206.63147,170.7,0.52416074,35.931473
133,18115,15.154371,12.114,225.17639,180.0,0.66246074,45.17639
134,18117,15.762167,13.91091,234.20753,206.7,0.5953547,27.507538
135,18119,15.405941,11.62271,228.91443,172.70001,0.59944767,56.214417
136,18121,15.694923,12.96871,233.20837,192.7,0.5847837,40.508377
137,18127,13.75486,12.25533,204.38127,182.1,0.55760986,22.281265
138,18129,15.87747,12.25533,235.9208,182.1,0.71410745,53.8208
139,18131,13.535654,11.38043,201.12413,169.1,0.743017,32.024124
140,18133,15.803377,13.24464,234.81987,196.8,0.5369557,38.019867
141,18135,14.821731,12.43704,220.23373,184.8,0.54359174,35.43373
142,18137,15.708143,12.30917,233.4048,182.9,0.53300875,50.504807
143,18139,15.636365,13.72247,232.33826,203.90001,0.53099954,28.438248
144,18141,13.216056,11.05066,196.37527,164.2,0.56140614,32.175278
145,18143,15.383673,12.12746,228.58354,180.2,0.5755029,48.383545
146,18145,15.581786,13.07639,231.52728,194.3,0.6305169,37.22728
147,18151,13.193785,10.095,196.04436,150.0,0.5787877,46.044357
148,18153,15.739558,12.60529,233.8716,187.3,0.64177144,46.571594
149,18155,15.34764,11.9794,228.04814,178.0,0.5928084,50.04814
150,18157,15.4795685,13.53403,230.00845,201.1,0.55599666,28.908447
151,18159,15.433763,14.50315,229.32782,215.5,0.5794882,13.82782
152,18161,15.692269,13.72247,233.16893,203.90001,0.50129366,29.26892
153,18163,15.579417,12.08708,231.49208,179.6,0.7489053,51.892075
154,18165,16.029547,13.29175,238.1805,197.5,0.5784002,40.680496
155,18167,15.605326,11.87172,231.87706,176.40001,0.6245685,55.47705
156,18169,14.605222,13.55422,217.01666,201.40001,0.5622287,15.616653
157,18171,15.879299,13.89072,235.94798,206.40001,0.5476888,29.547974
158,18173,15.034094,10.84876,223.3892,161.2,0.7644047,62.18921
159,18175,15.0168915,12.38993,223.1336,184.1,0.61495286,39.0336
160,18177,15.127196,12.90141,224.77261,191.7,0.51735127,33.072617
161,18179,14.698864,13.73593,218.40808,204.1,0.54236144,14.308075
162,18181,14.499529,13.25137,215.4462,196.90001,0.6694158,18.546188
163,18183,14.261595,12.16111,211.91077,180.7,0.5420408,31.21077
164,19001,14.129799,10.06135,209.95244,149.5,0.6439902,60.45244
165,19003,14.019794,11.54868,208.3179,171.6,0.670331,36.717896
166,19005,12.903664,13.35232,191.73349,198.4,0.58162105,-6.666504
167,19009,14.339455,12.114,213.06767,180.0,0.6053524,33.067673
168,19011,14.446878,14.44258,214.66388,214.6,0.6005366,0.06387329
169,19013,14.196088,13.87726,210.93741,206.20001,0.61838716,4.7373962
170,19015,14.528236,13.03601,215.87276,193.7,0.58573765,22.17276
171,19017,13.64867,14.29452,202.80342,212.40001,0.6907058,-9.596588
172,19019,13.904188,13.93783,206.60013,207.1,0.6363552,-0.49987793
173,19021,13.187845,12.99563,195.9561,193.1,0.7053772,2.8560944
174,19023,13.669615,14.22049,203.11464,211.3,0.69771814,-8.185364
175,19025,13.659496,13.00909,202.96428,193.3,0.69670886,9.664276
176,19027,14.459116,14.02532,214.8457,208.40001,0.6091853,6.445694
177,19029,14.477818,11.40735,215.1236,169.5,0.6182718,45.623596
178,19031,14.938263,14.96079,221.96527,222.3,0.5084874,-0.33473206
179,19033,12.284353,12.41012,182.53125,184.40001,0.86291414,-1.8687592
180,19035,13.6479,14.35509,202.79198,213.3,0.6391027,-10.508026
181,19037,12.583646,12.98217,186.9784,192.90001,0.7342999,-5.9216156
