,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,11.346845,11.31313,168.60097,168.1,0.5723797,0.5009613
1,17003,11.057592,9.70466,164.30301,144.20001,1.0341696,20.102997
2,17005,11.012769,12.36974,163.63698,183.79999,0.5536867,-20.16301
3,17007,12.554962,12.0467,186.55219,179.0,0.4031344,7.552185
4,17011,12.467131,12.10727,185.24712,179.90001,0.4575893,5.347107
5,17013,12.314124,11.50157,182.97362,170.9,0.5650563,12.073624
6,17015,13.746354,13.87053,204.2549,206.1,0.3434384,-1.845108
7,17017,12.834595,13.83688,190.7072,205.59999,0.4587592,-14.892792
8,17019,12.965022,12.16784,192.6452,180.8,0.41068357,11.8452
9,17021,12.779239,13.37251,189.88467,198.7,0.3971218,-8.815323
10,17025,10.324497,9.45565,153.41006,140.5,0.6174659,12.910065
11,17027,11.582596,12.24187,172.10396,181.9,0.51107776,-9.796036
12,17029,12.576201,12.3832,186.86778,184.0,0.44563335,2.8677826
13,17031,10.510668,11.7102,156.17635,174.0,1.1404756,-17.823654
14,17033,11.558252,9.84599,171.74223,146.3,0.54656196,25.44223
15,17035,11.327109,10.87568,168.30772,161.6,0.5582998,6.707718
16,17037,12.05662,12.70624,179.1474,188.8,0.43227738,-9.652603
17,17041,13.504358,13.02928,200.65912,193.59999,0.39659226,7.059128
18,17049,11.696855,11.70347,173.80171,173.90001,0.5319609,-0.09829712
19,17051,11.549712,11.18526,171.61534,166.2,0.53166497,5.415344
20,17053,11.997413,11.34678,178.26765,168.6,0.43560848,9.667648
21,17055,10.271598,9.12588,152.62404,135.6,0.7259218,17.024033
22,17057,11.670955,11.83134,173.41685,175.8,0.5471258,-2.3831482
23,17059,12.832977,11.19872,190.68317,166.4,0.52555484,24.283173
24,17061,12.655455,12.90141,188.0454,191.7,0.47598398,-3.654602
25,17063,11.513785,11.0372,171.08151,164.0,0.4444341,7.0815125
26,17071,12.731143,13.00236,189.17003,193.20001,0.47313896,-4.0299835
27,17073,12.149629,12.5851,180.5294,187.0,0.48686343,-6.4705963
28,17075,11.176715,10.26998,166.07303,152.6,0.46030724,13.473022
29,17077,10.514353,10.14211,156.2311,150.7,0.7779882,5.5310974
30,17079,11.551743,11.7102,171.64551,174.0,0.5364853,-2.3544922
31,17081,10.019951,8.70189,148.88486,129.3,0.7400794,19.584854
32,17083,12.614187,12.34955,187.4322,183.5,0.46770072,3.9322052
33,17085,13.169766,12.71297,195.68747,188.9,0.38464475,6.7874756
34,17089,11.755632,11.83134,174.67508,175.8,0.53159726,-1.1249237
35,17093,11.326597,12.93506,168.30011,192.2,0.498938,-23.899887
36,17095,12.809896,13.20426,190.34021,196.2,0.45786986,-5.859787
37,17097,10.22633,8.6817,151.95142,129.0,0.90154105,22.951416
38,17099,11.818737,11.83134,175.61273,175.8,0.43662736,-0.18727112
39,17101,11.208443,10.44496,166.54446,155.2,0.591422,11.344467
40,17103,12.222667,12.20822,181.61467,181.4,0.44093743,0.2146759
41,17105,11.843279,12.03324,175.9774,178.8,0.437738,-2.8226013
42,17107,13.2598,13.06966,197.02527,194.20001,0.4147611,2.8252563
43,17109,12.136328,12.70624,180.33177,188.8,0.46025035,-8.468231
44,17113,13.225931,13.37924,196.522,198.8,0.39033344,-2.2779999
45,17115,13.361,13.75612,198.52898,204.4,0.4112586,-5.8710175
