,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
65,18007,14.634643,15.45881,217.45383,229.7,0.41769058,-12.24617,"Benton County, IN"
66,18011,14.1485615,14.12627,210.23123,209.90001,0.5205099,0.33122253,"Boone County, IN"
67,18015,14.797592,14.57718,219.87508,216.6,0.47402582,3.2750702,"Carroll County, IN"
68,18017,13.834069,13.55422,205.55824,201.40001,0.5328394,4.1582336,"Cass County, IN"
69,18019,12.227225,11.63617,181.6824,172.90001,0.87049216,8.782394,"Clark County, IN"
70,18021,13.802404,12.53799,205.08774,186.3,0.5294753,18.787735,"Clay County, IN"
71,18023,14.105448,14.34836,209.5906,213.2,0.46271953,-3.6093903,"Clinton County, IN"
72,18027,13.539101,13.15715,201.17534,195.5,0.70358557,5.6753387,"Daviess County, IN"
73,18029,11.938107,12.32936,177.38643,183.2,0.7199665,-5.813568,"Dearborn County, IN"
74,18031,14.350238,14.77235,213.2279,219.5,0.5485398,-6.2720947,"Decatur County, IN"
75,18033,11.617252,11.53522,172.61891,171.40001,0.6223661,1.2189026,"DeKalb County, IN"
76,18035,13.595345,13.11004,202.01106,194.8,0.5339864,7.2110596,"Delaware County, IN"
77,18037,13.062071,12.80046,194.08723,190.2,0.7512754,3.8872375,"Dubois County, IN"
78,18039,12.730741,12.06689,189.16405,179.3,0.6665151,9.864044,"Elkhart County, IN"
79,18041,13.934757,13.81669,207.05435,205.3,0.5500414,1.7543488,"Fayette County, IN"
80,18047,13.237547,13.21099,196.69461,196.3,0.5595094,0.39460754,"Franklin County, IN"
81,18049,13.7858925,12.71297,204.84239,188.9,0.5641862,15.942398,"Fulton County, IN"
82,18051,13.756451,13.3927,204.40492,199.0,0.713932,5.4049225,"Gibson County, IN"
83,18057,13.518109,13.8638,200.86343,206.0,0.68968713,-5.136566,"Hamilton County, IN"
84,18059,13.421312,13.26483,199.42516,197.09999,0.61745745,2.3251648,"Hancock County, IN"
85,18061,12.135555,11.25929,180.32028,167.3,0.78838855,13.020279,"Harrison County, IN"
