,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,11.680158,12.93506,173.5536,192.2,0.7311576,-18.646393,"Adams County, IL"
1,17003,10.1969795,10.72762,151.5153,159.40001,1.0888133,-7.8847046,"Alexander County, IL"
2,17005,11.410446,11.48811,169.546,170.7,0.80424285,-1.1539917,"Bond County, IL"
3,17007,11.723544,12.78027,174.19827,189.9,0.52319133,-15.701721,"Boone County, IL"
4,17009,11.656654,12.69951,173.20438,188.7,0.75317395,-15.495621,"Brown County, IL"
5,17011,13.569204,14.49642,201.62265,215.4,0.43395197,-13.777344,"Bureau County, IL"
6,17013,11.901813,10.4988,176.84714,156.0,0.7475357,20.847137,"Calhoun County, IL"
7,17015,13.7971735,16.0174,205.01001,238.00002,0.45520356,-32.990005,"Carroll County, IL"
8,17017,11.9780245,13.10331,177.97957,194.7,0.69612503,-16.720428,"Cass County, IL"
9,17019,12.5211525,13.91764,186.04982,206.8,0.5775965,-20.750183,"Champaign County, IL"
10,17021,13.389836,14.806,198.95746,220.0,0.5801141,-21.042542,"Christian County, IL"
11,17023,11.860028,12.51107,176.22627,185.90001,0.7262552,-9.673737,"Clark County, IL"
12,17025,10.288595,8.04908,152.8766,119.6,0.9181736,33.276604,"Clay County, IL"
13,17027,10.924541,10.59975,162.32602,157.5,0.90877134,4.8260193,"Clinton County, IL"
14,17029,12.933051,14.01859,192.17015,208.3,0.61937726,-16.129852,"Coles County, IL"
15,17033,11.242799,11.60925,167.05496,172.5,0.8105847,-5.445038,"Crawford County, IL"
16,17035,12.0189905,12.19476,178.58827,181.20001,0.7181082,-2.61174,"Cumberland County, IL"
17,17037,12.643912,13.73593,187.87389,204.1,0.4413448,-16.22612,"DeKalb County, IL"
18,17039,12.952217,13.53403,192.45494,201.1,0.55815566,-8.645065,"De Witt County, IL"
19,17041,12.989759,14.26087,193.01277,211.90001,0.57200503,-18.887238,"Douglas County, IL"
20,17045,13.127137,13.89072,195.05405,206.40001,0.5747421,-11.345963,"Edgar County, IL"
21,17047,10.88177,11.53522,161.69049,171.40001,0.88615984,-9.709518,"Edwards County, IL"
22,17049,11.904197,12.70624,176.88257,188.8,0.7498056,-11.917435,"Effingham County, IL"
23,17051,11.687652,11.46119,173.66496,170.3,0.7676009,3.3649597,"Fayette County, IL"
24,17053,12.154551,14.29452,180.60254,212.40001,0.54969835,-31.79747,"Ford County, IL"
25,17055,9.977311,10.5661,148.25128,157.0,0.9996738,-8.748718,"Franklin County, IL"
26,17057,12.328242,13.36578,183.1834,198.6,0.6482324,-15.416611,"Fulton County, IL"
