,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
69,17139,15.265475,0.0,226.82727,0.0,0.42294416,226.82727,"Moultrie County, IL"
70,17141,15.04037,0.0,223.48247,0.0,0.38324255,223.48247,"Ogle County, IL"
71,17143,15.757473,0.0,234.13779,0.0,0.40045708,234.13779,"Peoria County, IL"
72,17145,13.65754,0.0,202.93523,0.0,0.59928167,202.93523,"Perry County, IL"
73,17147,15.756958,0.0,234.13014,0.0,0.42127723,234.13014,"Piatt County, IL"
74,17149,14.941977,0.0,222.02046,0.0,0.42635548,222.02046,"Pike County, IL"
75,17151,13.863345,0.0,205.99324,0.0,0.6317504,205.99324,"Pope County, IL"
76,17153,14.601172,0.0,216.9565,0.0,0.5347684,216.9565,"Pulaski County, IL"
77,17155,15.226487,0.0,226.24796,0.0,0.41027054,226.24796,"Putnam County, IL"
78,17157,13.593625,0.0,201.98552,0.0,0.5563343,201.98552,"Randolph County, IL"
79,17159,14.265888,0.0,211.97456,0.0,0.50158715,211.97456,"Richland County, IL"
80,17161,15.4753475,0.0,229.94572,0.0,0.3720371,229.94572,"Rock Island County, IL"
81,17163,13.839073,0.0,205.63258,0.0,0.5176013,205.63258,"St. Clair County, IL"
82,17165,13.839865,0.0,205.64435,0.0,0.592036,205.64435,"Saline County, IL"
83,17167,15.89048,0.0,236.11412,0.0,0.4108815,236.11412,"Sangamon County, IL"
84,17169,15.0968,0.0,224.32095,0.0,0.4438916,224.32095,"Schuyler County, IL"
85,17171,14.919634,0.0,221.68848,0.0,0.4388739,221.68848,"Scott County, IL"
86,17173,14.846205,0.0,220.5974,0.0,0.44569167,220.5974,"Shelby County, IL"
87,17175,16.014828,0.0,237.96178,0.0,0.37361357,237.96178,"Stark County, IL"
88,17177,15.199154,0.0,225.84181,0.0,0.3774409,225.84181,"Stephenson County, IL"
89,17179,15.897528,0.0,236.21884,0.0,0.4207306,236.21884,"Tazewell County, IL"
90,17181,13.618665,0.0,202.35757,0.0,0.61520106,202.35757,"Union County, IL"
91,17183,15.012506,0.0,223.06844,0.0,0.4868499,223.06844,"Vermilion County, IL"
92,17185,14.560978,0.0,216.35925,0.0,0.5094315,216.35925,"Wabash County, IL"
