,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,19013,14.507176,58.4,2.233995
1,19111,13.667441,64.7,2.4007897
2,17109,15.267977,69.3,2.3788764
3,39063,13.082654,59.2,2.177335
4,19049,13.174493,52.8,2.1779165
5,39001,12.676539,45.5,2.6823013
6,17145,9.309682,52.5,2.2588677
7,39099,10.780117,47.8,2.5361466
8,46077,9.970506,50.3,2.1427152
9,55117,11.624352,46.7,2.404272
10,27079,11.814948,50.4,2.567713
11,55025,14.012568,55.1,2.4766355
12,39037,14.655358,60.4,2.3487058
13,17053,15.42407,60.7,2.1879292
14,31109,14.229393,48.8,2.364006
15,20137,15.150882,47.8,2.4800458
17,18135,14.210186,58.2,2.3071454
18,55121,11.741752,39.6,2.8475254
19,31047,17.364662,72.2,2.45014
20,17057,14.280282,62.4,2.4614663
21,29186,10.465987,56.8,2.4665987
22,29143,10.207087,49.8,2.0838327
24,26037,13.101961,41.4,2.346189
25,18171,15.939694,66.5,2.4203515
26,27023,9.995854,52.6,2.5759997
27,17153,10.737734,48.2,2.3306484
28,31083,17.485325,66.2,2.4551415
29,46085,11.889396,37.2,2.2267895
30,18079,12.9922085,55.0,2.458299
31,55065,15.284707,62.7,2.5068746
32,27027,9.069281,45.6,2.446826
33,19161,12.432624,60.7,2.2107177
34,17189,10.520944,57.4,2.258998
35,39113,13.96086,54.9,2.3445768
36,18083,13.447294,52.5,2.2100136
37,38035,8.751476,34.9,2.6392412
38,55101,11.907847,51.5,2.331775
39,27063,10.034869,49.3,2.4945288
40,19197,10.143815,52.6,2.3809223
41,39149,14.589166,62.0,2.3715632
42,18179,15.004792,61.0,2.2512069
43,18021,13.733108,52.8,2.303547
45,38071,8.439495,30.4,2.6188805
46,27001,6.2477446,28.6,3.0600488
47,19073,12.907149,55.5,2.1452882
48,17103,15.775433,63.7,2.2929122
49,29187,11.629525,53.7,2.7152603
50,38009,9.030026,24.0,2.5121489
51,19011,14.364537,61.0,2.2759106
52,19109,10.998286,54.2,2.3741143
