,FIPS,y_test_pred,y_test,y_test_pred_uncertainty
0,55013,18.9152,45.8,2.2510455
1,27097,21.550413,51.0,1.9565592
2,17105,24.793268,59.5,1.1593685
3,46011,24.817635,49.4,1.9660541
4,20173,14.683245,43.8,2.1181457
5,31003,29.713774,61.7,2.4907548
6,18079,24.604933,48.7,1.6300633
7,39133,23.189795,35.1,2.0137038
9,29141,16.387121,36.7,1.7477515
10,55001,21.660631,47.1,2.1392875
11,19067,26.371813,58.0,1.4355711
12,31103,26.106441,56.6,3.1601386
13,18163,19.115057,53.5,1.1848218
14,26037,23.72539,52.3,1.6848582
15,26121,19.939909,44.5,1.8262072
16,19039,18.37187,41.3,1.8008362
17,46067,24.374788,49.1,2.488176
18,31059,28.67235,62.3,1.9324452
19,18135,20.936228,49.1,1.0213661
21,26025,23.91778,44.5,1.4419523
22,19101,21.820498,50.1,1.5500615
23,38061,17.300562,29.4,1.9528816
24,55095,22.559793,48.2,1.991288
25,17187,30.396902,60.5,1.2967811
26,31121,29.748955,63.6,2.5216877
27,20089,17.915785,43.3,2.6183746
29,29223,17.07243,41.0,1.8813972
30,19185,20.047909,45.0,1.6859956
31,38017,19.223413,39.7,1.5937768
32,55083,20.808964,41.2,2.224227
33,27151,21.839428,49.6,1.6895797
34,20159,13.0568905,33.6,2.803241
35,17159,21.044838,48.0,1.2197772
36,46111,20.834883,44.0,2.4219396
37,46027,26.78617,54.5,2.5686438
38,20061,15.555616,45.5,2.3499806
39,39021,27.166212,56.1,1.2996479
40,26081,21.923435,49.8,1.7026553
41,39171,20.86815,48.7,1.457969
42,29211,16.779833,30.6,1.8020864
43,19157,28.08359,56.3,1.5500011
44,17063,23.60563,53.2,1.2991285
45,55055,24.585316,52.8,1.8203752
46,20115,11.953863,34.1,2.4163156
47,39075,24.980967,45.2,1.701732
49,19145,19.891935,49.8,1.549025
50,27011,20.184713,46.9,1.7770954
51,17051,20.90209,50.4,1.1343915
52,55139,23.473898,48.0,2.1846566
53,31181,24.72986,46.7,2.6598067
54,39047,26.707167,56.2,1.1490414
55,18023,24.870453,53.2,1.0826943
56,18181,22.271433,51.3,0.9050909
57,27111,19.25664,43.9,1.5823572
58,17151,18.793333,48.2,1.4039614
59,55111,23.711315,46.0,2.038852
60,18085,24.209248,51.5,1.1908903
61,39163,27.057817,37.8,2.3537428
63,29171,18.579996,37.7,1.9023033
64,18011,23.620333,49.9,1.189032
65,26163,20.339325,43.7,1.8320701
66,55015,22.783247,51.5,2.0339663
67,27099,24.180666,58.2,1.4621233
68,17107,29.152159,56.6,1.3575002
69,18073,19.415186,40.4,0.97059697
70,39135,25.50991,54.0,1.1945395
72,29143,15.1656475,42.2,0.9520044
73,19045,24.940155,59.2,1.305241
74,38005,19.088163,25.5,1.6698036
75,20003,11.073242,40.9,1.6930346
76,31097,17.690615,45.7,1.8662468
77,18173,22.623175,50.3,1.4088435
79,29131,15.912548,41.3,2.003577
80,26123,21.114532,41.1,2.017973
81,19131,26.420338,59.7,1.5038717
82,19033,25.430967,58.9,1.4347405
83,31167,27.291273,57.5,2.3756225
84,18129,23.010763,57.3,1.261048
85,26027,24.921827,50.1,1.4807447
86,19103,25.539064,55.4,1.5228461
87,38063,18.228132,28.1,1.6022575
88,55089,21.547447,50.6,2.1432471
89,17197,20.234886,49.8,1.2436808
91,29217,12.544687,35.1,1.5348301
92,19187,22.844408,54.9,1.4367411
93,38019,20.271257,26.6,1.3481783
94,55061,20.283535,47.9,1.8276126
95,27145,21.897882,52.4,1.5695792
96,17153,19.211428,46.1,1.2291917
97,20063,20.094273,46.8,3.5267017
99,39023,26.928305,56.0,1.2392097
100,29031,15.936743,46.5,1.2973795
101,19159,17.38843,43.2,1.6735697
102,27049,24.85856,58.1,1.7533569
103,17057,25.243116,56.0,1.4432757
104,55049,23.427462,53.5,2.055752
105,20125,11.723673,36.0,1.4523928
107,29019,13.725695,39.8,1.293604
108,19147,25.38038,59.5,1.5563623
109,17029,29.235659,62.3,1.2087561
110,39041,22.064693,47.4,1.4138267
112,18017,24.647264,51.1,1.1952776
113,18183,20.772177,43.8,1.2198803
114,27105,24.82224,57.1,1.6257651
115,17145,17.184843,42.9,1.1909617
116,55105,24.115965,53.4,1.7568897
117,20181,19.767612,60.2,3.3674273
