FIPS,yield,pred,error,NAME,NAMELSAD
5001,58.0,53.67556,4.32444,Arkansas,Arkansas County
5003,50.6,54.044098,-3.4440994,Ashley,Ashley County
5017,54.1,51.881634,2.2183647,Chicot,Chicot County
5021,48.0,47.980694,0.019306183,Clay,Clay County
5031,46.3,49.489773,-3.1897736,Craighead,Craighead County
5035,46.1,47.960632,-1.8606339,Crittenden,Crittenden County
5037,52.0,49.030163,2.9698372,Cross,Cross County
5041,59.8,56.314053,3.4859467,Desha,Desha County
5043,57.5,53.64797,3.8520317,Drew,Drew County
5055,45.8,46.308258,-0.5082588,Greene,Greene County
5063,40.9,40.72974,0.17026138,Independence,Independence County
5067,40.3,40.32199,-0.02199173,Jackson,Jackson County
5069,54.3,50.205235,4.0947647,Jefferson,Jefferson County
5075,39.9,41.172718,-1.2727165,Lawrence,Lawrence County
5079,57.2,52.085316,5.114685,Lincoln,Lincoln County
5081,30.2,27.745588,2.4544125,Little River,Little River County
5085,48.2,46.674557,1.525444,Lonoke,Lonoke County
5093,47.6,51.50519,-3.9051933,Mississippi,Mississippi County
5095,47.7,45.390095,2.309906,Monroe,Monroe County
5111,51.0,49.65888,1.3411217,Poinsett,Poinsett County
5117,44.0,48.989334,-4.989334,Prairie,Prairie County
5121,42.5,43.082184,-0.58218384,Randolph,Randolph County
5123,50.3,47.665535,2.6344643,St. Francis,St. Francis County
5145,43.0,36.830055,6.169945,White,White County
5147,43.8,43.17114,0.6288605,Woodruff,Woodruff County
17001,49.8,51.22153,-1.4215317,Adams,Adams County
17005,51.7,48.72156,2.9784393,Bond,Bond County
17007,50.0,54.549637,-4.549637,Boone,Boone County
17009,56.2,52.21363,3.98637,Brown,Brown County
17011,57.4,56.39722,1.0027809,Bureau,Bureau County
17013,46.9,53.103237,-6.2032356,Calhoun,Calhoun County
17015,64.7,60.3413,4.358696,Carroll,Carroll County
17019,52.8,57.74999,-4.9499893,Champaign,Champaign County
17025,40.5,46.744747,-6.244747,Clay,Clay County
17027,51.9,51.838802,0.06119919,Clinton,Clinton County
17029,63.7,58.494797,5.205204,Coles,Coles County
17033,49.5,51.086693,-1.5866928,Crawford,Crawford County
17035,50.6,51.279537,-0.6795387,Cumberland,Cumberland County
17037,55.6,54.447147,1.1528511,DeKalb,DeKalb County
17041,62.4,60.256268,2.143734,Douglas,Douglas County
17045,59.5,59.431293,0.06870651,Edgar,Edgar County
17049,51.5,53.212673,-1.7126732,Effingham,Effingham County
17051,48.9,50.71069,-1.810688,Fayette,Fayette County
17053,52.6,53.070522,-0.47052383,Ford,Ford County
17055,38.9,44.615696,-5.7156944,Franklin,Franklin County
17057,53.9,51.77178,2.1282234,Fulton,Fulton County
17059,47.5,49.582146,-2.0821457,Gallatin,Gallatin County
17061,60.7,58.226257,2.4737434,Greene,Greene County
17063,49.0,51.21386,-2.2138596,Grundy,Grundy County
17069,44.8,42.490715,2.3092842,Hardin,Hardin County
17073,52.6,53.713856,-1.1138573,Henry,Henry County
17075,45.3,49.964653,-4.664654,Iroquois,Iroquois County
17077,39.6,43.121143,-3.5211449,Jackson,Jackson County
17079,53.9,51.849678,2.0503235,Jasper,Jasper County
17081,37.4,43.442127,-6.0421257,Jefferson,Jefferson County
17083,60.1,56.738228,3.3617706,Jersey,Jersey County
17085,55.6,55.53912,0.060878754,Jo Daviess,Jo Daviess County
17089,50.3,51.957756,-1.6577568,Kane,Kane County
17091,52.3,49.293278,3.0067215,Kankakee,Kankakee County
17093,57.4,48.658123,8.7418785,Kendall,Kendall County
17095,55.9,56.076454,-0.17645264,Knox,Knox County
17097,48.2,43.571106,4.628895,Lake,Lake County
17099,55.4,52.82088,2.5791206,LaSalle,LaSalle County
17101,47.8,49.718895,-1.9188957,Lawrence,Lawrence County
17103,59.7,54.25538,5.444622,Lee,Lee County
17105,56.9,52.76259,4.137413,Livingston,Livingston County
17109,60.2,55.367214,4.8327866,McDonough,McDonough County
17113,61.0,58.300827,2.699173,McLean,McLean County
17115,63.8,60.84857,2.9514275,Macon,Macon County
17117,58.3,56.96619,1.3338089,Macoupin,Macoupin County
17119,56.6,54.212177,2.3878212,Madison,Madison County
17121,46.5,46.281555,0.21844482,Marion,Marion County
17123,53.8,54.987377,-1.1873779,Marshall,Marshall County
17125,55.4,53.437378,1.9626236,Mason,Mason County
17127,43.5,44.27156,-0.77156067,Massac,Massac County
17129,62.0,58.130474,3.869526,Menard,Menard County
17131,51.9,55.77806,-3.8780594,Mercer,Mercer County
17133,47.2,48.857758,-1.6577568,Monroe,Monroe County
17135,61.5,56.82408,4.6759186,Montgomery,Montgomery County
17137,64.1,58.35734,5.7426567,Morgan,Morgan County
17139,59.3,58.012142,1.287857,Moultrie,Moultrie County
17141,59.9,56.531807,3.3681946,Ogle,Ogle County
17143,55.4,54.218822,1.181179,Peoria,Peoria County
17145,35.6,42.28744,-6.687443,Perry,Perry County
17153,43.2,45.66901,-2.4690094,Pulaski,Pulaski County
17157,41.6,45.24748,-3.64748,Randolph,Randolph County
17163,53.2,52.742176,0.4578247,St. Clair,St. Clair County
17167,65.5,59.512787,5.987213,Sangamon,Sangamon County
17173,56.2,54.36389,1.8361092,Shelby,Shelby County
17175,58.8,57.707184,1.0928154,Stark,Stark County
17177,56.4,58.739548,-2.3395462,Stephenson,Stephenson County
17179,63.8,56.517567,7.2824326,Tazewell,Tazewell County
17181,34.0,42.142345,-8.142345,Union,Union County
17187,58.5,57.605156,0.89484406,Warren,Warren County
17189,43.9,46.909588,-3.0095863,Washington,Washington County
17191,43.4,44.035507,-0.6355057,Wayne,Wayne County
17193,46.6,47.052788,-0.4527893,White,White County
17197,47.8,48.222286,-0.422287,Will,Will County
17201,55.8,53.99054,1.8094597,Winnebago,Winnebago County
17203,61.4,55.416393,5.9836082,Woodford,Woodford County
18001,50.8,47.279167,3.520832,Adams,Adams County
18003,52.3,49.523876,2.776123,Allen,Allen County
18007,54.5,55.289467,-0.78946686,Benton,Benton County
18009,53.8,49.237236,4.562763,Blackford,Blackford County
18011,52.4,48.80375,3.5962524,Boone,Boone County
18015,58.7,58.00365,0.6963501,Carroll,Carroll County
18019,40.6,44.19206,-3.59206,Clark,Clark County
18021,48.4,48.423355,-0.023353577,Clay,Clay County
18025,46.3,39.298206,7.001793,Crawford,Crawford County
18027,53.5,47.65224,5.8477592,Daviess,Daviess County
18029,30.9,40.21601,-9.316011,Dearborn,Dearborn County
18031,53.9,52.16306,1.7369423,Decatur,Decatur County
18033,52.4,48.439674,3.9603271,DeKalb,DeKalb County
18035,48.8,47.559364,1.2406349,Delaware,Delaware County
18037,51.4,49.195587,2.2044144,Dubois,Dubois County
18039,48.3,50.109104,-1.8091049,Elkhart,Elkhart County
18041,51.5,53.297047,-1.7970467,Fayette,Fayette County
18043,37.1,44.155426,-7.0554276,Floyd,Floyd County
18047,41.6,46.263416,-4.663418,Franklin,Franklin County
18049,51.4,54.31241,-2.912407,Fulton,Fulton County
18051,55.0,49.854797,5.1452026,Gibson,Gibson County
18057,48.8,47.047146,1.7528534,Hamilton,Hamilton County
18059,42.3,45.570282,-3.2702827,Hancock,Hancock County
18061,43.6,45.25657,-1.6565704,Harrison,Harrison County
18063,53.1,51.92113,1.1788673,Hendricks,Hendricks County
18065,45.8,48.76618,-2.966179,Henry,Henry County
18067,55.4,53.60011,1.7998924,Howard,Howard County
18069,54.3,51.374672,2.9253273,Huntington,Huntington County
18075,49.3,46.90257,2.3974304,Jay,Jay County
18077,32.1,40.2421,-8.142101,Jefferson,Jefferson County
18079,45.7,42.588017,3.1119843,Jennings,Jennings County
18081,53.6,47.2451,6.3549004,Johnson,Johnson County
18085,49.0,53.735462,-4.735462,Kosciusko,Kosciusko County
18087,47.5,51.570724,-4.0707245,LaGrange,LaGrange County
18089,48.3,46.883156,1.4168434,Lake,Lake County
18091,50.1,52.844944,-2.7449455,LaPorte,LaPorte County
18095,47.6,48.011616,-0.41161728,Madison,Madison County
18097,47.6,42.327957,5.2720413,Marion,Marion County
18101,43.8,46.36581,-2.5658112,Martin,Martin County
18103,49.1,49.75731,-0.6573105,Miami,Miami County
18107,58.5,54.661663,3.838337,Montgomery,Montgomery County
18111,52.0,52.056374,-0.056373596,Newton,Newton County
18113,54.3,53.520332,0.7796669,Noble,Noble County
18115,30.8,46.347782,-15.547783,Ohio,Ohio County
18117,56.6,49.369534,7.230465,Orange,Orange County
18121,52.3,52.7459,-0.44589996,Parke,Parke County
18123,47.2,44.560516,2.6394844,Perry,Perry County
18125,51.8,45.48091,6.319088,Pike,Pike County
18127,52.1,54.510014,-2.410015,Porter,Porter County
18129,56.3,53.389965,2.9100342,Posey,Posey County
18131,44.3,51.03739,-6.7373924,Pulaski,Pulaski County
18133,58.8,55.075745,3.7242546,Putnam,Putnam County
18135,50.9,47.188473,3.7115288,Randolph,Randolph County
18137,42.2,41.711147,0.48885345,Ripley,Ripley County
18139,56.9,55.442604,1.4573975,Rush,Rush County
18141,47.3,49.227432,-1.927433,St. Joseph,St. Joseph County
18145,51.8,53.11318,-1.313179,Shelby,Shelby County
18147,53.3,51.806293,1.4937057,Spencer,Spencer County
18153,50.4,48.721672,1.6783295,Sullivan,Sullivan County
18157,54.7,53.22969,1.4703102,Tippecanoe,Tippecanoe County
18159,56.4,54.254498,2.145504,Tipton,Tipton County
18161,51.0,55.11405,-4.114052,Union,Union County
18163,60.9,54.189568,6.710434,Vanderburgh,Vanderburgh County
18165,51.4,54.986797,-3.5867958,Vermillion,Vermillion County
18167,49.3,48.583622,0.71637726,Vigo,Vigo County
18169,53.1,51.21463,1.8853683,Wabash,Wabash County
18171,60.7,57.838245,2.8617554,Warren,Warren County
18173,53.6,50.430775,3.1692238,Warrick,Warrick County
18175,44.1,44.980423,-0.8804245,Washington,Washington County
18177,50.1,50.155212,-0.05521393,Wayne,Wayne County
18181,52.8,52.93793,-0.13793182,White,White County
18183,53.2,53.22845,-0.028450012,Whitley,Whitley County
19001,53.3,53.160053,0.13994598,Adair,Adair County
19009,58.9,59.769863,-0.8698616,Audubon,Audubon County
19011,57.9,57.082558,0.81744385,Benton,Benton County
19013,51.9,55.62122,-3.721218,Black Hawk,Black Hawk County
19015,53.2,54.971226,-1.771225,Boone,Boone County
19017,52.5,56.65275,-4.152748,Bremer,Bremer County
19019,55.2,55.02502,0.17498016,Buchanan,Buchanan County
19021,53.5,51.69843,1.8015709,Buena Vista,Buena Vista County
19023,55.0,55.301495,-0.3014946,Butler,Butler County
19025,55.1,53.823624,1.2763748,Calhoun,Calhoun County
19027,58.8,60.55897,-1.7589722,Carroll,Carroll County
19029,56.9,57.991886,-1.0918846,Cass,Cass County
19033,52.7,52.336475,0.3635254,Cerro Gordo,Cerro Gordo County
19035,58.8,57.134686,1.6653137,Cherokee,Cherokee County
19037,54.5,52.85164,1.6483612,Chickasaw,Chickasaw County
19041,50.9,49.615,1.2849998,Clay,Clay County
19043,56.4,57.388813,-0.9888115,Clayton,Clayton County
19045,59.5,54.601604,4.8983955,Clinton,Clinton County
19047,61.9,59.780243,2.1197586,Crawford,Crawford County
19049,54.4,57.44783,-3.0478287,Dallas,Dallas County
19051,54.6,49.830498,4.7695007,Davis,Davis County
19057,55.1,52.070385,3.0296135,Des Moines,Des Moines County
19059,51.3,48.71494,2.5850601,Dickinson,Dickinson County
19061,60.2,58.005905,2.1940956,Dubuque,Dubuque County
19065,55.5,55.97335,-0.47335052,Fayette,Fayette County
19067,54.3,52.690384,1.6096153,Floyd,Floyd County
19069,54.1,55.819798,-1.719799,Franklin,Franklin County
19073,54.2,56.816235,-2.6162338,Greene,Greene County
19075,56.3,59.113388,-2.8133888,Grundy,Grundy County
19077,54.2,55.175552,-0.9755516,Guthrie,Guthrie County
