,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
722,39085,3.4010282,3.14964,50.535336,46.800003,0.36406544,3.7353325,"Lake County, OH"
723,39087,3.3004084,3.27078,49.040245,48.600002,0.39714137,0.44024277,"Lawrence County, OH"
724,39089,3.9123006,3.67458,58.13225,54.600002,0.1709754,3.5322495,"Licking County, OH"
725,39091,3.8548374,3.97743,57.278416,59.100002,0.16505764,-1.8215866,"Logan County, OH"
726,39093,3.7178736,3.37846,55.243294,50.2,0.18525557,5.043293,"Lorain County, OH"
727,39095,3.5637598,3.50633,52.953342,52.100002,0.20161259,0.85334015,"Lucas County, OH"
728,39097,3.762888,3.67458,55.912155,54.600002,0.1606189,1.3121529,"Madison County, OH"
729,39099,3.4180226,3.37173,50.787857,50.100002,0.24648811,0.68785477,"Mahoning County, OH"
730,39101,4.0431776,3.97743,60.076935,59.100002,0.14772342,0.9769325,"Marion County, OH"
731,39103,3.5261807,3.64093,52.39496,54.1,0.21161203,-1.70504,"Medina County, OH"
732,39105,3.4466696,3.27751,51.213516,48.7,0.3856097,2.5135155,"Meigs County, OH"
733,39107,4.031931,4.038,59.90982,60.000004,0.1570761,-0.09018326,"Mercer County, OH"
734,39109,4.1436577,4.12549,61.56995,61.300003,0.17300497,0.26994705,"Miami County, OH"
735,39113,3.79535,3.42557,56.394505,50.9,0.20101494,5.494503,"Montgomery County, OH"
736,39115,3.421413,2.94774,50.83823,43.800003,0.34013695,7.038227,"Morgan County, OH"
737,39117,3.7814183,3.81591,56.187492,56.7,0.16800162,-0.5125084,"Morrow County, OH"
738,39119,3.7999234,4.00435,56.46246,59.500004,0.23019803,-3.0375443,"Muskingum County, OH"
739,39123,3.4866686,3.40538,51.807854,50.600002,0.1888662,1.2078514,"Ottawa County, OH"
740,39125,3.4307747,3.35827,50.977337,49.899998,0.17794386,1.0773392,"Paulding County, OH"
741,39127,3.821817,3.58036,56.78777,53.2,0.22289172,3.5877686,"Perry County, OH"
742,39129,3.79565,3.64093,56.39896,54.1,0.16428338,2.2989616,"Pickaway County, OH"
743,39131,3.7717438,3.41211,56.043743,50.7,0.2877806,5.3437424,"Pike County, OH"
744,39133,3.4855938,3.39192,51.791885,50.4,0.270172,1.3918839,"Portage County, OH"
745,39135,4.0354815,4.11876,59.962578,61.2,0.16340995,-1.237423,"Preble County, OH"
746,39137,3.8473291,3.58036,57.16685,53.2,0.17090648,3.9668503,"Putnam County, OH"
747,39139,3.65441,3.48614,54.300297,51.8,0.1777642,2.5002975,"Richland County, OH"
748,39141,3.8478308,3.73515,57.174305,55.500004,0.1991213,1.6743011,"Ross County, OH"
749,39143,3.6170144,3.35154,53.744644,49.800003,0.17722428,3.944641,"Sandusky County, OH"
750,39145,3.7172294,3.57363,55.23372,53.100002,0.2514693,2.1337166,"Scioto County, OH"
751,39147,3.7149067,3.67458,55.199207,54.600002,0.16778031,0.599205,"Seneca County, OH"
752,39149,4.0778985,3.7015,60.592846,55.0,0.14878833,5.592846,"Shelby County, OH"
753,39151,3.407863,3.17656,50.636894,47.2,0.23221894,3.4368935,"Stark County, OH"
754,39153,2.9596763,2.75257,43.97736,40.899998,0.34493038,3.077362,"Summit County, OH"
755,39155,3.5751214,3.45922,53.12216,51.399998,0.23741883,1.7221642,"Trumbull County, OH"
756,39157,3.4607062,3.33135,51.422085,49.5,0.2617405,1.9220848,"Tuscarawas County, OH"
757,39159,3.8381557,3.80918,57.03055,56.600002,0.16423415,0.4305458,"Union County, OH"
758,39161,3.9534879,3.78226,58.744247,56.2,0.15780668,2.5442467,"Van Wert County, OH"
759,39163,3.6497617,3.39192,54.231228,50.4,0.3233266,3.8312263,"Vinton County, OH"
760,39165,3.7144394,3.6342,55.192265,54.000004,0.20972069,1.1922607,"Warren County, OH"
761,39167,3.5361135,3.74188,52.54255,55.6,0.34764445,-3.0574493,"Washington County, OH"
762,39169,3.62637,3.62074,53.883656,53.8,0.18735638,0.08365631,"Wayne County, OH"
763,39171,3.4729016,3.14291,51.603294,46.7,0.1781075,4.9032936,"Williams County, OH"
764,39175,3.926175,4.02454,58.338413,59.8,0.1595373,-1.461586,"Wyandot County, OH"
765,46003,3.065864,3.35827,45.555187,49.899998,0.31704032,-4.3448105,"Aurora County, SD"
766,46005,3.0647352,3.28424,45.538414,48.8,0.19693473,-3.2615852,"Beadle County, SD"
767,46009,3.4838,3.31789,51.76523,49.3,0.3667444,2.465229,"Bon Homme County, SD"
768,46011,3.4864004,3.57363,51.80387,53.100002,0.12224689,-1.2961311,"Brookings County, SD"
769,46013,2.6039462,2.77276,38.691624,41.2,0.14409843,-2.508377,"Brown County, SD"
770,46015,3.176841,3.45922,47.204178,51.399998,0.3389961,-4.19582,"Brule County, SD"
771,46017,3.0277872,3.27078,44.98941,48.600002,0.3526655,-3.610592,"Buffalo County, SD"
772,46019,1.9385891,2.40934,28.805187,35.8,0.4258582,-6.994812,"Butte County, SD"
773,46021,2.432073,2.28147,36.137787,33.9,0.17640465,2.2377853,"Campbell County, SD"
774,46023,3.2588716,3.21021,48.423054,47.7,0.40420356,0.723053,"Charles Mix County, SD"
775,46025,2.881712,3.20348,42.8189,47.600002,0.14763369,-4.781101,"Clark County, SD"
776,46027,3.6581626,3.48614,54.356056,51.8,0.39398643,2.556057,"Clay County, SD"
777,46029,2.952683,3.15637,43.873447,46.899998,0.13800329,-3.0265503,"Codington County, SD"
778,46031,2.3758843,2.11322,35.302887,31.4,0.2230094,3.9028873,"Corson County, SD"
779,46035,3.1095514,3.15637,46.20433,46.899998,0.41398144,-0.69566727,"Davison County, SD"
780,46037,2.4660096,2.71892,36.642044,40.4,0.16035262,-3.7579575,"Day County, SD"
781,46039,3.2088404,3.35827,47.67965,49.899998,0.13001505,-2.2203484,"Deuel County, SD"
782,46043,3.414042,3.51979,50.728706,52.3,0.35470024,-1.5712929,"Douglas County, SD"
783,46045,2.3154154,2.51702,34.40439,37.4,0.16331692,-2.995613,"Edmunds County, SD"
784,46049,2.596211,2.92082,38.576687,43.4,0.16232891,-4.8233147,"Faulk County, SD"
785,46051,3.018126,2.94774,44.845856,43.800003,0.17258252,1.0458527,"Grant County, SD"
786,46053,3.0728593,2.81987,45.659126,41.9,0.42996496,3.7591248,"Gregory County, SD"
787,46055,1.763453,1.44022,26.202868,21.4,0.43164602,4.802868,"Haakon County, SD"
788,46057,3.3971245,3.47268,50.477333,51.600002,0.11930653,-1.1226692,"Hamlin County, SD"
789,46059,2.8450358,3.0285,42.273933,45.0,0.19486335,-2.7260666,"Hand County, SD"
790,46061,3.1654286,3.14964,47.034603,46.800003,0.3254706,0.23460007,"Hanson County, SD"
791,46065,2.8783736,2.84006,42.769295,42.2,0.3420488,0.569294,"Hughes County, SD"
792,46067,3.2884336,2.93428,48.862312,43.6,0.37839967,5.262314,"Hutchinson County, SD"
793,46071,1.8050282,1.02969,26.820627,15.3,0.59580326,11.520627,"Jackson County, SD"
794,46073,3.0946414,3.25059,45.982784,48.300003,0.29119685,-2.3172188,"Jerauld County, SD"
795,46075,2.2878385,2.21417,33.99463,32.9,0.45735192,1.0946274,"Jones County, SD"
796,46077,3.2254822,3.35827,47.92693,49.899998,0.14260249,-1.9730682,"Kingsbury County, SD"
797,46079,3.3501024,3.51979,49.77864,52.3,0.15728556,-2.5213585,"Lake County, SD"
798,46083,3.5344281,3.14291,52.517506,46.7,0.2809733,5.817505,"Lincoln County, SD"
799,46085,2.9329584,2.65835,43.580364,39.5,0.52024835,4.080364,"Lyman County, SD"
800,46087,3.2618554,3.14964,48.467392,46.800003,0.2509987,1.6673889,"McCook County, SD"
801,46089,2.2036638,2.50356,32.743893,37.2,0.17558669,-4.456108,"McPherson County, SD"
802,46091,2.58777,2.8939,38.451263,43.0,0.15935439,-4.5487366,"Marshall County, SD"
803,46095,2.5977144,1.85748,38.599026,27.6,0.47940812,10.999025,"Mellette County, SD"
804,46097,2.974091,3.11599,44.191547,46.3,0.21804735,-2.1084518,"Miner County, SD"
805,46099,3.6064014,3.66112,53.586945,54.4,0.18582323,-0.81305695,"Minnehaha County, SD"
806,46101,3.7038765,4.01781,55.035313,59.699997,0.13765268,-4.6646843,"Moody County, SD"
807,46103,1.4743264,0.46437,21.906782,6.9,0.54065084,15.006783,"Pennington County, SD"
808,46107,2.578235,2.78622,38.30958,41.4,0.1614539,-3.0904198,"Potter County, SD"
809,46109,2.9452744,2.92082,43.763363,43.4,0.14825779,0.36336136,"Roberts County, SD"
810,46111,2.9764926,2.95447,44.22723,43.899998,0.28972605,0.32723236,"Sanborn County, SD"
811,46115,2.777231,3.18329,41.266434,47.3,0.15857328,-6.0335655,"Spink County, SD"
812,46119,2.6992881,2.86698,40.108295,42.600002,0.20058425,-2.4917068,"Sully County, SD"
813,46123,3.2148545,2.90736,47.769012,43.2,0.4427417,4.5690117,"Tripp County, SD"
814,46125,3.49257,3.33135,51.895542,49.5,0.32152653,2.3955421,"Turner County, SD"
815,46127,3.84648,3.54671,57.154232,52.7,0.29389334,4.4542313,"Union County, SD"
816,46129,2.58365,2.51029,38.390045,37.3,0.16910702,1.0900459,"Walworth County, SD"
817,46135,3.4154625,3.22367,50.749813,47.9,0.38954315,2.8498116,"Yankton County, SD"
818,55001,3.228568,3.03523,47.972782,45.1,0.20865665,2.8727837,"Adams County, WI"
819,55005,3.388037,3.2977,50.342304,49.0,0.17000161,1.3423042,"Barron County, WI"
820,55007,2.760927,1.95843,41.024174,29.1,0.31706777,11.924173,"Bayfield County, WI"
821,55009,3.3734517,3.27078,50.125584,48.600002,0.18830152,1.5255814,"Brown County, WI"
822,55011,3.6586933,3.49287,54.36394,51.9,0.16659652,2.4639397,"Buffalo County, WI"
823,55013,3.3096519,2.83333,49.17759,42.1,0.19361144,7.077591,"Burnett County, WI"
824,55015,3.567432,3.53325,53.007904,52.500004,0.17165315,0.50790024,"Calumet County, WI"
825,55017,3.5038466,3.37173,52.0631,50.100002,0.17144231,1.9630966,"Chippewa County, WI"
826,55019,3.5375838,3.58709,52.564396,53.3,0.18102072,-0.73560333,"Clark County, WI"
827,55021,3.8337803,3.38519,56.965534,50.3,0.15790778,6.665535,"Columbia County, WI"
828,55023,3.4597898,3.25732,51.408466,48.399998,0.19905601,3.0084686,"Crawford County, WI"
829,55025,3.7449517,3.7015,55.64564,55.0,0.17205529,0.6456413,"Dane County, WI"
830,55027,3.914236,3.99089,58.16101,59.3,0.14537123,-1.1389885,"Dodge County, WI"
831,55029,3.2211094,2.97466,47.861954,44.2,0.24103029,3.661953,"Door County, WI"
832,55033,3.5308008,2.90063,52.463608,43.100002,0.15907086,9.3636055,"Dunn County, WI"
833,55035,3.4766498,3.25732,51.658985,48.399998,0.16752583,3.2589874,"Eau Claire County, WI"
834,55039,3.814705,3.69477,56.682095,54.9,0.153504,1.782093,"Fond du Lac County, WI"
835,55043,4.0189114,4.15914,59.716366,61.800003,0.17031394,-2.0836372,"Grant County, WI"
836,55045,3.891129,3.91013,57.81767,58.100002,0.17595051,-0.28233337,"Green County, WI"
837,55047,3.692297,3.23713,54.863255,48.1,0.15761216,6.763256,"Green Lake County, WI"
838,55049,3.7723384,4.1053,56.052578,61.0,0.18170452,-4.947422,"Iowa County, WI"
839,55053,3.492369,3.23713,51.892555,48.1,0.17068788,3.7925568,"Jackson County, WI"
840,55055,3.7189918,3.68804,55.259907,54.8,0.16013558,0.45990753,"Jefferson County, WI"
841,55057,3.4027557,3.06215,50.56101,45.5,0.18770614,5.0610085,"Juneau County, WI"
842,55059,3.6306477,3.59382,53.947216,53.4,0.17599085,0.5472145,"Kenosha County, WI"
843,55061,3.42688,3.21021,50.919464,47.7,0.18597503,3.2194633,"Kewaunee County, WI"
844,55063,3.6177502,3.46595,53.755573,51.5,0.18084502,2.2555733,"La Crosse County, WI"
845,55065,4.0761857,4.48891,60.567394,66.700005,0.16828385,-6.1326103,"Lafayette County, WI"
846,55067,2.7959137,2.83333,41.544037,42.1,0.24927583,-0.5559616,"Langlade County, WI"
847,55069,2.9149392,3.01504,43.31262,44.8,0.2724045,-1.487381,"Lincoln County, WI"
848,55071,3.435546,3.54671,51.048233,52.7,0.17746533,-1.6517677,"Manitowoc County, WI"
849,55073,3.293491,3.04869,48.937458,45.300003,0.20581768,3.637455,"Marathon County, WI"
850,55075,3.0610783,2.57086,45.484077,38.2,0.24647646,7.2840767,"Marinette County, WI"
851,55077,2.9398298,2.81314,43.682465,41.8,0.18077166,1.8824654,"Marquette County, WI"
852,55079,3.2942038,3.41211,48.94805,50.7,0.21824099,-1.7519493,"Milwaukee County, WI"
853,55081,3.461617,3.00158,51.435616,44.600002,0.19141774,6.8356133,"Monroe County, WI"
854,55083,3.2544906,3.06215,48.35796,45.5,0.20511848,2.8579597,"Oconto County, WI"
855,55087,3.4285102,3.48614,50.943687,51.8,0.1718317,-0.8563118,"Outagamie County, WI"
856,55089,3.36497,3.39865,49.999554,50.5,0.1813417,-0.5004463,"Ozaukee County, WI"
857,55091,3.7762785,3.35827,56.111122,49.899998,0.15425614,6.2111244,"Pepin County, WI"
