,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,3.1652865,3.76207,47.03249,55.9,0.22170566,-8.867512
1,17003,2.4308758,2.84679,36.12,42.300003,0.24900037,-6.180004
2,17005,2.9270663,3.66785,43.492813,54.5,0.20293118,-11.007187
3,17007,3.5223374,3.19002,52.337852,47.4,0.17164405,4.937851
4,17009,2.963625,3.84283,44.036034,57.1,0.22326231,-13.063965
5,17011,3.6071439,3.97743,53.597977,59.100002,0.20483075,-5.5020256
6,17013,3.190261,3.60728,47.40358,53.600002,0.18406352,-6.1964226
7,17015,3.8101082,4.32739,56.613792,64.3,0.18629086,-7.6862106
8,17017,3.4135137,4.23317,50.720856,62.9,0.23817383,-12.179146
9,17019,3.749364,4.32739,55.711205,64.3,0.21396062,-8.5887985
10,17021,3.6060767,4.41488,53.582123,65.6,0.20183983,-12.017876
11,17023,3.308622,3.80245,49.16229,56.5,0.2038159,-7.3377113
12,17025,2.8024478,2.98139,41.64113,44.3,0.2221937,-2.6588707
13,17027,2.829186,3.41884,42.038425,50.8,0.20906112,-8.761574
14,17029,3.4211369,4.32739,50.83413,64.3,0.20027736,-13.465874
15,17033,2.9994907,3.54671,44.56896,52.7,0.22406492,-8.1310425
16,17035,3.2080307,3.64093,47.667618,54.1,0.19301577,-6.4323807
17,17037,3.6617374,3.60728,54.409176,53.600002,0.16729054,0.8091736
18,17039,3.7863503,4.43507,56.260777,65.9,0.21338648,-9.639225
19,17041,3.6652966,4.28701,54.46206,63.700005,0.20025162,-9.237946
20,17045,3.5396543,4.35431,52.59516,64.700005,0.20464861,-12.104843
21,17047,2.9277177,3.74188,43.50249,55.6,0.20780963,-12.097507
22,17049,3.046606,3.72169,45.269035,55.3,0.20206912,-10.030964
23,17051,2.9513116,3.60055,43.85307,53.5,0.20195723,-9.646931
24,17053,3.496797,4.19952,51.95835,62.4,0.2424652,-10.44165
25,17055,2.5658364,3.12272,38.125355,46.4,0.21045087,-8.274647
26,17057,3.0969315,4.04473,46.01681,60.100002,0.24596034,-14.083191
27,17059,3.0551295,3.66785,45.395683,54.5,0.17821857,-9.104317
28,17061,3.4496698,4.30047,51.258095,63.899998,0.18593813,-12.641903
29,17063,3.455803,3.85629,51.349228,57.300003,0.2222454,-5.950775
30,17065,2.7078953,3.45249,40.236187,51.300003,0.2131021,-11.063816
31,17067,3.415062,4.44853,50.743862,66.100006,0.23454349,-15.356144
32,17071,3.5315003,4.14568,52.474003,61.6,0.22676286,-9.125996
33,17073,3.6762714,3.96397,54.625134,58.9,0.21867158,-4.274868
34,17075,3.4888654,3.84283,51.840496,57.1,0.23116699,-5.2595024
35,17077,2.574462,3.37173,38.25352,50.100002,0.22737725,-11.846481
36,17079,3.0815325,3.67458,45.788002,54.600002,0.21223,-8.812
37,17081,2.6128454,2.75257,38.823856,40.899998,0.23845154,-2.0761414
38,17083,3.3292532,3.82937,49.468845,56.9,0.18870336,-7.431156
39,17085,3.376586,3.59382,50.172153,53.4,0.21148928,-3.227848
40,17087,2.7039404,3.2304,40.17742,48.0,0.24226025,-7.8225784
41,17089,3.5185962,3.60728,52.28226,53.600002,0.17744601,-1.3177414
42,17091,3.3613448,3.51306,49.94569,52.2,0.2388854,-2.2543106
43,17093,3.2969103,3.96397,48.988266,58.9,0.20194584,-9.911736
44,17095,3.6168852,4.28701,53.74272,63.700005,0.23578694,-9.957283
45,17099,3.5370579,4.09184,52.55658,60.8,0.20347491,-8.24342
46,17101,2.9425077,3.4323,43.722256,51.0,0.22782789,-7.2777443
47,17103,3.5836658,3.99762,53.249123,59.4,0.19089316,-6.150879
48,17105,3.4741654,3.95724,51.622074,58.800003,0.25541663,-7.177929
49,17107,3.721685,4.35431,55.299927,64.700005,0.2211901,-9.400078
50,17109,3.4883618,4.35431,51.833015,64.700005,0.24986513,-12.866989
51,17111,3.3572607,3.17656,49.885002,47.2,0.17783786,2.6850014
52,17113,3.7563128,4.49564,55.814457,66.799995,0.23376441,-10.9855385
53,17115,3.7229595,4.45526,55.318863,66.2,0.21747264,-10.881134
54,17117,3.376029,4.12549,50.16388,61.300003,0.1888812,-11.136124
55,17119,3.2170682,3.81591,47.801907,56.7,0.19117513,-8.898094
56,17121,2.7922568,3.08907,41.4897,45.9,0.21983618,-4.410301
57,17123,3.5171576,4.04473,52.260887,60.100002,0.22793211,-7.839115
58,17125,3.1638103,4.17933,47.010555,62.1,0.27625325,-15.089443
59,17129,3.5954509,4.30047,53.424232,63.899998,0.22259219,-10.475765
60,17131,3.6766653,4.038,54.630985,60.000004,0.22293888,-5.3690186
61,17133,2.7512612,2.92082,40.880554,43.4,0.243787,-2.5194473
62,17135,3.3754025,4.16587,50.154568,61.900005,0.18719414,-11.745438
63,17137,3.5078158,4.05146,52.122078,60.199997,0.22759381,-8.077919
64,17139,3.5949192,4.46872,53.416332,66.4,0.19632173,-12.983669
65,17141,3.6256456,3.7015,53.872894,55.0,0.19156106,-1.1271057
66,17143,3.4012947,4.30047,50.5393,63.899998,0.25434652,-13.360699
67,17145,2.548215,2.87371,37.86352,42.7,0.22523703,-4.836479
68,17147,3.8474793,4.67062,57.169083,69.4,0.20173417,-12.230919
69,17149,3.2610722,3.88321,48.455753,57.7,0.20012134,-9.244247
70,17151,2.6213255,3.00158,38.94986,44.600002,0.2342782,-5.6501427
71,17153,2.8791375,2.99485,42.780647,44.5,0.18833534,-1.7193527
72,17155,3.4936886,3.84956,51.912163,57.2,0.20563465,-5.287838
73,17157,2.6636252,2.98812,39.578384,44.4,0.21570921,-4.821617
74,17159,2.882741,3.28424,42.83419,48.8,0.22894478,-5.965809
75,17161,3.5059872,3.94378,52.094906,58.6,0.22115333,-6.5050926
76,17163,3.0301714,3.42557,45.024834,50.9,0.21261238,-5.875168
77,17165,2.8112993,3.35827,41.77265,49.899998,0.20441878,-8.127346
78,17167,3.6114564,4.73119,53.662056,70.3,0.22168502,-16.637947
79,17169,3.0944414,3.94378,45.979813,58.6,0.22712803,-12.620186
80,17171,3.3135757,4.23317,49.235897,62.9,0.22934781,-13.664104
81,17173,3.3204432,4.1053,49.337936,61.0,0.20519237,-11.662064
82,17175,3.6198845,4.34758,53.78729,64.6,0.22200382,-10.81271
83,17177,3.5779366,3.98416,53.163994,59.2,0.19684476,-6.036007
84,17179,3.593091,4.49564,53.389168,66.799995,0.25324032,-13.410828
85,17181,2.5582676,3.47268,38.012894,51.600002,0.23907119,-13.587109
86,17183,3.6151018,4.36777,53.716225,64.9,0.21001758,-11.183777
87,17185,3.196,3.66112,47.488857,54.4,0.20133212,-6.9111443
88,17187,3.721006,4.26009,55.289837,63.3,0.22520745,-8.010162
89,17189,2.6955323,3.25059,40.052486,48.300003,0.21791627,-8.247517
90,17191,2.7850409,3.19675,41.38248,47.5,0.22713079,-6.1175194
91,17193,2.9418707,3.55344,43.712788,52.800003,0.19586988,-9.087215
92,17195,3.6241627,3.95051,53.850857,58.7,0.21781753,-4.849144
93,17197,3.2755375,3.42557,48.670692,50.9,0.2376232,-2.229309
94,17199,2.524147,3.17656,37.5059,47.2,0.23725624,-9.694099
