,FIPS,y_test_pred,y_test
0,17001,14.975658,185.7
1,17005,13.826792,194.5
2,17007,14.659251,212.7
3,17009,14.907807,192.4
4,17011,15.620733,223.5
5,17013,13.340097,197.4
6,17015,14.934103,229.5
7,17017,16.860983,215.8
8,17019,19.582878,218.2
9,17021,17.704325,216.8
10,17023,17.356045,204.6
11,17025,13.20385,178.3
12,17027,13.403609,156.6
13,17029,17.64879,221.3
14,17033,14.4491825,194.3
15,17035,16.954576,206.6
16,17037,14.9892845,222.8
17,17041,18.635336,211.6
18,17045,16.293806,208.5
19,17047,11.569316,184.8
20,17049,17.844786,186.0
21,17051,13.152006,172.2
22,17053,18.189066,223.3
23,17055,10.7469015,173.7
24,17057,16.128798,201.2
25,17061,16.027967,203.6
26,17067,16.73295,204.2
27,17071,16.286009,229.7
28,17073,17.6776,223.5
29,17075,16.759779,216.5
30,17077,7.932558,165.2
31,17079,15.037098,191.8
32,17081,10.031469,155.7
33,17083,15.399693,201.9
34,17085,14.761152,211.2
35,17087,8.172808,159.6
36,17089,15.709369,209.1
37,17091,18.846628,207.5
38,17093,16.346815,206.2
39,17095,17.524002,219.0
40,17097,14.831839,192.9
41,17099,16.17335,199.7
42,17101,12.908056,186.3
43,17103,15.182073,207.7
44,17105,17.95524,220.1
45,17107,18.42362,211.1
46,17109,16.123508,224.2
47,17113,19.556894,223.3
48,17115,19.482718,225.3
49,17117,14.893875,199.3
50,17119,15.350534,189.3
51,17121,12.950652,157.8
52,17125,18.035864,208.1
53,17127,7.0918984,174.9
54,17129,17.48912,214.4
55,17131,18.508123,226.6
56,17133,11.122195,154.0
57,17135,14.806385,202.6
58,17137,17.005205,200.2
59,17139,18.259928,220.5
60,17141,15.999559,216.8
61,17143,18.462189,220.0
62,17145,9.751482,165.2
63,17147,19.995367,223.2
64,17149,14.737225,189.8
65,17151,9.505489,161.3
66,17153,10.3463545,161.7
67,17155,16.902355,213.7
68,17157,10.2795515,161.7
69,17159,11.996306,192.5
70,17161,18.821142,218.9
71,17163,14.0666895,174.0
72,17165,10.673704,170.3
73,17167,17.362858,221.1
74,17169,14.971552,188.8
75,17171,15.097353,196.3
76,17173,17.057411,196.6
77,17175,17.760532,234.1
78,17177,15.166303,217.0
79,17179,18.803457,222.0
80,17181,5.88419,142.3
81,17183,17.755304,204.2
82,17185,12.254189,184.1
83,17189,12.37378,178.6
84,17191,12.689672,185.1
85,17193,11.7734165,171.0
86,17195,15.212932,201.3
87,17197,17.665369,195.2
88,17199,8.732717,170.3
89,17201,15.738077,190.4
90,17203,16.447094,223.2
91,18001,13.017304,202.8
92,18003,13.377058,190.4
93,18005,12.250389,195.0
94,18007,16.509413,222.2
95,18009,15.013386,200.3
96,18011,17.553453,207.2
97,18013,6.5314384,183.5
98,18019,9.959125,188.9
99,18021,15.53639,194.3
100,18023,17.348978,234.4
101,18027,13.065432,213.9
102,18029,5.6896605,189.1
103,18031,13.993823,221.9
104,18035,14.865822,191.4
105,18039,15.192328,181.7
106,18041,13.861093,208.0
107,18047,9.152619,198.4
108,18051,13.888573,202.5
109,18053,15.362799,219.2
110,18055,10.23489,189.6
111,18057,16.397903,205.8
112,18059,14.006838,206.9
113,18061,9.910017,188.3
114,18063,16.718924,222.0
115,18065,15.806978,197.4
116,18067,17.047174,215.6
117,18069,14.047039,211.7
118,18073,16.224743,200.1
119,18075,14.06135,198.7
120,18077,7.250634,182.9
121,18079,10.53303,191.9
122,18081,12.161959,224.4
123,18083,13.876647,202.0
124,18085,13.925594,198.0
125,18087,12.092115,182.4
126,18089,17.2397,207.5
127,18091,11.828569,177.4
128,18095,15.70733,207.6
129,18097,19.713873,185.9
130,18099,15.392198,196.9
131,18103,13.504424,202.0
132,18105,5.843064,182.6
133,18107,16.73587,228.0
134,18109,11.442838,200.0
135,18111,18.355581,219.3
136,18113,13.183095,195.3
137,18115,3.6490555,165.2
138,18119,8.186844,191.8
139,18125,10.345149,199.1
140,18127,14.9489765,201.7
141,18129,13.666717,198.8
142,18131,18.708927,197.1
143,18133,14.706909,202.3
144,18135,13.7925,193.2
145,18137,8.248536,180.9
146,18139,14.797152,221.5
147,18141,13.146404,184.1
148,18143,10.109688,192.6
149,18145,14.218058,200.6
150,18149,15.55134,189.0
151,18151,12.291412,182.8
152,18153,14.464483,199.2
153,18155,4.7335334,181.0
154,18157,16.985355,222.4
155,18159,15.585209,208.8
156,18161,14.50724,221.8
157,18163,14.54681,186.4
158,18167,15.37808,198.8
159,18169,13.968016,206.8
160,18173,10.539625,194.8
161,18177,14.41691,194.2
162,18179,14.76552,205.6
163,18181,18.686869,197.7
164,18183,12.283111,181.9
165,19005,14.684336,183.9
166,19007,8.958694,172.8
167,19009,13.681784,197.6
168,19011,15.677418,199.7
169,19015,15.4482765,226.5
170,19017,16.72748,199.9
171,19019,17.3431,190.7
172,19021,14.982441,212.0
173,19023,18.12323,183.1
174,19025,15.86564,201.6
175,19027,16.639788,196.7
176,19031,14.603073,205.7
177,19035,15.954611,211.7
178,19037,17.264387,198.9
179,19041,13.01815,203.9
180,19043,13.036627,201.1
181,19045,15.252737,198.0
182,19047,18.287874,187.9
183,19049,12.692962,210.9
184,19051,10.8909645,179.8
185,19053,9.820024,205.3
186,19055,14.729152,198.9
187,19057,14.78115,207.9
188,19059,15.191572,201.3
189,19061,15.192818,199.5
190,19065,14.02084,205.9
191,19067,17.656992,191.8
192,19069,17.360924,210.5
193,19071,16.54594,211.0
194,19073,16.4069,208.0
195,19075,16.868265,212.9
196,19079,15.362534,215.5
197,19081,16.228697,204.9
198,19083,16.400858,213.3
199,19085,13.358743,190.3
200,19087,12.758862,195.1
201,19089,16.841763,183.9
202,19091,15.290303,205.8
203,19093,18.287214,198.0
204,19095,14.870752,213.5
205,19097,13.311504,189.6
206,19099,16.109732,218.0
207,19101,11.982811,195.1
208,19103,15.28651,203.1
209,19105,13.587406,190.7
210,19107,12.801088,211.6
211,19111,11.977629,203.7
212,19113,16.79626,179.5
213,19117,9.864623,173.9
214,19119,17.103132,200.2
215,19121,10.949676,202.0
216,19123,14.680338,214.9
217,19125,14.174599,203.7
218,19127,18.009052,216.3
219,19129,16.512272,204.3
220,19131,15.850512,171.8
221,19133,16.538208,165.4
222,19135,10.725669,181.1
223,19137,14.21076,206.2
224,19139,17.239662,211.9
225,19141,14.594849,212.7
226,19143,15.589977,203.7
227,19145,13.3865185,206.6
228,19147,14.809119,211.7
229,19149,17.182646,205.7
230,19151,14.351634,218.1
231,19153,14.753701,206.4
232,19155,16.597155,198.5
233,19157,14.291026,204.9
234,19161,17.3569,199.1
235,19163,16.864641,210.1
236,19165,14.675674,196.0
237,19167,16.874586,211.4
238,19169,14.876436,211.4
239,19171,15.262595,197.4
240,19173,9.712727,192.9
241,19175,9.458815,217.0
242,19177,10.719959,189.3
243,19179,12.174159,202.9
244,19181,11.244867,199.2
245,19183,15.145025,188.3
246,19187,16.246332,212.8
247,19189,16.454393,211.3
248,19191,15.158459,195.3
249,19193,20.958986,168.3
250,19195,17.363852,187.6
251,19197,16.356752,202.5
252,20001,7.3504324,96.7
253,20005,14.061911,183.2
254,20009,20.613169,125.8
255,20011,7.0449605,116.0
256,20013,14.713535,188.6
257,20015,9.553122,97.0
258,20017,11.231194,110.1
259,20019,6.257457,92.2
260,20021,5.8080482,118.5
261,20023,10.0622635,112.7
262,20029,18.838612,69.5
263,20031,10.291155,91.8
264,20035,8.350524,110.9
265,20037,6.844895,112.7
266,20039,9.807433,103.5
267,20041,13.730624,104.9
268,20045,11.639943,131.8
269,20047,28.372974,157.3
270,20049,6.598611,98.9
271,20053,15.622517,97.3
272,20059,11.333715,117.2
273,20061,16.643755,124.4
274,20063,11.80368,57.6
275,20065,11.6407995,63.5
276,20067,29.316496,150.4
277,20069,31.288132,203.7
278,20073,5.8938823,66.3
279,20077,13.744585,101.6
280,20081,28.309578,184.5
281,20085,12.201621,170.7
282,20087,13.958801,185.3
283,20091,8.127939,135.6
284,20095,25.228224,136.0
285,20097,31.006275,139.8
286,20099,4.4187827,94.8
287,20101,13.595037,65.9
288,20103,11.6387825,161.4
289,20105,15.252005,68.0
290,20109,9.498896,84.6
291,20111,7.865437,93.7
292,20113,17.414856,93.7
293,20115,11.090904,90.6
294,20117,11.36722,135.8
295,20119,32.479973,211.1
296,20121,9.64394,137.0
297,20123,17.64317,61.5
298,20125,7.9118876,118.4
299,20127,8.6334095,83.8
300,20131,13.451971,169.5
301,20133,6.247763,86.7
302,20139,9.75215,101.1
303,20143,18.194,93.6
304,20151,31.752848,181.2
305,20153,6.815685,104.1
306,20155,25.241941,186.7
307,20159,18.006842,112.4
308,20161,15.740296,143.5
309,20163,11.384943,71.3
310,20167,19.260065,55.0
311,20169,16.20921,103.2
312,20173,17.280825,132.1
313,20175,34.65542,181.1
314,20177,14.345255,137.9
315,20179,14.162609,96.3
