,FIPS,y_test_pred,y_test
227,19145,24.644495,206.6
228,19147,25.00336,211.7
229,19149,27.844296,205.7
230,19151,25.14191,218.1
231,19153,24.19956,206.4
232,19155,25.574202,198.5
233,19157,23.35319,204.9
234,19161,27.289762,199.1
235,19163,23.305552,210.1
236,19165,22.333548,196.0
237,19167,28.130701,211.4
238,19169,24.1552,211.4
239,19171,23.212708,197.4
240,19173,19.748756,192.9
241,19175,19.119963,217.0
242,19177,18.771723,189.3
243,19179,20.592216,202.9
244,19181,21.021461,199.2
245,19183,23.028006,188.3
246,19187,26.295353,212.8
247,19189,26.858995,211.3
248,19191,22.000858,195.3
249,19193,30.128086,168.3
250,19195,25.348795,187.6
251,19197,25.226814,202.5
252,20001,19.613573,96.7
253,20005,26.62987,183.2
254,20009,31.533766,125.8
255,20011,18.723362,116.0
256,20013,27.106657,188.6
257,20015,20.568344,97.0
258,20017,22.743607,110.1
259,20019,17.253647,92.2
260,20021,17.73584,118.5
261,20023,16.055788,112.7
262,20029,29.847525,69.5
263,20031,21.646624,91.8
264,20035,19.826242,110.9
265,20037,19.252903,112.7
266,20039,16.451391,103.5
267,20041,23.508022,104.9
268,20045,22.910028,131.8
269,20047,38.46073,157.3
270,20049,18.38085,98.9
271,20053,25.108458,97.3
272,20059,22.647352,117.2
273,20061,28.929962,124.4
274,20063,18.526388,57.6
275,20065,17.335032,63.5
276,20067,36.064022,150.4
277,20069,38.863674,203.7
278,20073,16.731356,66.3
279,20077,24.360102,101.6
280,20081,35.824825,184.5
281,20085,23.333683,170.7
282,20087,26.530031,185.3
283,20091,18.517347,135.6
284,20095,36.812828,136.0
285,20097,40.373436,139.8
286,20099,15.489961,94.8
287,20101,21.100554,65.9
288,20103,23.419489,161.4
289,20105,24.069525,68.0
290,20109,14.613291,84.6
291,20111,19.867846,93.7
292,20113,29.567518,93.7
293,20115,21.113422,90.6
294,20117,20.241722,135.8
295,20119,40.64263,211.1
296,20121,20.04141,137.0
297,20123,26.524452,61.5
298,20125,20.008757,118.4
299,20127,17.555052,83.8
300,20131,23.807978,169.5
301,20133,18.58364,86.7
302,20139,20.541594,101.1
303,20143,29.60052,93.6
304,20151,42.23595,181.2
305,20153,12.682766,104.1
306,20155,37.51538,186.7
307,20159,28.627535,112.4
308,20161,26.578274,143.5
309,20163,16.629807,71.3
310,20167,27.701548,55.0
311,20169,26.052618,103.2
312,20173,31.491514,132.1
313,20175,42.427612,181.1
