,FIPS,pred,yield,uncertainty
563,38047,37.002647,39.1,2.9177492
564,17117,66.0672,63.7,2.804486
565,39051,58.52467,54.6,2.3099718
566,39017,52.841854,56.1,2.9653509
567,20123,13.380718,8.6,3.039079
568,20089,21.405605,23.5,3.4870782
570,29057,37.44161,37.4,3.2979078
571,29031,50.46414,49.4,3.0726147
572,38019,28.84657,23.7,3.1224234
573,17089,57.87874,60.8,2.3571904
574,46067,43.74638,40.9,2.7906892
575,55021,53.381634,58.9,2.68361
576,20159,18.519703,16.9,3.4825196
577,29187,47.544518,47.8,3.9688208
579,31003,60.39893,59.6,2.4544363
580,19035,61.302834,65.9,2.0663328
581,38055,30.717695,36.8,3.1978896
582,17125,61.226,68.1,2.8544288
583,39123,54.71628,55.6,2.4383287
584,18003,57.920986,56.3,2.313981
585,31039,53.820858,42.4,2.6585991
586,27035,26.772148,27.2,5.2920184
587,38091,41.01717,36.1,2.2444515
588,27001,32.528385,31.7,3.5151384
589,39159,58.43401,57.7,2.1659193
590,20167,15.014284,14.3,3.3321586
591,55067,39.346245,39.3,4.551432
592,18065,61.458477,61.0,2.2025926
593,18039,58.136738,53.1,2.5460558
594,31011,57.3737,52.3,2.5495012
595,19133,54.86213,50.9,2.6910644
596,29165,54.25778,48.1,3.3048625
597,19043,57.528027,53.6,2.205344
598,27071,36.198193,32.7,5.1133037
599,17171,64.27542,61.8,2.7808495
600,26125,46.305004,43.2,3.6928353
601,55103,44.688587,45.3,2.9600475
602,18101,61.2475,60.3,3.490103
604,31047,60.50363,63.6,2.8359232
605,19105,54.75748,54.5,2.1817582
606,26161,49.418343,52.5,2.430064
607,29186,48.882965,52.9,3.439737
608,55075,47.135784,47.1,3.8939447
609,18137,55.972603,51.7,2.3934433
610,31109,45.450336,39.9,2.9270833
612,31083,48.927734,53.2,2.8503046
613,26075,49.185345,43.5,2.5303552
614,19141,62.98517,65.4,1.8959252
615,17047,57.274128,55.7,2.705008
616,27079,53.656597,57.6,2.406925
617,17013,59.28463,59.7,3.157021
618,39169,55.513866,53.6,2.3017166
619,55111,46.516853,46.5,2.9040282
620,20019,18.950832,10.5,3.1271913
621,18173,57.76476,63.4,2.9308693
622,31145,43.168026,54.2,3.8402767
624,26111,52.78188,45.1,2.25131
625,19177,54.788647,59.3,2.7037303
626,17083,66.19225,64.0,2.885408
627,27115,35.854145,36.5,4.3039865
629,18145,61.669056,60.9,2.1430871
