,FIPS,pred,yield,uncertainty
313,26139,50.04581,48.0,2.862975
314,55045,50.635765,53.3,2.8039587
315,18051,61.97793,65.5,2.9473903
316,27143,49.99714,52.7,2.2950866
317,31053,58.40789,51.1,2.7934124
318,26045,50.610382,44.8,2.414906
319,27049,54.843445,55.6,2.5631516
320,18087,55.907444,53.6,2.4304793
321,31089,54.652836,65.0,2.666688
322,26017,53.54336,52.4,2.0428565
323,17053,63.773182,70.7,2.1512246
324,27085,49.852436,48.4,2.613535
325,17185,60.183857,60.2,2.912103
326,26147,48.088505,39.8,2.6048667
327,55117,52.49133,56.8,2.7886846
329,19191,55.051678,52.6,2.0889935
330,17025,57.630863,54.4,2.6742513
331,46003,34.38934,36.5,3.135853
332,27121,45.619175,48.1,3.055783
333,20061,25.980782,22.3,3.5990999
334,18159,66.51095,69.3,2.1076212
336,29003,60.19243,54.2,2.8564982
337,17061,67.0981,66.4,2.9454286
338,39059,50.86408,50.5,3.6190586
341,19007,51.111008,50.7,2.7261505
342,29039,23.986301,20.2,3.4860098
343,38027,38.205452,36.0,2.846073
344,17097,47.19889,53.4,3.5310402
345,39095,54.708317,55.6,2.798265
346,55029,46.320683,42.3,3.715812
347,20103,45.941227,37.7,3.4372313
348,29195,56.98867,56.8,2.8080032
350,46087,42.829544,43.9,2.7296798
351,38063,34.300472,30.6,3.0219052
352,17133,47.64371,46.5,2.8256483
353,39131,52.878414,53.0,3.2093828
354,20139,23.66248,22.0,3.7043421
356,18011,63.39948,64.4,2.1239798
357,29137,42.966843,45.3,2.8987782
358,19015,65.05169,69.1,2.2110612
359,38099,35.575527,30.7,3.2654226
360,39167,52.92971,54.7,3.9338202
361,20175,45.5202,51.4,4.7507424
362,18073,58.885723,59.5,2.2132373
363,27165,54.03872,56.4,2.1169248
364,18047,60.079433,57.9,2.4490376
365,31019,56.14508,55.5,2.7662117
366,26011,50.119503,44.5,2.441575
367,29173,47.372818,42.3,2.6761332
368,19051,47.810524,53.4,2.7104893
369,27015,51.164722,54.3,2.1498225
370,17179,65.59038,74.7,2.3947089
371,55047,50.247665,52.5,2.7203922
372,18109,64.1496,60.2,2.4209032
373,18019,56.4745,48.3,2.7946231
374,31055,46.018467,41.4,3.5706716
375,19113,51.86089,48.1,2.2526302
376,27051,43.798985,44.1,2.845064
377,55083,48.30785,47.5,3.6940312
378,18081,61.79282,66.4,2.6404717
379,27173,46.602715,49.1,2.7066145
380,19149,59.245216,60.1,2.1702313
381,17055,53.54793,50.1,2.706651
382,27087,42.651783,39.6,2.7786481
383,17021,68.937706,67.1,2.702209
384,55119,42.418102,45.8,4.2488837
385,20027,25.644928,21.8,3.2075984
386,31153,51.67567,45.7,3.3082328
388,26055,38.345264,41.1,4.012102
389,17027,57.94885,49.4,2.495872
390,18153,61.316044,66.1,2.7222161
