FIPS,yield,pred,error,NAME,NAMELSAD
39109,51.1,45.681408,5.4185905,Miami,Miami County
39113,47.7,40.116016,7.5839844,Montgomery,Montgomery County
39115,42.9,36.149136,6.750866,Morgan,Morgan County
39117,51.6,45.34346,6.2565384,Morrow,Morrow County
39119,44.3,42.356617,1.9433823,Muskingum,Muskingum County
39123,48.6,44.233112,4.366886,Ottawa,Ottawa County
39125,40.7,37.84289,2.857109,Paulding,Paulding County
39127,53.1,47.897865,5.202133,Perry,Perry County
39129,51.0,45.65026,5.349739,Pickaway,Pickaway County
39131,48.4,41.75451,6.6454926,Pike,Pike County
39133,49.3,43.91558,5.3844185,Portage,Portage County
39135,50.0,44.73458,5.265419,Preble,Preble County
39137,43.0,38.93633,4.063671,Putnam,Putnam County
39139,49.7,46.57423,3.1257706,Richland,Richland County
39141,42.0,41.536503,0.46349716,Ross,Ross County
39143,44.7,42.636295,2.0637054,Sandusky,Sandusky County
39145,45.2,45.89914,-0.69913864,Scioto,Scioto County
39147,43.2,41.35248,1.8475189,Seneca,Seneca County
39149,51.1,46.461037,4.638962,Shelby,Shelby County
39151,44.5,42.86409,1.63591,Stark,Stark County
39155,46.6,45.67454,0.925457,Trumbull,Trumbull County
39157,51.1,42.600044,8.499954,Tuscarawas,Tuscarawas County
39159,47.5,45.4149,2.0850983,Union,Union County
39161,43.8,43.285294,0.51470566,Van Wert,Van Wert County
39165,46.4,43.22554,3.1744614,Warren,Warren County
39167,44.2,38.363663,5.836338,Washington,Washington County
39169,55.1,48.183952,6.916046,Wayne,Wayne County
39171,42.7,38.51994,4.1800613,Williams,Williams County
39173,43.3,39.461933,3.838066,Wood,Wood County
39175,49.2,44.819443,4.380558,Wyandot,Wyandot County
46003,38.3,36.392395,1.9076042,Aurora,Aurora County
46005,32.9,32.550972,0.34902954,Beadle,Beadle County
46009,44.2,45.333,-1.1329994,Bon Homme,Bon Homme County
46011,42.8,42.615578,0.18442154,Brookings,Brookings County
46013,36.5,29.569199,6.9308014,Brown,Brown County
46015,36.3,33.437202,2.8627968,Brule,Brule County
46017,40.3,31.583393,8.716606,Buffalo,Buffalo County
46021,24.9,19.433342,5.4666576,Campbell,Campbell County
46023,41.6,39.19519,2.404808,Charles Mix,Charles Mix County
46025,27.4,30.857609,-3.4576092,Clark,Clark County
46027,44.7,45.31909,-0.61909103,Clay,Clay County
46029,35.9,35.20429,0.69571304,Codington,Codington County
46031,18.8,17.043783,1.756216,Corson,Corson County
46035,43.8,41.49534,2.3046608,Davison,Davison County
46037,32.0,33.08493,-1.0849304,Day,Day County
46039,37.3,37.94457,-0.6445694,Deuel,Deuel County
46043,42.1,42.201893,-0.10189438,Douglas,Douglas County
46045,32.1,22.584429,9.51557,Edmunds,Edmunds County
46049,30.8,24.383942,6.4160576,Faulk,Faulk County
46051,36.1,39.28457,-3.1845703,Grant,Grant County
46053,34.3,35.94568,-1.6456795,Gregory,Gregory County
46057,37.0,38.640972,-1.6409721,Hamlin,Hamlin County
46059,31.2,29.261768,1.9382324,Hand,Hand County
46061,43.6,42.878876,0.72112274,Hanson,Hanson County
46065,36.2,29.220318,6.979683,Hughes,Hughes County
46067,44.2,44.582138,-0.3821373,Hutchinson,Hutchinson County
46069,29.1,24.590807,4.5091934,Hyde,Hyde County
