,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
0,17001,3.6099944,3.99089,53.640335,59.3,0.1506002,-5.659664
1,17005,3.7481399,4.5091,55.693016,67.0,0.15509742,-11.306984
2,17007,3.760685,4.05819,55.87942,60.3,0.13864608,-4.420578
3,17009,3.5298615,4.05819,52.44965,60.3,0.18621767,-7.8503494
4,17011,4.09688,4.61005,60.87489,68.5,0.149753,-7.6251106
5,17013,3.3699808,3.94378,50.07401,58.6,0.17154087,-8.52599
6,17015,3.983282,4.63697,59.186954,68.9,0.13800715,-9.713047
7,17017,3.9072895,4.83887,58.057793,71.9,0.17481586,-13.842209
8,17019,4.1787643,4.56967,62.091595,67.9,0.16704202,-5.808407
9,17021,4.1912966,4.95328,62.27781,73.6,0.16572697,-11.322189
10,17023,3.5706964,4.31393,53.05641,64.1,0.17660299,-11.043587
11,17025,3.4679308,3.93705,51.529434,58.500004,0.17254394,-6.9705696
12,17027,3.5890946,4.04473,53.32979,60.100002,0.15048386,-6.770214
13,17029,4.137125,5.04077,61.472885,74.9,0.16321084,-13.427116
14,17033,3.4693108,4.2399,51.54994,63.000004,0.17243907,-11.450066
15,17035,3.8011246,4.52256,56.480305,67.200005,0.16785732,-10.7197
16,17037,3.8925228,4.11203,57.83838,61.100002,0.13433449,-3.2616234
17,17039,4.2732763,5.0475,63.495934,75.0,0.16483682,-11.504066
18,17041,4.0831785,5.25613,60.671303,78.100006,0.1737218,-17.428703
19,17045,4.0321608,4.67735,59.913235,69.5,0.17157078,-9.586765
20,17047,3.1481304,2.96793,46.77757,44.100002,0.169801,2.6775665
21,17049,3.8050232,4.85233,56.538235,72.100006,0.16432206,-15.561771
22,17051,3.6212025,4.00435,53.806873,59.500004,0.16264,-5.6931305
23,17053,3.6023607,4.08511,53.526905,60.700005,0.2046972,-7.1730995
24,17055,3.1136942,3.19675,46.26589,47.5,0.15118945,-1.2341118
25,17057,3.848445,4.19952,57.183434,62.4,0.17176999,-5.216568
26,17059,3.0462656,3.365,45.263977,50.0,0.1568631,-4.736023
27,17061,3.6490884,4.71773,54.221226,70.1,0.17545058,-15.878773
28,17063,3.8282633,3.93705,56.883556,58.500004,0.16898376,-1.6164474
29,17065,3.245553,3.44576,48.225155,51.2,0.15981472,-2.974846
30,17067,3.90561,4.69754,58.03284,69.799995,0.16509263,-11.767155
31,17069,2.6393495,2.91409,39.217674,43.3,0.19310696,-4.082325
32,17071,3.9064507,4.05146,58.04533,60.199997,0.16831167,-2.154667
33,17073,4.0605116,4.25336,60.334496,63.199997,0.14666046,-2.8655014
34,17075,3.5842419,3.72169,53.25768,55.3,0.19122924,-2.0423203
35,17077,3.2872047,3.29097,48.84405,48.9,0.15072326,-0.055950165
36,17079,3.6509142,4.08511,54.248356,60.700005,0.16024202,-6.4516487
37,17081,3.2224197,3.45922,47.881424,51.399998,0.15453465,-3.5185738
38,17089,3.6689425,3.96397,54.51623,58.9,0.15240026,-4.38377
39,17091,3.3727856,3.64766,50.115685,54.2,0.20288497,-4.0843163
40,17093,3.6098733,4.09184,53.638535,60.8,0.15133564,-7.1614647
41,17095,4.1028233,4.31393,60.9632,64.1,0.15218583,-3.1367989
42,17097,3.211465,2.77949,47.718647,41.3,0.20775731,6.418648
43,17099,3.9070778,4.51583,58.05465,67.1,0.15321341,-9.045349
44,17101,3.2344708,3.64093,48.06049,54.1,0.16477454,-6.039509
45,17103,3.8935022,4.28701,57.852932,63.700005,0.14677091,-5.8470726
46,17105,3.6651616,4.1053,54.460052,61.0,0.209088,-6.5399475
47,17107,4.251089,4.71773,63.166256,70.1,0.17476557,-6.9337425
48,17109,4.190325,4.66389,62.26337,69.299995,0.15823886,-7.036625
49,17111,3.5826178,3.96397,53.233547,58.9,0.14670089,-5.6664543
50,17113,4.1373005,4.54275,61.47549,67.5,0.19718243,-6.0245094
51,17115,4.192186,5.06096,62.291023,75.2,0.17279404,-12.908974
52,17117,3.9070005,4.69081,58.0535,69.700005,0.17617102,-11.646503
53,17119,3.633276,4.20625,53.98627,62.500004,0.16361152,-8.513733
54,17121,3.5317974,4.07165,52.478416,60.5,0.15253653,-8.021584
55,17123,4.0037823,4.40815,59.491566,65.5,0.16824088,-6.0084343
56,17129,4.1554265,4.61678,61.744823,68.6,0.18030721,-6.855175
57,17131,3.8682747,4.25336,57.47808,63.199997,0.15354072,-5.721916
58,17133,3.4278536,3.64093,50.933933,54.1,0.16346805,-3.1660652
59,17135,3.9637442,4.9129,58.896645,73.0,0.17231375,-14.103355
60,17137,4.00793,5.37054,59.553192,79.8,0.17163083,-20.24681
61,17139,4.1474376,5.10807,61.626118,75.9,0.18200599,-14.273884
62,17141,3.9076881,4.32739,58.063717,64.3,0.13840798,-6.236286
63,17143,3.9591732,4.48218,58.828724,66.600006,0.17139268,-7.771282
64,17145,3.1626968,3.53325,46.99401,52.500004,0.14875704,-5.505993
65,17147,4.338109,5.20902,64.459274,77.4,0.1696922,-12.940727
66,17149,3.35114,4.11876,49.794056,61.2,0.17155376,-11.405945
67,17153,2.9853902,3.24386,44.35944,48.2,0.16124721,-3.840561
