,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre),county_state
0,17001,3.9267747,3.76207,58.34732,55.9,0.16272552,2.447319,"Adams County, IL"
1,17003,2.7358022,2.84679,40.65085,42.300003,0.17689334,-1.6491547,"Alexander County, IL"
2,17005,3.7203293,3.66785,55.27978,54.5,0.12805356,0.77978134,"Bond County, IL"
3,17007,3.475671,3.19002,51.644444,47.4,0.09112993,4.244442,"Boone County, IL"
4,17009,3.6876612,3.84283,54.794373,57.1,0.1564289,-2.305626,"Brown County, IL"
5,17011,4.197404,3.97743,62.368557,59.100002,0.0841106,3.2685547,"Bureau County, IL"
6,17013,3.8495567,3.60728,57.19995,53.600002,0.15218441,3.599949,"Calhoun County, IL"
7,17015,4.1551104,4.32739,61.740124,64.3,0.09695558,-2.5598793,"Carroll County, IL"
8,17017,3.7803328,4.23317,56.171364,62.9,0.1628852,-6.7286377,"Cass County, IL"
9,17019,3.995617,4.32739,59.370235,64.3,0.11743218,-4.9297676,"Champaign County, IL"
10,17021,4.1122212,4.41488,61.10284,65.6,0.122673266,-4.497158,"Christian County, IL"
11,17023,3.7658176,3.80245,55.955685,56.5,0.14683563,-0.54431534,"Clark County, IL"
12,17025,2.891905,2.98139,42.97036,44.3,0.16691287,-1.3296394,"Clay County, IL"
13,17027,3.3270903,3.41884,49.436707,50.8,0.1427904,-1.3632927,"Clinton County, IL"
14,17029,4.034789,4.32739,59.95229,64.3,0.13018413,-4.3477135,"Coles County, IL"
15,17033,3.4886496,3.54671,51.83729,52.7,0.1479098,-0.86270905,"Crawford County, IL"
16,17035,3.6651132,3.64093,54.459335,54.1,0.13269016,0.35933685,"Cumberland County, IL"
17,17037,3.872167,3.60728,57.535915,53.600002,0.08021948,3.935913,"DeKalb County, IL"
18,17039,4.0461783,4.43507,60.12152,65.9,0.12190164,-5.7784805,"De Witt County, IL"
19,17041,3.9302583,4.28701,58.399082,63.700005,0.11409823,-5.3009224,"Douglas County, IL"
20,17045,4.0029488,4.35431,59.47918,64.700005,0.1286894,-5.220825,"Edgar County, IL"
21,17047,3.3178165,3.74188,49.29891,55.6,0.14408232,-6.3010902,"Edwards County, IL"
22,17049,3.595724,3.72169,53.428295,55.3,0.14008234,-1.8717041,"Effingham County, IL"
23,17051,3.5496354,3.60055,52.74347,53.5,0.1349966,-0.75653076,"Fayette County, IL"
24,17053,3.894106,4.19952,57.8619,62.4,0.09719847,-4.538101,"Ford County, IL"
25,17055,2.9587414,3.12272,43.96347,46.4,0.16538717,-2.436531,"Franklin County, IL"
26,17057,3.8113477,4.04473,56.63221,60.100002,0.12704189,-3.4677925,"Fulton County, IL"
27,17059,3.4431014,3.66785,51.160496,54.5,0.14290014,-3.3395042,"Gallatin County, IL"
28,17061,3.9583101,4.30047,58.815903,63.899998,0.14107034,-5.084095,"Greene County, IL"
29,17063,3.8649404,3.85629,57.428535,57.300003,0.08912678,0.12853241,"Grundy County, IL"
30,17065,3.303,3.45249,49.07875,51.300003,0.1519311,-2.2212524,"Hamilton County, IL"
31,17067,4.2477417,4.44853,63.11652,66.100006,0.14224677,-2.9834862,"Hancock County, IL"
32,17071,4.10003,4.14568,60.92169,61.6,0.111290984,-0.6783066,"Henderson County, IL"
33,17073,4.123229,3.96397,61.266407,58.9,0.087812334,2.3664055,"Henry County, IL"
34,17075,3.7019048,3.84283,55.006016,57.1,0.08849844,-2.0939827,"Iroquois County, IL"
35,17077,3.123544,3.37173,46.412243,50.100002,0.16513772,-3.6877594,"Jackson County, IL"
36,17079,3.4957955,3.67458,51.94347,54.600002,0.1350693,-2.6565323,"Jasper County, IL"
37,17081,2.9018939,2.75257,43.11878,40.899998,0.16895176,2.2187805,"Jefferson County, IL"
38,17083,3.904718,3.82937,58.019585,56.9,0.14188069,1.1195831,"Jersey County, IL"
39,17085,3.7652097,3.59382,55.94665,53.4,0.10818932,2.54665,"Jo Daviess County, IL"
40,17087,2.7309573,3.2304,40.57886,48.0,0.1911144,-7.421139,"Johnson County, IL"
41,17089,3.7277439,3.60728,55.389954,53.600002,0.09671138,1.7899513,"Kane County, IL"
42,17091,3.6800864,3.51306,54.68182,52.2,0.09744147,2.4818192,"Kankakee County, IL"
43,17093,3.6319375,3.96397,53.96638,58.9,0.08997552,-4.9336205,"Kendall County, IL"
44,17095,4.238887,4.28701,62.984947,63.700005,0.102661185,-0.7150574,"Knox County, IL"
45,17099,3.9532158,4.09184,58.740208,60.8,0.08146857,-2.0597916,"LaSalle County, IL"
46,17101,3.147913,3.4323,46.774338,51.0,0.1462637,-4.225662,"Lawrence County, IL"
47,17103,3.9330132,3.99762,58.440018,59.4,0.0810178,-0.9599838,"Lee County, IL"
48,17105,3.9817917,3.95724,59.16481,58.800003,0.100951664,0.36480713,"Livingston County, IL"
49,17107,4.150635,4.35431,61.673622,64.700005,0.1185676,-3.0263824,"Logan County, IL"
50,17109,4.193636,4.35431,62.31257,64.700005,0.117441796,-2.387436,"McDonough County, IL"
51,17111,3.3739088,3.17656,50.132374,47.2,0.10368769,2.932373,"McHenry County, IL"
52,17113,4.196543,4.49564,62.35577,66.799995,0.11899739,-4.4442253,"McLean County, IL"
53,17115,3.976111,4.45526,59.080402,66.2,0.11232848,-7.1195946,"Macon County, IL"
54,17117,4.006116,4.12549,59.52624,61.300003,0.12125513,-1.7737617,"Macoupin County, IL"
55,17119,3.81527,3.81591,56.69049,56.7,0.14070158,-0.00951004,"Madison County, IL"
56,17121,3.2685397,3.08907,48.56671,45.9,0.14258724,2.66671,"Marion County, IL"
57,17123,4.0514965,4.04473,60.200542,60.100002,0.10052063,0.10054016,"Marshall County, IL"
58,17125,3.8102942,4.17933,56.616554,62.1,0.1512342,-5.483444,"Mason County, IL"
59,17129,4.0227475,4.30047,59.773365,63.899998,0.12701242,-4.1266327,"Menard County, IL"
60,17131,4.166029,4.038,61.902363,60.000004,0.10692691,1.902359,"Mercer County, IL"
61,17133,3.0612845,2.92082,45.48714,43.4,0.17922556,2.0871391,"Monroe County, IL"
62,17135,3.9568946,4.16587,58.79487,61.900005,0.11804488,-3.1051369,"Montgomery County, IL"
63,17137,3.915684,4.05146,58.182526,60.199997,0.14902006,-2.0174713,"Morgan County, IL"
64,17139,3.994201,4.46872,59.349197,66.4,0.11934558,-7.050804,"Moultrie County, IL"
65,17141,3.8758333,3.7015,57.59039,55.0,0.084223956,2.5903893,"Ogle County, IL"
66,17143,4.061083,4.30047,60.342983,63.899998,0.11882275,-3.5570145,"Peoria County, IL"
67,17145,2.9149845,2.87371,43.31329,42.7,0.15926906,0.6132889,"Perry County, IL"
68,17147,4.0609636,4.67062,60.341213,69.4,0.1084905,-9.058788,"Piatt County, IL"
69,17149,3.9758668,3.88321,59.076775,57.7,0.17295644,1.3767738,"Pike County, IL"
70,17151,2.7683728,3.00158,41.13481,44.600002,0.18128602,-3.465191,"Pope County, IL"
71,17153,3.0441728,2.99485,45.23288,44.5,0.15188487,0.73287964,"Pulaski County, IL"
72,17155,4.000334,3.84956,59.440323,57.2,0.09545908,2.240322,"Putnam County, IL"
73,17157,2.879658,2.98812,42.78838,44.4,0.16974199,-1.6116219,"Randolph County, IL"
74,17159,3.0729296,3.28424,45.66017,48.8,0.1550875,-3.1398277,"Richland County, IL"
75,17161,3.9044616,3.94378,58.015774,58.6,0.10659105,-0.5842247,"Rock Island County, IL"
76,17163,3.5028775,3.42557,52.0487,50.9,0.17018214,1.1486969,"St. Clair County, IL"
77,17165,3.1367905,3.35827,46.609074,49.899998,0.17268872,-3.290924,"Saline County, IL"
78,17167,4.0636244,4.73119,60.38075,70.3,0.12898271,-9.919254,"Sangamon County, IL"
