,FIPS,predicted_yield(t/ha),end_of_season_NASS_yield(t/ha),predicted_yield(bu/acre),end_of_season_NASS_yield(bu/acre),model_uncertainty,prediction_error(bu/acre)
83,18019,3.682796,3.40538,54.72208,50.600002,0.19432205,4.122078
84,18021,3.9654367,3.95051,58.921795,58.7,0.19846566,0.22179413
85,18023,4.332895,4.13895,64.3818,61.5,0.16092111,2.8817978
86,18027,3.9981833,4.58986,59.40837,68.2,0.21461429,-8.791626
87,18029,3.2252543,3.19675,47.923542,47.5,0.21584472,0.42354202
88,18031,4.103598,4.14568,60.974712,61.6,0.16518919,-0.6252861
89,18033,3.6743376,3.74188,54.596397,55.6,0.1669177,-1.0036011
90,18035,4.202738,4.09184,62.447815,60.8,0.14340365,1.6478157
91,18037,3.9179816,4.28028,58.216667,63.600002,0.22618239,-5.383335
92,18039,3.7528038,3.9034,55.762314,58.0,0.18089974,-2.2376862
93,18041,4.059814,3.9034,60.32413,58.0,0.16212524,2.324131
94,18047,3.7500262,3.60055,55.721043,53.5,0.16642876,2.2210426
95,18049,4.0304613,3.78899,59.887985,56.3,0.17269935,3.587986
96,18051,4.042155,4.35431,60.061737,64.700005,0.22115788,-4.6382675
97,18053,4.3461456,4.17933,64.57869,62.1,0.14643621,2.478691
98,18055,3.8335674,4.13222,56.962368,61.399998,0.20412469,-4.4376297
99,18057,3.9803832,4.14568,59.143883,61.6,0.1781635,-2.4561157
100,18059,3.9198804,3.86975,58.24488,57.5,0.165032,0.7448807
101,18061,3.5863304,3.7015,53.288715,55.0,0.19784074,-1.7112846
102,18063,4.17645,4.18606,62.057205,62.2,0.17883743,-0.14279556
103,18065,4.1212053,4.13222,61.236336,61.399998,0.16841388,-0.16366196
104,18067,4.3888965,4.46872,65.21391,66.4,0.15131643,-1.1860886
105,18069,4.184279,4.21298,62.17354,62.6,0.15088262,-0.42646027
106,18073,3.944483,3.91686,58.610447,58.2,0.20333602,0.41044617
107,18077,3.3874714,3.35154,50.3339,49.800003,0.20732252,0.5338974
108,18079,3.5386407,3.56017,52.5801,52.899998,0.1936124,-0.3198967
109,18081,3.911351,3.9034,58.11814,58.0,0.18482502,0.118141174
110,18083,4.086508,4.52256,60.72077,67.200005,0.19837882,-6.479233
111,18085,3.9555361,3.82264,58.774685,56.8,0.16139945,1.9746857
112,18087,3.67726,3.93705,54.63982,58.500004,0.17639606,-3.8601837
113,18091,3.9507706,3.7015,58.703873,55.0,0.1772963,3.7038727
114,18093,3.5168526,3.4996,52.256355,52.0,0.22448327,0.2563553
115,18095,4.2691684,4.40142,63.434895,65.4,0.14273319,-1.965107
116,18097,3.2711978,3.1631,48.60621,47.0,0.20781763,1.6062088
117,18099,3.9298196,3.88994,58.392567,57.8,0.16486628,0.59256744
118,18101,3.7602057,4.3745,55.8723,65.0,0.26048285,-9.127701
119,18105,3.3761163,3.29097,50.165176,48.9,0.2463448,1.2651749
120,18107,4.3099165,4.3745,64.04037,65.0,0.16909806,-0.9596329
121,18109,4.03528,4.038,59.959587,60.000004,0.17627658,-0.040416718
122,18111,4.191497,3.72169,62.280785,55.3,0.18306796,6.9807854
123,18113,3.770173,3.8361,56.0204,57.000004,0.16529624,-0.9796028
124,18115,3.285161,2.84006,48.813686,42.2,0.250343,6.6136856
125,18117,4.030204,4.38123,59.88416,65.1,0.21440016,-5.2158394
126,18119,3.6824303,3.72842,54.71665,55.4,0.20831287,-0.6833534
127,18121,4.073341,3.96397,60.525124,58.9,0.18574622,1.6251221
